Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-January-2007,152.0,155.0,150.0,150.95,153.1902147656902,22769,327,3487988.0,14846.0,65.2,5.0,-1.05
3-January-2007,152.45,166.0,152.0,166.0,160.1351381256224,81339,947,13025232.0,53648.0,65.96,14.0,13.55
4-January-2007,169.7,177.8,169.1,170.25,172.89158758815734,112441,1559,19440103.0,51904.0,46.16,8.7,0.55
5-January-2007,171.0,174.0,163.0,164.65,167.8260539308773,23697,416,3976974.0,13509.0,57.01,11.0,-6.35
8-January-2007,162.9,166.5,162.0,163.0,163.75091597838912,16103,307,2636881.0,8863.0,55.04,4.5,0.1
9-January-2007,164.5,167.25,162.0,162.8,163.7654575079324,11661,183,1909669.0,9489.0,81.37,5.25,-1.7
10-January-2007,170.0,170.0,156.3,158.8,160.09244596618876,9346,184,1496224.0,6841.0,73.2,13.7,-11.2
11-January-2007,164.5,164.5,156.05,156.9,157.489428602407,18446,209,2905050.0,14010.0,75.95,8.45,-7.6
12-January-2007,161.0,164.9,159.05,159.9,161.67457749011152,33372,387,5395404.0,9473.0,28.39,5.85,-1.1
15-January-2007,161.6,164.6,161.6,162.5,162.96316639741516,12380,220,2017484.0,7793.0,62.95,3.0,0.9
16-January-2007,162.85,166.75,160.0,162.1,162.95419872867183,29890,298,4870701.0,9847.0,32.94,6.75,-0.75
17-January-2007,164.0,164.0,156.0,157.8,158.79947978245443,21145,287,3357815.0,15192.0,71.85,8.0,-6.2
18-January-2007,158.6,165.95,157.05,157.65,160.87242048327352,51027,590,8208837.0,16810.0,32.94,8.9,-0.95
19-January-2007,160.0,160.7,156.7,158.1,158.5497157674279,10027,146,1589778.0,5312.0,52.98,4.0,-1.9
22-January-2007,158.0,160.0,155.4,156.65,157.74926987560846,9245,159,1458392.0,6987.0,75.58,4.6,-1.35
23-January-2007,154.5,158.75,150.0,153.6,154.79835651074592,14238,142,2204019.0,10905.0,76.59,8.75,-0.9
24-January-2007,156.15,157.0,152.0,152.55,153.675390035229,11922,141,1832118.0,8141.0,68.29,5.0,-3.6
25-January-2007,158.8,158.8,150.3,152.65,153.11710213776726,8420,147,1289246.0,5511.0,65.45,8.5,-6.15
29-January-2007,151.15,154.9,149.0,150.0,150.91619250829774,8436,177,1273129.0,6834.0,81.01,5.9,-1.15
31-January-2007,148.25,158.0,148.0,149.4,152.17055476529154,14060,299,2139518.0,7174.0,51.02,10.0,1.15
1-February-2007,150.1,151.7,149.5,150.0,150.13939931567612,15782,101,2369500.0,14162.0,89.74,2.2,-0.1
2-February-2007,153.9,153.9,150.0,150.1,150.9377447534893,9959,106,1503189.0,7764.0,77.96,3.9,-3.8
5-February-2007,150.15,152.65,147.0,147.75,148.44669087308134,24236,164,3597754.0,21482.0,88.64,5.65,-2.4
6-February-2007,149.0,150.95,142.1,143.1,147.42533829231618,75822,499,11178084.0,27304.0,36.01,8.85,-5.9
7-February-2007,147.5,147.5,142.5,143.5,144.01764234161988,12470,203,1795900.0,8128.0,65.18,5.0,-4.0
8-February-2007,145.8,145.9,141.5,142.75,142.90952465099843,11318,149,1617450.0,9360.0,82.7,4.4,-3.05
9-February-2007,144.4,144.4,141.0,141.4,141.61245353159853,18292,147,2590375.0,15219.0,83.2,3.4,-3.0
12-February-2007,141.0,141.0,132.55,133.95,135.84383608815426,17424,216,2366943.0,14268.0,81.89,8.45,-7.05
13-February-2007,135.0,140.0,134.0,135.6,137.5222065370833,9209,263,1266442.0,5119.0,55.59,6.0,0.6
14-February-2007,135.0,149.15,132.95,145.4,141.52987930526936,16985,331,2403885.0,13112.0,77.2,16.2,10.4
15-February-2007,155.0,155.0,142.15,143.7,147.64792840305245,25029,427,3695480.0,14714.0,58.79,12.85,-11.3
19-February-2007,145.0,152.5,142.0,149.3,148.18117234409368,33642,274,4985111.0,23812.0,70.78,10.5,4.3
20-February-2007,150.0,150.0,143.0,145.05,146.4448697740749,13323,215,1951085.0,10319.0,77.45,7.0,-4.95
21-February-2007,143.0,144.95,136.0,138.8,140.684350132626,10179,201,1432026.0,6145.0,60.37,8.95,-4.2
22-February-2007,140.0,142.0,136.05,137.9,138.58830448664088,5951,100,824739.0,5272.0,88.59,5.95,-2.1
23-February-2007,136.25,139.6,132.0,134.05,134.27876166013252,7397,136,993260.0,5122.0,69.24,7.6,-2.2
26-February-2007,135.0,135.0,131.0,132.55,133.04360937137557,4311,113,573551.0,2306.0,53.49,4.0,-2.45
27-February-2007,136.65,137.95,132.0,133.05,134.53426470588238,6800,126,914833.0,4001.0,58.84,5.95,-3.6
28-February-2007,130.0,135.0,128.25,130.15,130.84307799604787,8603,122,1125643.0,5711.0,66.38,6.75,0.15
1-March-2007,131.0,133.45,125.0,130.95,128.97385014836794,5392,123,695427.0,3206.0,59.46,8.45,-0.05
2-March-2007,134.0,134.0,130.0,131.4,131.28118939883646,4641,79,609276.0,3055.0,65.83,4.0,-2.6
5-March-2007,126.7,128.0,122.35,122.45,124.39439775910364,10710,171,1332264.0,8743.0,81.63,5.65,-4.25
6-March-2007,126.2,128.95,118.65,120.1,121.4055953693495,7256,150,880919.0,5160.0,71.11,10.3,-6.1
7-March-2007,123.0,132.1,118.05,126.9,127.57338153880914,35404,475,4516608.0,19912.0,56.24,14.05,3.9
8-March-2007,127.0,127.9,122.1,126.4,124.8217399039317,11242,146,1403246.0,8234.0,73.24,5.8,-0.6
9-March-2007,126.45,132.8,121.3,122.4,126.97879836023571,15612,225,1982393.0,7817.0,50.07,11.5,-4.05
12-March-2007,123.0,125.0,121.0,121.55,122.65970459266096,8666,140,1062969.0,6051.0,69.82,4.0,-1.45
13-March-2007,123.45,125.5,122.75,124.15,123.8272101033295,5226,105,647121.0,2843.0,54.4,2.75,0.7
14-March-2007,117.0,125.0,117.0,121.0,122.44096850224985,4667,71,571432.0,3894.0,83.44,8.0,4.0
15-March-2007,124.0,124.9,119.5,120.25,122.1544772347292,25719,214,3141691.0,20311.0,78.97,5.4,-3.75
16-March-2007,120.75,121.95,115.15,116.75,118.76915236962795,5887,119,699194.0,4401.0,74.76,6.8,-4.0
19-March-2007,116.05,117.05,114.0,115.4,115.61822476379913,16088,96,1860066.0,15112.0,93.93,3.05,-0.65
20-March-2007,119.4,119.8,114.55,116.15,116.41100840336134,11900,158,1385291.0,8079.0,67.89,5.25,-3.25
21-March-2007,111.05,117.5,111.05,114.85,114.3383674937073,13905,144,1589875.0,11776.0,84.69,6.45,3.8
22-March-2007,117.4,119.0,114.05,114.85,116.07687663513785,19876,200,2307144.0,15148.0,76.21,4.95,-2.55
23-March-2007,115.1,117.0,114.0,116.5,115.36147790756728,7876,130,908587.0,4367.0,55.45,3.0,1.4
26-March-2007,121.0,122.0,115.0,115.2,117.81319819083427,36702,258,4323980.0,22188.0,60.45,7.0,-5.8
28-March-2007,115.0,117.0,113.05,116.65,115.00494289458905,53410,219,6142414.0,50487.0,94.53,3.95,1.65
29-March-2007,120.1,120.1,116.0,117.55,117.52725494988998,4091,77,480804.0,2455.0,60.01,4.1,-2.55
30-March-2007,117.0,119.15,116.5,117.15,117.61177131093851,21374,122,2513834.0,18429.0,86.22,2.65,0.15
2-April-2007,115.0,118.0,114.0,115.15,116.27282713167651,7283,102,846815.0,5990.0,82.25,4.0,0.15
3-April-2007,115.05,117.85,115.05,117.45,116.84372617777099,6559,92,766378.0,5274.0,80.41,2.8,2.4
4-April-2007,117.55,122.55,117.25,119.75,119.88328173374613,12920,177,1548892.0,8094.0,62.65,5.3,2.2
5-April-2007,122.85,122.85,118.5,121.0,120.33976200246204,4874,73,586536.0,4086.0,83.83,4.35,-1.85
9-April-2007,123.95,123.95,119.0,119.9,120.18617234468937,9980,162,1199458.0,6954.0,69.68,4.95,-4.05
10-April-2007,120.0,123.0,119.35,122.5,121.56737352921623,15043,182,1828738.0,8856.0,58.87,3.65,2.5
