SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1476.00,1502.00,1465.00,1472.25,1475.00,1475.15,1594,16647,24689726.00,
500003,AEGIS LOGIS ,A ,Q,292.00,300.90,291.80,297.05,298.00,296.15,554,13803,4095790.00,
500008,AMAR RAJA BA,A ,Q,970.00,970.00,915.00,927.90,927.90,990.05,9819,171325,159459806.00,
500009,A.SARABHAI  ,X ,Q,21.05,21.05,19.35,19.90,19.90,21.35,421,127057,2540782.00,
500010,HDFC        ,A ,Q,2815.05,2866.50,2805.65,2860.40,2859.15,2790.35,5931,101208,288119809.00,
500012,ANDHRA PETRO,X ,Q,52.80,52.80,49.00,49.70,49.70,51.40,541,128786,6472867.00,
500013,ANSAL INFRAS,B ,Q,7.83,7.83,7.14,7.83,7.83,7.46,227,199103,1546277.00,
500014,UTIQUE      ,X ,Q,1.89,1.89,1.71,1.71,1.71,1.80,22,4561,8156.00,
500016,ARUNAHTEL   ,XT,Q,6.30,6.30,6.30,6.30,6.30,6.00,1,429,2702.00,
500020,BOM DYEING  ,A ,Q,73.20,73.40,71.30,71.70,71.70,72.40,856,194313,13992620.00,
500023,ASIANHOTNR  ,B ,Q,73.80,74.50,72.50,72.50,72.50,72.00,90,4740,351118.00,
500027,ATUL LTD.   ,A ,Q,6855.00,6962.10,6692.05,6709.90,6709.90,6854.65,1419,3767,25731737.00,
500028,ATV PROJECTS,XT,Q,5.05,5.05,4.68,4.80,4.80,4.92,37,11198,53870.00,
500029,AUTOLITE(I) ,Z ,Q,29.00,29.95,28.20,28.30,28.20,29.60,18,3131,88916.00,
500031,BAJAJ ELECT.,A ,Q,1074.00,1084.80,1051.75,1069.75,1069.75,1069.25,2412,135910,146235321.00,
500032,BAJAJHIND   ,A ,Q,6.29,6.29,6.05,6.10,6.10,6.24,991,436417,2677925.00,
500033,FORCE MOTR  ,A ,Q,1350.00,1375.00,1333.00,1354.55,1354.55,1405.35,1385,10541,14318263.00,
500034,BAJFINANCE  ,A ,Q,5595.00,5799.95,5595.00,5780.70,5780.70,5576.50,10970,128734,737123672.00,
500038,BALRAM.CHINI,A ,Q,160.00,161.00,157.00,157.10,157.10,158.30,1259,79819,12672155.00,
500039,BANCO PROD. ,B ,Q,161.05,161.95,157.40,157.75,157.40,157.10,466,20443,3252684.00,
500040,CENTURY TEXT,A ,Q,468.65,468.70,458.25,462.30,459.00,459.40,545,16525,7637518.00,
500041,BANNARI AMAN,A ,Q,1580.00,1596.55,1551.30,1552.95,1551.30,1573.00,16,31,48609.00,
500042,BASF INDIA  ,A ,Q,1984.85,2070.35,1952.90,2048.30,2048.30,1981.65,2792,18139,36666152.00,
500043,BATA INDIA  ,A ,Q,1549.90,1563.00,1526.25,1552.70,1553.00,1527.20,2675,40722,63111585.00,
500048,BEML LTD    ,A ,Q,972.00,980.00,955.00,959.00,959.00,972.50,933,19905,19245385.00,
500049,BHARAT ELECT,A ,Q,137.95,137.95,134.90,136.05,136.00,136.25,2324,1063709,145817907.00,
500052,BHANSALI ENG,A ,Q,139.85,139.85,136.10,136.50,136.50,138.60,1110,118311,16304374.00,
500055,TATASTLBSL  ,B ,Q,43.25,43.40,42.20,42.35,42.35,42.95,970,355836,15196578.00,
500058,BIHAR SPONGE,XT,Q,1.74,1.74,1.74,1.74,1.74,1.74,12,15561,27076.00,
500060,BIRLACABLE  ,B ,Q,62.85,63.10,61.90,62.10,62.10,63.30,266,15173,946742.00,
500067,BLUE STAR   ,A ,Q,833.70,833.70,814.45,818.95,818.00,813.75,127,1191,977483.00,
500068,DISA INDIA  ,X ,Q,4439.00,4439.00,4210.00,4277.50,4260.00,4239.75,388,3431,14635494.00,
500069,BNK CAPITAL ,X ,Q,109.35,112.75,107.00,110.35,110.35,112.50,15,2256,247898.00,
500074,BPL LTD.    ,B ,Q,21.45,22.35,21.00,21.80,21.80,21.40,61,4257,93023.00,
500078,OAL         ,B ,Q,636.55,677.55,636.55,648.35,649.50,628.40,1143,7683,5084878.00,
500083,CENTURY EXT ,B ,Q,4.79,4.79,4.50,4.64,4.65,4.71,62,12795,58926.00,
500084,CESC LTD.   ,A ,Q,626.05,627.55,619.75,624.55,624.40,621.10,321,6853,4278909.00,
500085,CHAMBAL FERT,A ,Q,240.25,245.00,237.70,238.45,238.50,241.95,1221,53822,13009847.00,
500086,EXIDE IND.  ,A ,Q,213.95,215.40,211.00,212.20,212.20,211.50,5014,396573,84636580.00,
500087,CIPLA LTD.  ,A ,Q,852.90,856.25,842.50,844.45,844.45,849.30,3101,112462,95478093.00,
500089,DIC INDIA   ,B ,Q,398.30,398.30,390.95,391.65,391.65,398.45,160,2762,1091092.00,
500092,CRISIL LTD  ,A ,Q,1970.00,2031.80,1970.00,2018.50,2018.50,1946.15,1677,9323,18704415.00,
500093,CGPOWER     ,B ,Q,44.50,46.15,44.50,45.70,45.70,44.70,1073,280244,12776486.00,
500096,DABUR (I)   ,A ,Q,538.00,540.70,526.30,527.30,527.00,534.05,2710,67939,36257631.00,
500097,DALMIASUG   ,A ,Q,144.00,144.00,141.45,142.15,141.45,141.95,160,5808,827725.00,
500101,ARVIND Ltd  ,A ,Q,73.00,75.25,69.50,70.60,70.60,71.95,2295,296857,21228864.00,
500102,BALARPUR IND,Z ,Q,1.28,1.30,1.22,1.22,1.22,1.28,442,1781406,2183633.00,
500103,BHEL        ,A ,Q,39.20,39.45,38.60,38.95,38.95,38.80,2317,1486770,57818219.00,
500104,HIND.PETRO  ,A ,Q,226.90,226.90,221.80,222.40,222.40,223.70,1905,204574,45684533.00,
500106,IFCI LTD    ,A ,Q,8.55,8.75,8.21,8.50,8.50,9.01,30208,1214594,10354945.00,
500108,MAHA.TELE   ,B ,Q,12.70,13.00,12.50,12.55,12.55,12.86,1934,163807,2070147.00,
500109,MRPL        ,A ,Q,35.20,35.30,34.35,34.45,34.40,34.85,539,79656,2776815.00,
500110,CHENNAI PET.,A ,Q,95.65,95.90,94.15,95.20,95.20,95.30,455,39973,3798741.00,
500111,REL.CAP.    ,B ,Q,10.30,10.30,10.00,10.05,10.05,10.09,706,316642,3180118.00,
500112,STATE BANK  ,A ,Q,397.35,409.40,395.65,407.05,407.05,393.20,55091,5056823,2035396312.00,
500113,STEEL AUTH. ,A ,Q,65.20,65.75,62.40,62.65,62.65,64.80,9566,2681848,171569146.00,
500114,TITAN       ,A ,Q,1509.40,1518.65,1476.70,1483.90,1483.90,1494.35,12319,361566,538505511.00,
500116,IDBI BANK L ,A ,Q,29.35,29.40,28.80,28.95,28.95,29.00,1243,1001270,29054434.00,
500117,DCW LTD.    ,B ,Q,21.20,21.20,20.50,20.60,20.60,20.70,204,70636,1464012.00,
500119,DHAMPUR SUGA,A ,Q,166.80,166.80,161.30,162.10,162.10,166.00,667,24038,3919264.00,
500120,DIAMINES&CHM,X ,Q,326.70,326.70,314.00,315.10,315.10,318.45,336,8685,2770996.00,
500123,ELANTAS     ,A ,Q,2975.00,3050.00,2969.00,3019.15,2995.10,2954.70,154,4485,13467687.00,
500124,DR.REDDY'S  ,A ,Q,4802.40,4829.95,4701.00,4710.20,4710.20,4795.30,4780,40448,192096835.00,
500125,E.I.D.PAR   ,A ,Q,318.00,325.50,313.25,314.25,314.25,318.45,535,10799,3428403.00,
500126,PGHL        ,A ,Q,7400.00,7494.00,7395.00,7444.50,7395.00,7372.95,124,257,1916234.00,
500128,ELEC.CASTING,B ,Q,23.10,23.10,22.45,22.55,22.45,22.65,125,26948,611650.00,
500133,ESAB INDIA  ,A ,Q,1864.00,1916.00,1864.00,1866.20,1866.05,1862.80,228,994,1874120.00,
500135,EPL         ,A ,Q,222.90,229.70,219.15,228.55,228.55,220.05,1464,32879,7394878.00,
500136,ESTER INDUS.,B ,Q,106.00,107.25,104.25,105.20,105.20,106.10,871,73039,7737759.00,
500142,FGP LTD.    ,XT,Q,1.75,1.75,1.75,1.75,1.75,1.75,2,100,175.00,
500143,P.H.CAPITAL ,X ,Q,20.55,20.55,20.50,20.55,20.55,19.60,11,3121,64132.00,
500144,FINOL. CABLE,A ,Q,405.00,406.00,378.90,385.85,385.85,394.20,2085,59407,23167801.00,
500147,COCKERILL   ,X ,Q,825.00,838.95,811.05,811.05,811.05,832.40,25,339,278045.00,
500148,UFLEX LTD   ,A ,Q,359.00,361.20,354.00,355.35,354.00,353.20,1725,55409,19775653.00,
500150,FOSECO INDIA,B ,Q,1268.65,1270.05,1256.90,1260.25,1262.00,1272.75,62,334,421416.00,
500151,GOLDEN TOB  ,B ,Q,45.35,53.25,41.00,50.10,50.10,44.40,325,23985,1175421.00,
500153,GANESH BENZO,X ,Q,63.75,64.45,61.55,62.10,62.25,63.75,354,47884,3009767.00,
500159,METROGLOBL  ,X ,Q,56.45,56.45,51.65,53.50,53.50,54.40,39,2566,136333.00,
500160,GTL LTD.    ,B ,Q,7.69,7.69,7.03,7.03,7.03,7.40,1800,110240,789376.00,
500163,GODFREY PH  ,A ,Q,940.00,940.00,919.90,924.15,920.50,922.90,430,6845,6332989.00,
500164,GODREJ IND  ,A ,Q,459.95,459.95,447.00,448.70,448.70,449.60,461,14309,6449837.00,
500165,KANSAI NERO ,A ,Q,571.00,594.00,571.00,590.55,589.40,574.90,469,9840,5778549.00,
500166,GOODRICKE   ,X ,Q,231.00,233.50,223.90,225.75,225.75,230.25,265,8928,2037295.00,
500168,GOODYEAR (I),A ,Q,1038.00,1038.00,976.00,979.65,979.65,997.10,623,6081,6042600.00,
500171,GHCL LTD    ,A ,Q,212.00,212.00,206.45,209.95,210.00,207.25,329,11406,2378800.00,
