Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,29 Nov 2007,Interim Dividend - Rs. - 6.0000,06 Dec 2007,-,-,29 Nov 2007,05 Dec 2007,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,29 Nov 2007,Reduction of Capital ,06 Dec 2007,-,-,29 Nov 2007,05 Dec 2007,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Jul 2008,Final Dividend - Rs. - 7.0000,-,10 Jul 2008,17 Jul 2008,03 Jul 2008,09 Jul 2008,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,12 Dec 2008,Interim Dividend - Rs. - 9.0000,15 Dec 2008,-,-,05 Dec 2008,12 Dec 2008,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Apr 2009,Interim Dividend - Rs. - 6.0000,09 Apr 2009,-,-,30 Mar 2009,08 Apr 2009,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,20 Aug 2009,Interim Dividend - Rs. - 8.0000,21 Aug 2009,-,-,13 Aug 2009,20 Aug 2009,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,10 Dec 2009,Interim Dividend - Rs. - 7.0000,11 Dec 2009,-,-,04 Dec 2009,10 Dec 2009,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Apr 2010,Interim Dividend - Rs. - 5.0000,09 Apr 2010,-,-,31 Mar 2010,08 Apr 2010,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,17 Aug 2010,Interim Dividend - Rs. - 10.0000,18 Aug 2010,-,-,11 Aug 2010,16 Aug 2010,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,14 Dec 2010,Interim Dividend - Rs. - 5.0000,15 Dec 2010,-,-,08 Dec 2010,14 Dec 2010,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,30 Mar 2011,Interim Dividend - Rs. - 7.0000,31 Mar 2011,-,-,24 Mar 2011,29 Mar 2011,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,13 Jun 2011,Interim Dividend - Rs. - 8.0000,14 Jun 2011,-,-,07 Jun 2011,13 Jun 2011,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,20 Dec 2011,Interim Dividend - Rs. - 9.0000,21 Dec 2011,-,-,14 Dec 2011,20 Dec 2011,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,22 Mar 2012,Interim Dividend - Rs. - 8.0000,26 Mar 2012,-,-,19 Mar 2012,23 Mar 2012,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,01 Oct 2012,Interim Dividend - Rs. - 13.0000,03 Oct 2012,-,-,25 Sep 2012,01 Oct 2012,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,14 Dec 2012,Interim Dividend - Rs. - 6.0000,17 Dec 2012,-,-,10 Dec 2012,14 Dec 2012,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,04 Apr 2013,Interim Dividend - Rs. - 9.0000,05 Apr 2013,-,-,26 Mar 2013,04 Apr 2013,19 Apr 2013
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,06 Nov 2013,Interim Dividend - Rs. - 9.0000,07 Nov 2013,-,-,30 Oct 2013,06 Nov 2013,20 Nov 2013
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,09 Dec 2013,Interim Dividend - Rs. - 9.0000,10 Dec 2013,-,-,03 Dec 2013,09 Dec 2013,20 Dec 2013
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,02 Apr 2014,Interim Dividend - Rs. - 9.0000,03 Apr 2014,-,-,25 Mar 2014,02 Apr 2014,16 Apr 2014
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,29 Sep 2014,Interim Dividend - Rs. - 8.0000,30 Sep 2014,-,-,23 Sep 2014,29 Sep 2014,16 Oct 2014
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,15 Dec 2014,Interim Dividend - Rs. - 8.0000,16 Dec 2014,-,-,09 Dec 2014,15 Dec 2014,29 Dec 2014
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Apr 2015,Interim Dividend - Rs. - 8.0000,09 Apr 2015,-,-,30 Mar 2015,08 Apr 2015,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,23 Sep 2015,Bonus issue 1:1,24 Sep 2015,-,-,16 Sep 2015,23 Sep 2015,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,05 Nov 2015,Interim Dividend - Rs. - 4.0000,06 Nov 2015,-,-,30 Oct 2015,05 Nov 2015,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,10 Dec 2015,Interim Dividend - Rs. - 3.0000,11 Dec 2015,-,-,04 Dec 2015,10 Dec 2015,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,06 Apr 2016,Interim Dividend - Rs. - 3.0000,07 Apr 2016,-,-,30 Mar 2016,05 Apr 2016,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,08 Nov 2016,Interim Dividend - Rs. - 4.0000,09 Nov 2016,-,-,02 Nov 2016,08 Nov 2016,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,15 Dec 2016,Interim Dividend - Rs. - 3.0000,16 Dec 2016,-,-,08 Dec 2016,15 Dec 2016,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,10 Apr 2017,Interim Dividend - Rs. - 3.0000,11 Apr 2017,-,-,06 Apr 2017,10 Apr 2017,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,25 Oct 2017,Interim Dividend - Rs. - 4.0000,26 Oct 2017,-,-,17 Oct 2017,25 Oct 2017,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,18 Dec 2017,Interim Dividend - Rs. - 4.0000,19 Dec 2017,-,-,12 Dec 2017,18 Dec 2017,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,20 Mar 2018,Interim Dividend - Rs. - 5.0000,21 Mar 2018,-,-,14 Mar 2018,20 Mar 2018,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,29 May 2018,Interim Dividend - Rs. - 11.0000,30 May 2018,-,-,23 May 2018,29 May 2018,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,05 Nov 2018,Interim Dividend - Rs. - 8.0000,06 Nov 2018,-,-,30 Oct 2018,02 Nov 2018,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,05 Apr 2019,Interim Dividend - Rs. - 7.0000,08 Apr 2019,-,-,29 Mar 2019,05 Apr 2019,-
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,04 Jun 2019,Interim Dividend - Rs. - 8.0000,06 Jun 2019,-,-,29 May 2019,04 Jun 2019,-
