Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
500290,MRF,MRF LTD.,10 Aug 2007,Interim Dividend - Rs. - 3.0000,13 Aug 2007,-,-,06 Aug 2007,10 Aug 2007,-
500290,MRF,MRF LTD.,07 Nov 2007,Interim Dividend - Rs. - 3.0000,09 Nov 2007,-,-,02 Nov 2007,07 Nov 2007,-
500290,MRF,MRF LTD.,05 Mar 2008,Final Dividend - Rs. - 14.0000,-,10 Mar 2008,20 Mar 2008,29 Feb 2008,07 Mar 2008,-
500290,MRF,MRF LTD.,08 Aug 2008,Interim Dividend - Rs. - 3.0000,11 Aug 2008,-,-,04 Aug 2008,08 Aug 2008,-
500290,MRF,MRF LTD.,06 Nov 2008,Interim Dividend - Rs. - 3.0000,07 Nov 2008,-,-,31 Oct 2008,06 Nov 2008,-
500290,MRF,MRF LTD.,06 Mar 2009,Final Dividend - Rs. - 14.0000,-,10 Mar 2009,19 Mar 2009,03 Mar 2009,06 Mar 2009,-
500290,MRF,MRF LTD.,06 Aug 2009,Interim Dividend - Rs. - 3.0000,07 Aug 2009,-,-,31 Jul 2009,06 Aug 2009,-
500290,MRF,MRF LTD.,05 Nov 2009,Interim Dividend - Rs. - 3.0000,07 Nov 2009,-,-,30 Oct 2009,05 Nov 2009,-
500290,MRF,MRF LTD.,25 Feb 2010,Dividend - Rs. - 19.0000,-,01 Mar 2010,11 Mar 2010,22 Feb 2010,25 Feb 2010,-
500290,MRF,MRF LTD.,06 Aug 2010,Interim Dividend - Rs. - 3.0000,09 Aug 2010,-,-,02 Aug 2010,06 Aug 2010,-
500290,MRF,MRF LTD.,02 Nov 2010,Interim Dividend - Rs. - 3.0000,03 Nov 2010,-,-,27 Oct 2010,02 Nov 2010,-
500290,MRF,MRF LTD.,28 Jan 2011,Final Dividend - Rs. - 19.0000,-,01 Feb 2011,10 Feb 2011,24 Jan 2011,31 Jan 2011,-
500290,MRF,MRF LTD.,28 Jan 2011,Special Dividend - Rs. - 25.0000,-,01 Feb 2011,10 Feb 2011,24 Jan 2011,31 Jan 2011,-
500290,MRF,MRF LTD.,09 Aug 2011,Interim Dividend - Rs. - 3.0000,10 Aug 2011,-,-,03 Aug 2011,09 Aug 2011,-
500290,MRF,MRF LTD.,02 Nov 2011,Interim Dividend - Rs. - 3.0000,03 Nov 2011,-,-,25 Oct 2011,02 Nov 2011,-
500290,MRF,MRF LTD.,30 Jan 2012,Final Dividend - Rs. - 19.0000,-,01 Feb 2012,09 Feb 2012,24 Jan 2012,31 Jan 2012,-
500290,MRF,MRF LTD.,06 Aug 2012,Interim Dividend - Rs. - 3.0000,07 Aug 2012,-,-,31 Jul 2012,06 Aug 2012,-
500290,MRF,MRF LTD.,07 Nov 2012,Interim Dividend - Rs. - 3.0000,08 Nov 2012,-,-,01 Nov 2012,07 Nov 2012,-
500290,MRF,MRF LTD.,30 Jan 2013,Final Dividend - Rs. - 19.0000,-,01 Feb 2013,07 Feb 2013,24 Jan 2013,31 Jan 2013,-
500290,MRF,MRF LTD.,06 Aug 2013,Interim Dividend - Rs. - 3.0000,07 Aug 2013,-,-,31 Jul 2013,06 Aug 2013,-
500290,MRF,MRF LTD.,05 Nov 2013,Interim Dividend - Rs. - 3.0000,06 Nov 2013,-,-,29 Oct 2013,05 Nov 2013,-
500290,MRF,MRF LTD.,30 Jan 2014,Final Dividend - Rs. - 24.0000,-,01 Feb 2014,06 Feb 2014,27 Jan 2014,30 Jan 2014,-
500290,MRF,MRF LTD.,06 Aug 2014,Interim Dividend - Rs. - 3.0000,07 Aug 2014,-,-,31 Jul 2014,06 Aug 2014,-
500290,MRF,MRF LTD.,13 Nov 2014,Interim Dividend - Rs. - 3.0000,14 Nov 2014,-,-,07 Nov 2014,13 Nov 2014,-
500290,MRF,MRF LTD.,04 Feb 2015,Final Dividend - Rs. - 44.0000,-,06 Feb 2015,12 Feb 2015,30 Jan 2015,05 Feb 2015,-
500290,MRF,MRF LTD.,06 Aug 2015,Interim Dividend - Rs. - 3.0000,07 Aug 2015,-,-,31 Jul 2015,06 Aug 2015,-
500290,MRF,MRF LTD.,10 Nov 2015,Interim Dividend - Rs. - 3.0000,13 Nov 2015,-,-,05 Nov 2015,11 Nov 2015,-
500290,MRF,MRF LTD.,03 Aug 2016,Final Dividend - Rs. - 94.0000,-,05 Aug 2016,11 Aug 2016,29 Jul 2016,04 Aug 2016,-
500290,MRF,MRF LTD.,08 Nov 2016,Interim Dividend - Rs. - 3.0000,09 Nov 2016,-,-,02 Nov 2016,08 Nov 2016,-
500290,MRF,MRF LTD.,14 Feb 2017,Interim Dividend - Rs. - 3.0000,15 Feb 2017,-,-,08 Feb 2017,14 Feb 2017,-
500290,MRF,MRF LTD.,27 Jul 2017,Final Dividend - Rs. - 54.0000,-,29 Jul 2017,04 Aug 2017,24 Jul 2017,27 Jul 2017,-
500290,MRF,MRF LTD.,21 Nov 2017,Interim Dividend - Rs. - 3.0000,22 Nov 2017,-,-,15 Nov 2017,21 Nov 2017,-
500290,MRF,MRF LTD.,09 Feb 2018,Interim Dividend - Rs. - 3.0000,13 Feb 2018,-,-,06 Feb 2018,09 Feb 2018,-
500290,MRF,MRF LTD.,01 Aug 2018,Final Dividend - Rs. - 54.0000,-,03 Aug 2018,09 Aug 2018,27 Jul 2018,02 Aug 2018,-
500290,MRF,MRF LTD.,19 Nov 2018,Interim Dividend - Rs. - 3.0000,20 Nov 2018,-,-,13 Nov 2018,16 Nov 2018,-
500290,MRF,MRF LTD.,15 Feb 2019,Interim Dividend - Rs. - 3.0000,19 Feb 2019,-,-,12 Feb 2019,15 Feb 2019,-
500290,MRF,MRF LTD.,01 Aug 2019,Final Dividend - Rs. - 54.0000,-,03 Aug 2019,09 Aug 2019,29 Jul 2019,01 Aug 2019,-
500290,MRF,MRF LTD.,21 Nov 2019,Interim Dividend - Rs. - 3.0000,22 Nov 2019,-,-,15 Nov 2019,21 Nov 2019,-
500290,MRF,MRF LTD.,18 Feb 2020,Interim Dividend - Rs. - 3.0000,21 Feb 2020,-,-,13 Feb 2020,19 Feb 2020,-
500290,MRF,MRF LTD.,14 Sep 2020,Final Dividend - Rs. - 94.0000,-,16 Sep 2020,24 Sep 2020,09 Sep 2020,15 Sep 2020,-
500290,MRF,MRF LTD.,18 Nov 2020,Interim Dividend - Rs. - 3.0000,19 Nov 2020,-,-,12 Nov 2020,18 Nov 2020,-
500290,MRF,MRF LTD.,17 Feb 2021,Interim Dividend - Rs. - 3.0000,19 Feb 2021,-,-,12 Feb 2021,17 Feb 2021,-
