Predicted Values,Actual Values
[-0.00064269],0.0103842321584256
[-0.00065721],0.0033636657273649
[-0.00063144],0.0170010474579003
[-0.00061331],0.059362998910946
[0.00177348],0.0192832454065853
[-0.00064844],0.0089930162693613
[-0.00064491],0.0048946974111378
[-0.00065841],0.0043067429452979
[-0.00065925],-0.0065955468992076
[-0.00053794],0.0035832539574545
[-0.00064645],-0.016872641160364
[-0.00034221],-0.0116963985190171
[-0.00065275],0.0117679855040718
[-0.00062732],0.0273491627328027
[-0.00064701],-0.0133681527078281
[-0.00060076],-0.0235282047774567
[-0.00053655],0.0197071243985965
[-0.00065919],0.0188124632569076
[-0.00065978],-0.0282892873042211
[-0.00060086],-0.0208523718534519
[-0.00065864],-0.0120673791492675
[-0.00061794],0.0002783447763963
[-0.00065609],-0.0220812182741115
[-0.0005967],-0.0057892422687966
[-0.00060292],-6.131959774338303e-05
[0.00042285],-0.0087229369312833
[-0.00057764],-0.0117478167244886
[-0.0006426],-0.0082820264399787
[-0.00065554],-0.002979178135423
[-0.00064861],0.0223919294772073
[-0.00065065],0.0209636247606891
[-0.00063073],-0.0021186440677965
[0.00080899],0.0040162331517968
[-0.00065359],-0.0077458109389819
[-0.00053814],-0.0497288447764247
[-0.00059964],-0.0540049862558332
[-0.00063415],0.0618646169104884
[-0.00065948],-0.0073766993842589
[-0.00065742],0.0006990364632533
[-0.00061086],-0.0032650885405386
[-0.00063644],-0.0030110677083333
[-0.00065356],-0.0114041611838969
[-0.00065967],0.001188186035985
[-0.00065876],0.010401731747772
[-0.00055285],-0.0035487209818128
[-0.0006603],0.0002393203302619
[-0.00064081],-0.0085589519650654
[-0.00065951],-0.0002888170055452
[-0.00058656],0.0014188141353483
[-0.00059351],-0.0337428228067832
[-0.0006589],-0.0056751643996036
[-0.00064298],0.0347501060947343
[-0.00061915],0.0065326875734123
[-0.00062622],-0.0070080940590476
[-0.00063599],-0.0228267398953058
[-0.00065934],0.0448846464586013
[-0.00065032],0.0094828124025203
[-0.00064575],-0.0003413260517109
[-0.00064423],0.0
[-0.00064717],0.0064948539176627
[-0.00066045],0.0074189131190092
[-0.00065459],-0.0139455708081448
[-0.00065598],-0.0141172468533847
[-0.00058254],-0.0181847914963204
[-0.0006407],-0.000228536603946
[-0.00058272],0.0047958036717871
[-0.00064769],-0.0044684129429891
[-0.00065783],-0.0098218620457854
[-0.00062893],-0.0279806951982122
[-0.00065848],0.0022184895255601
[-0.00065887],0.0029790691376176
[-0.00065045],0.0189594926879771
[0.00101374],-0.0164329008117985
[-0.00057717],-0.0028280058274061
[-0.00063254],-0.0114208633093525
[-0.00060493],0.006905577367527
[-0.00064881],-0.0322346097915657
[-0.00065061],-0.0083013172338089
[-0.00065509],-0.0195078975520735
[-0.00062423],0.0409315227558622
[-0.0006253],0.0073901518194231
[-0.00058967],0.0001510060779946
[0.00120398],-0.01611349294282
[-0.00065354],-0.0316096459594218
[-0.00184127],0.0218250999337336
[-0.00060248],0.0215306834030683
[-0.00062548],-0.0062562973029968
[-0.00063996],0.0207034173110502
[-0.00061669],-0.0016109163271107
[-0.00060056],0.0133694364528684
[-0.00064552],0.017301659687962
[-0.00065594],-0.0168686009329069
[-0.00061348],0.0092512286788088
[0.00093896],-0.0021654803600346
[-0.00065954],-0.0168296634067318
[-0.00060886],0.0373329351153587
[-0.00062961],-0.0128811777076761
[-0.00061469],0.016115987179103
[-0.00057493],-0.018138229077947
[-0.00064862],0.0067482612086389
[-0.00065566],0.009460011044683
[-0.00065166],-0.0132022308720152
[-0.0006582],-0.0059307184256637
[-0.00058084],-0.0036168165378107
[-0.00065903],0.00268582269307
[-0.00064714],0.0078065819375474
[-0.00065374],0.0075975897301544
[-0.00062666],0.0199091634244412
[-0.00065972],-0.0056649715923209
[-0.00060768],-0.0104850883276895
[-0.00047038],0.0057078341591922
[-0.00061895],-0.0078930700144544
[-0.00064025],0.0340459224069675
[-0.0006507],0.0025094931484232
[-0.00065767],0.0068445609840743
[-0.000632],0.0128176491812854
[-0.00065997],-0.0213202132021319
[-0.00065526],0.0030115946393615
[-0.00064954],-0.0091440865998789
[-0.00065816],0.0325927225670606
[-0.00057433],0.0011311150909603
[-0.00060962],-0.0014564472617136
[-0.00065888],0.0119324010582582
[-0.00063754],-0.0020394919810883
[-0.00062424],-0.0297413712730052
[-0.00065885],-0.012675094521894
[-0.00065577],0.0254507702407671
[-0.00062986],0.0249992981668117
[-0.00065998],-0.0067574396811874
[-0.00065598],0.0647427956377813
[-0.00058927],0.0024745978778448
[-0.00065984],-0.0174186862244899
[-0.00064699],0.002539092738814
[-0.00058788],-0.0025744347436757
[-0.00051041],-0.0209005089157374
[-0.0006295],-0.0053062484382579
[-0.00065995],-0.0298505309325945
[-0.00060879],-0.0109649122807017
[-0.00065367],-0.0283948005547329
[-0.00065145],-0.0207689738665776
[-0.0006193],0.0498278088678432
[-0.0006571],-0.0327109567231148
[-0.00063539],-0.0010401891252954
[-0.00064684],0.0017405659530945
[-0.00027772],0.0030107886593626
[-0.00054628],0.0175507020280811
[-0.00065164],0.0045906175323858
[-0.00065804],0.0045288979144504
[-0.00065787],0.034566932566148
[-0.0006573],-0.0056264363261749
[-0.00065449],0.0259760705289672
[-0.00062933],0.000582981115576
[-0.0005734],0.0024044241404183
[-0.00058405],-0.0159467389445153
[-0.00065993],0.0025940715264216
[-0.00064981],-0.00273859654289
[-0.00060793],-0.0060724354803729
[-0.00065884],0.0257223796033994
[-0.00061173],-0.0097382836275104
[-0.00064861],0.0291185541131751
[-0.0006134],0.0030137681619186
[-0.00065453],-0.0141367005215482
[-0.00057395],-0.0340935536420758
[-0.00065186],0.0093325140179736
[-0.00063274],-0.0435634635728282
[-0.00065361],-0.0027719459388532
[-0.00058854],0.0053964300539643
[-0.00062873],-0.0190184740162209
[-0.00064967],-0.0938855201156437
[-0.00065005],-0.0075362841431533
[-0.00065294],-0.0055627000029906
[-0.00062813],0.0004086970737289
[-0.00062185],-0.0066263153730516
[-0.00059674],0.0
[-0.00064151],-0.005740824356576
[-0.00062595],-0.0075381662891819
[-0.00063243],0.0192128085390259
[-0.0005905],0.011401344337616
[-0.00065596],0.006413111249666
[-0.00064983],0.023143585386576
[-0.0006597],-0.0057690808450924
[-0.00063603],-0.0023284823284822
[-0.00064707],-0.0010874864064197
[-0.00579684],-0.0002315565229472
[-0.00061112],-0.0070304653498493
[-0.000602],-0.0046718450973769
[-0.0005933],-0.00231641543355
[-0.0006458],0.0457438644537069
[-0.00063538],-0.0048062720145437
[-0.00060674],-0.0164707776525519
[-0.00064623],-0.0357042451504076
[-0.00065744],-0.013715710723192
[-0.00060323],-0.0043770843258695
[-0.00064837],-0.0101932336939528
[-0.00065179],0.0103117966255473
[-0.00058702],0.0073494789854035
[-0.00062998],0.0048670836591086
[-0.00064422],0.0071039955643344
[-0.00064734],0.0162262181524886
[-0.00063185],0.0147004957143904
[-0.00058802],0.002809855052599
[-0.00059817],-0.0269232486493725
[-0.00057791],-0.0198699752769891
[-0.0006057],0.0161319073083778
[-0.0006337],0.0082506337083119
[-0.00061783],0.0182902247024126
[-0.0006579],-0.0061402944769497
[-0.00064348],-0.0067375886524823
