Predicted Values,Actual Values
[0.00066188],[0.00471368]
[-0.00017008],[0.02299552]
[-0.00102955],[-0.01876191]
[0.00159349],[0.01985604]
[5.5495355e-05],[-0.00149678]
[-0.01361704],[0.00294251]
[0.00013524],[-0.01641697]
[-0.00372583],[0.01713068]
[-0.00034634],[0.02750977]
[-0.0021049],[-0.00992467]
[-0.00153113],[-0.0186472]
[-0.0012304],[-0.0134559]
[-0.00049053],[-0.00204704]
[-0.00082136],[0.05529665]
[-0.00101911],[0.01024172]
[-0.00762036],[0.00388301]
[-0.00285261],[0.00507212]
[0.00037969],[-0.00163128]
[-0.01134233],[0.01693176]
[-0.00491253],[-0.00305653]
[-0.00468648],[0.00467329]
[-0.00311555],[0.00852646]
[-0.0044258],[0.01084146]
[-0.00062345],[-0.0172621]
[-0.00886165],[0.00835478]
[-0.00546447],[0.00280419]
[0.00202412],[-0.01747103]
[3.838926e-06],[0.00057377]
[-0.00055607],[-0.00225403]
[0.00188029],[0.04002714]
[0.00042565],[0.01778888]
[-0.00256453],[0.02610176]
[0.00054817],[-0.03658375]
[-0.0012564],[-0.00876453]
[-0.00084301],[-0.01217983]
[0.00109382],[-0.02111353]
[0.00054565],[-0.00608971]
[-9.865394e-05],[-0.01494763]
[-0.00096115],[0.01102456]
[-0.00162482],[0.00528355]
[-0.00269664],[-0.02062554]
[-0.00072759],[0.03400243]
[0.00179075],[0.00053398]
[-0.01460945],[-0.0058144]
[0.00022258],[-0.00240892]
[0.00124014],[-0.00134132]
[0.00590026],[0.00542113]
[-0.00031884],[-0.01657131]
[0.00134464],[0.01231345]
[-0.00079982],[-0.00177399]
[6.04526e-05],[-0.0577389]
[-0.0021788],[0.00594099]
[0.00122419],[-0.03679671]
[-0.00074775],[0.01655559]
[0.0011883],[0.05681349]
[-0.00380593],[-0.01132944]
[0.00034995],[-0.00195172]
[0.0012056],[-0.02814542]
[-0.00205075],[-0.01051611]
[-0.00047763],[0.00504161]
[-0.0018243],[-0.01043287]
[-0.00061182],[0.00802769]
[-0.00157581],[0.00721776]
[0.00016147],[-0.0044821]
[0.0015884],[0.00271433]
[-0.00032695],[0.01227717]
[0.00132672],[0.03918723]
[-0.00159617],[-0.025584]
[-0.00243484],[0.00850267]
[0.0006863],[0.00545171]
[-0.00055171],[-0.00631773]
[-0.00261527],[-0.02631144]
[-0.00058861],[-0.0090677]
[-0.00063333],[0.01838817]
[-0.00028304],[0.02109757]
[0.0011939],[-0.00196346]
[0.00029246],[0.01351156]
[-0.00080447],[0.0497068]
[0.00177024],[0.00750873]
[-0.00061743],[0.01565883]
[0.00034418],[6.95894224e-05]
[0.00452425],[-0.00441789]
[-0.00039933],[-0.01519214]
[-0.00226807],[0.04871903]
[-0.00025018],[-0.02954729]
[0.00143511],[0.02809217]
[0.00154329],[-0.02052534]
[-0.0023747],[-0.00670399]
[-2.4143083e-05],[0.00159497]
[-0.00030548],[0.00850662]
[-0.00337479],[-0.05285968]
[-0.00026145],[0.00015709]
[-0.00256825],[0.01367562]
[-0.00508429],[-0.02295746]
[-0.00333319],[0.00095035]
[-0.00032434],[-0.01731563]
[0.00076614],[0.02150711]
[0.00171979],[0.02449926]
[-0.00079888],[-0.02135874]
[-0.00227353],[-0.03186813]
[0.00023222],[0.00637618]
[-0.00061353],[-0.0171033]
[-0.00346337],[0.0215783]
[0.00125306],[0.00328237]
[-0.00235522],[-0.00027986]
[-0.00093016],[-0.00523783]
[-0.00430633],[0.03120324]
[-0.00050901],[0.00143709]
[-0.00277896],[0.07594331]
[-0.00560216],[-0.00278134]
[-0.00103893],[-0.05305077]
[-0.00129007],[0.0032738]
[0.00117779],[0.00590323]
[-0.00032636],[-0.02681126]
[-0.00055407],[0.01275283]
[-0.00365326],[-0.00035702]
[0.00132321],[0.02080162]
[-0.0008322],[0.00222779]
[0.00365726],[-0.00617185]
[-0.00223954],[-0.00308854]
[0.00026859],[-0.00772389]
[-0.00097882],[-0.02796022]
[-0.00156448],[-0.00307526]
[0.00175367],[-0.00141877]
[-0.00129533],[0.00611818]
[-0.00410509],[0.0099541]
[-0.00895652],[-0.03337939]
[0.00192373],[-0.01165549]
[0.00074356],[0.00815517]
[-4.428208e-05],[-0.01070042]
[-0.00271017],[0.02172718]
[0.0018706],[0.05478107]
[-0.00023187],[0.00543964]
[-0.00080981],[0.01969069]
[0.00074315],[-0.00787225]
[-0.00078873],[-0.02303507]
[0.0026514],[0.00743844]
[0.00029059],[0.03801687]
[0.00077475],[0.00352361]
[0.00026376],[-0.00297978]
[-0.00650991],[0.02803817]
[-0.0002995],[-0.00704407]
[-0.00395331],[0.01638066]
[0.001613],[-0.01137265]
[-0.00049959],[0.01379872]
[0.00063289],[0.0033109]
[0.00016768],[0.00406987]
[-0.00241438],[-0.00051382]
[0.00071675],[-0.02974]
[-0.00170022],[-0.02607415]
[-0.00641488],[0.00235885]
[0.00475686],[-0.0111596]
[-0.00032673],[0.01193155]
[0.00103956],[-0.02256619]
[-0.00164603],[-0.00524948]
[-0.00035065],[-0.0154509]
[-0.00044586],[-0.00303405]
[-0.00564948],[0.00670888]
[0.0003767],[0.0198609]
[-0.0036297],[0.02145691]
[-0.00142481],[-0.00697441]
[-0.00012089],[-0.01403551]
[0.00114547],[0.00932657]
[0.0021844],[0.00741423]
[-0.00307386],[-0.00236616]
[8.2644474e-05],[-0.00070442]
[-0.00164285],[-0.00357376]
[-0.00227364],[0.00383603]
[-0.00135696],[0.00969977]
[-0.0014657],[-0.00011123]
[-0.00806538],[0.01961894]
[-0.00102069],[0.01108124]
[0.00039369],[0.00134864]
[0.00194806],[-0.00849577]
[-0.00121763],[-0.00808177]
[-0.00061906],[-0.03378059]
[-0.00117867],[0.00115297]
[-0.00365117],[0.00180285]
[-0.00397926],[0.00494609]
[0.00027277],[-0.04385356]
[-0.00670732],[-0.00659355]
[0.00231085],[-0.00138765]
[-0.00453497],[-0.02944236]
[-0.00420185],[-0.0004883]
[-0.00025215],[0.02192592]
[-0.00397627],[-0.00316312]
[-0.00075723],[0.02071596]
[-3.6711794e-05],[0.03957316]
[-0.00108904],[-0.01192027]
[-3.7460522e-05],[-0.04154912]
[2.9854842e-05],[-0.00035513]
[0.00087077],[-0.01218097]
[-0.00103566],[0.01839502]
[0.00108817],[0.01547525]
[0.00013587],[0.01045821]
[-0.00024606],[-0.00516351]
[0.00051586],[0.02355952]
[-0.0002798],[0.01996928]
[-0.0002021],[-0.01615013]
[0.00135215],[0.01932135]
[-0.00030803],[-0.04399314]
[-0.00064371],[0.01129905]
[0.00116058],[0.01223944]
[-0.00459935],[-0.01168443]
[9.30107e-05],[-0.00824364]
[-0.00061729],[-0.04725584]
[-0.00556873],[0.02034651]
[-0.00040905],[0.00898771]
[-0.00279734],[-0.00143274]
[-0.00119183],[-0.02035173]
[4.9486644e-05],[0.00961176]
[-5.6119017e-05],[0.00023641]
[7.605508e-05],[0.00233465]
[-0.00333716],[-0.02522771]
[-0.00141799],[4.89524182e-05]
[-0.00081764],[0.00605897]
[-0.00206123],[0.00094262]
[-0.0010721],[-0.01771]
[2.4709005e-05],[-0.02224309]
[-0.00139337],[-0.01603962]
[0.00055037],[0.0049643]
[-0.00208981],[0.00407507]
[-0.00148468],[-0.0636066]
[0.00085548],[-0.04308482]
[-2.4107228e-06],[-0.0296252]
[-0.00183842],[0.02121855]
[-0.00693217],[-0.002808]
[-0.00327123],[0.01637327]
[-0.00333458],[-0.00992647]
[-0.00038994],[-0.00558578]
[0.00052892],[-0.01295752]
[-0.00016029],[0.00425755]
[-0.00311458],[-0.01170373]
[9.39139e-05],[0.00926885]
[0.00100731],[-0.01557687]
[-0.00201453],[-0.00122272]
[0.00064253],[-0.02704999]
[-0.00148491],[0.00348506]
[8.369728e-05],[-0.00590117]
[0.0004115],[0.00986402]
[0.00025979],[0.01605565]
[0.00062464],[-0.06778679]
[-0.00146808],[-0.01018585]
[0.00112249],[-0.00213265]
[-0.00125397],[-0.00985093]
[-0.00082157],[-0.00165133]
[-0.00168498],[0.01703189]
[0.00092508],[-0.00785175]
[-0.00454943],[0.0220549]
[-0.01023729],[0.01039045]
[-0.00355112],[-0.02440641]
[-0.00448942],[-0.01022853]
[-0.00484337],[-0.01179262]
[0.00027579],[-0.01371217]
[-0.00154172],[0.00977547]
[-0.00215836],[-0.00145281]
[0.00023694],[-0.00169477]
[-0.00214748],[-4.47627574e-05]
[-0.00099743],[-0.02500515]
[-0.00082228],[-0.03668414]
[-0.00180097],[-0.00300829]
