Predicted Values,Actual Values
[-0.00110026],[0.00471368]
[-0.00110292],[0.02299552]
[-0.0011002],[-0.01876191]
[-0.00110245],[0.01985604]
[-0.00109582],[-0.00149678]
[-0.00110074],[0.00294251]
[-0.00110321],[-0.01641697]
[-0.00110002],[0.01713068]
[-0.00109193],[0.02750977]
[-0.00110162],[-0.00992467]
[-0.00113217],[-0.0186472]
[-0.00109655],[-0.0134559]
[-0.00109999],[-0.00204704]
[-0.00111249],[0.05529665]
[-0.00109901],[0.01024172]
[-0.00110586],[0.00388301]
[-0.00109982],[0.00507212]
[-0.00109661],[-0.00163128]
[-0.00116927],[0.01693176]
[-0.00111026],[-0.00305653]
[-0.00109564],[0.00467329]
[-0.00110023],[0.00852646]
[-0.00110982],[0.01084146]
[-0.00110434],[-0.0172621]
[-0.00110285],[0.00835478]
[-0.00110627],[0.00280419]
[-0.00110593],[-0.01747103]
[-0.00109727],[0.00057377]
[-0.00110663],[-0.00225403]
[-0.00110382],[0.04002714]
[-0.00109736],[0.01778888]
[-0.00110431],[0.02610176]
[-0.00110688],[-0.03658375]
[-0.00110234],[-0.00876453]
[-0.00110218],[-0.01217983]
[-0.00109536],[-0.02111353]
[-0.00110098],[-0.00608971]
[-0.00110355],[-0.01494763]
[-0.00109934],[0.01102456]
[-0.00110735],[0.00528355]
[-0.00110226],[-0.02062554]
[-0.00110566],[0.03400243]
[-0.00109992],[0.00053398]
[-0.00110117],[-0.0058144]
[-0.00110418],[-0.00240892]
[-0.00110336],[-0.00134132]
[-0.00110501],[0.00542113]
[-0.00110695],[-0.01657131]
[-0.00109913],[0.01231345]
[-0.00110414],[-0.00177399]
[-0.0011085],[-0.0577389]
[-0.00109754],[0.00594099]
[-0.0011021],[-0.03679671]
[-0.00109311],[0.01655559]
[-0.00110801],[0.05681349]
[-0.00109161],[-0.01132944]
[-0.00110509],[-0.00195172]
[-0.00100439],[-0.02814542]
[-0.00111343],[-0.01051611]
[-0.00110829],[0.00504161]
[-0.00112007],[-0.01043287]
[-0.00110661],[0.00802769]
[-0.00107991],[0.00721776]
[-0.00110992],[-0.0044821]
