Predicted Values,Actual Values
[0.00011743],[-0.00067319]
[0.00018143],[-0.01372684]
[0.00027785],[-0.04319432]
[0.0002332],[0.0245455]
[0.00028503],[0.00048915]
[0.00032033],[0.02192857]
[0.00029502],[-0.03831964]
[0.0002663],[-0.00223184]
[0.00029992],[-0.01472973]
[0.00034458],[0.02197919]
[0.00031319],[0.00321281]
[0.0002623],[-0.00076287]
[0.00029205],[0.0118597]
[0.00025133],[-0.01096224]
[0.00022947],[-0.02308062]
[0.00042506],[0.00070872]
[0.00032988],[0.00884835]
[0.00024625],[0.01574598]
[0.00035936],[-0.01372276]
[0.00032436],[-0.01290574]
[0.00032135],[0.01513087]
[0.00026358],[0.00479674]
[0.00031997],[0.00360111]
[0.00031533],[0.00703152]
[0.00036053],[-0.00343553]
[2.6759351e-05],[-0.01208316]
[0.00021747],[-0.00395154]
[0.00035115],[-0.04974473]
[0.00039213],[-0.00339234]
[0.00036734],[0.00131553]
[0.00034124],[-0.00178378]
[0.0002037],[0.01217106]
[0.00041492],[-0.02504617]
[0.00018607],[-0.00638968]
[0.0003068],[-0.04083298]
[0.00058006],[0.03408353]
[0.00030848],[0.02383024]
[0.00023199],[-0.03202895]
[0.0002579],[0.00708445]
[0.00041268],[0.01620779]
[0.00029741],[0.00051445]
[0.0002443],[0.00344596]
[0.00031607],[-0.00262467]
[0.00037476],[-0.0134146]
[0.00033448],[0.01160302]
[0.00019457],[0.00842541]
[0.00025687],[-0.00642087]
[0.00034973],[0.01026316]
[0.00031844],[0.00268716]
[0.00023296],[0.0002354]
[0.00030449],[0.00055987]
[0.0002418],[-0.01177727]
[0.0002932],[0.00656767]
[0.0002861],[-0.00355759]
[0.0003187],[-0.00117365]
[0.00032558],[-0.02460717]
[0.00034423],[-0.01932668]
[0.00024281],[0.00301746]
[0.00047832],[0.01750102]
[0.00028869],[-0.01615728]
[0.00024164],[0.00972931]
[0.00030822],[0.02770894]
[0.00017716],[0.00367023]
[0.00038973],[0.00334448]
[0.00032085],[-0.01599607]
[0.0004371],[0.0242009]
[0.00027132],[-0.00197368]
[0.00042704],[0.00254191]
[0.00020069],[-0.01881107]
[0.00023676],[-0.00196399]
[0.00033611],[0.00960916]
[0.00028615],[0.02661044]
[0.00026767],[0.01451092]
[0.00027718],[0.00069116]
[0.00028876],[0.04890058]
[0.00032],[0.00603479]
[-0.00037281],[0.01471031]
[0.00030591],[0.00213828]
[0.00039841],[-0.01183701]
[0.00027688],[0.0085505]
[0.00026923],[0.00236493]
[0.00025836],[-0.00174123]
[0.00032154],[-0.00370617]
[0.00027871],[0.02471565]
[0.00024562],[-0.0205372]
[7.112849e-05],[-0.01324714]
[0.00038068],[0.01822184]
[0.00038807],[-0.02299235]
[0.00027368],[0.00872596]
[0.00026338],[8.10876558e-05]
[0.00027193],[0.03230935]
[0.00024862],[-0.01324176]
[0.00021758],[0.0276201]
[0.00036376],[0.01617541]
[0.0002745],[0.00814158]
[0.00034156],[-0.01382204]
[0.00026715],[-8.42767649e-05]
[0.00026611],[0.00541264]
[0.00038949],[-0.02355492]
[0.0002861],[0.00561145]
[0.00034534],[0.00861253]
[0.00029913],[0.02625676]
[0.00029409],[-0.00378756]
[0.00026363],[0.00141587]
[0.00033151],[0.03573569]
[0.00031249],[0.02476159]
[0.00030422],[-0.03028088]
[0.00038148],[-0.01192105]
[0.00029368],[0.00474537]
[0.00029216],[0.00167894]
[0.00035054],[0.0470303]
[0.00027718],[0.00108904]
[0.00032094],[0.02215739]
[0.0002714],[0.00377061]
[0.000296],[-0.01493765]
[0.00034275],[0.01134876]
[0.00031554],[0.00214045]
[0.00028147],[0.01289368]
[0.00029495],[-0.0009165]
[0.00033041],[-0.02426953]
[0.00028227],[0.02286218]
[0.00022427],[-0.01511628]
[0.00037135],[-0.00739582]
[0.00033797],[-0.01990364]
[0.00027958],[-0.00672112]
[-3.699954e-05],[-0.11364369]
[0.00031907],[-0.00725237]
[0.00023097],[0.0015431]
[0.00036911],[0.00887218]
[0.00015663],[0.00680313]
