Company,Model,Method,Percentage
539921-Shanti Educational Initiatives Ltd,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.6837606837606838
500248-Krishna Filament Industries Ltd,Linear Regression,LinearFIPValue0.2,0.6482035928143712
500023-Asian Hotels (North) Limited,Ridge Regression,RidgeFIFValue10,0.5836298932384342
500028-ATV PROJECTS INDIA LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5711974110032363
542602-Embassy Office Parks REIT,Lasso Regression,LassoFIPValue0.1,0.5692307692307692
500235-KALYANI STEELS LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5650224215246636
500183-HFCL Ltd,Lasso Regression,LassoFIFValue1,0.5646481178396072
500159-Metroglobal Limited,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5638297872340425
500148-UFLEX LTD.,Linear Regression,LinearFIBackwardElimination,0.5633074935400517
500048-BEML LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5618729096989966
500264-MAFATLAL INDUSTRIES LTD.-$,Linear Regression,LinearFIFValue10,0.5613636363636364
500163-GODFREY PHILLIPS INDIA LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5602294455066922
500267-MAJESTIC AUTO LTD.-$,Linear Regression,LinearFIPValue0.2,0.5600907029478458
500160-GTL LTD.,Linear Regression,LinearFIFValue1,0.5592255125284739
500034-Bajaj Finance Limited,Ridge Regression,RidgeFIPValue0.05,0.5579268292682927
500280-CENTURY ENKA LTD.,Ridge Regression,RidgeFIFValue1,0.5578465063001146
500234-KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Linear Regression,LinearFIBackwardElimination,0.556497175141243
500179-HCL INFOSYSTEMS LTD.,Lasso Regression,LassoFIFValue1,0.5559360730593608
500086-EXIDE INDUSTRIES LTD.,Elastic Net Regression,ElasticFIPValue0.1,0.5555555555555556
500074-BPL LTD.,Ridge Regression,RidgeFIFValue10,0.5542021924482339
500012-ANDHRA PETROCHEMICALS LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5532407407407407
500126-Procter & Gamble Health Ltd,Linear Regression,LinearFIBackwardElimination,0.5529685681024447
500227-JINDAL POLY FILMS LTD.,Linear Regression,LinearFICoefficients0.1,0.5525727069351231
500243-Kirloskar Industries Ltd,Linear Regression,LinearFIPValue0.2,0.5519053876478318
537291-Nath Bio-Genes (India) Ltd,Ridge Regression,RidgeFIForwardSelection,0.5518867924528302
500268-MANALI PETROCHEMICAL LTD.,Ridge Regression,RidgeFIPValue0.2,0.5515151515151515
500210-INGERSOLL-RAND (INDIA) LTD.,Linear Regression,LinearFIFValue10,0.5506257110352674
500252-LAKSHMI MACHINE WORKS LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5506117908787542
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5503597122302158
500165-KANSAI NEROLAC PAINTS LTD.,Elastic Net Regression,ElasticFIFValue10,0.5487804878048781
500180-HDFC Bank Ltd,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5484949832775919
532689-PVR LTD.,Lasso Regression,LassoFIFValue1,0.5476878612716763
533260-CAREER POINT LTD.,Lasso Regression,LassoFIFValue1,0.5474339035769828
500087-CIPLA LTD.,Ridge Regression,RidgeFIPValue0.02,0.5473801560758083
500231-UMANG DAIRIES LTD.,Lasso Regression,LassoFICoefficients0.1,0.5468926553672316
500279-MIRC ELECTRONICS LTD.,Ridge Regression,RidgeFIFValue10,0.5467455621301776
500233-KAJARIA CERAMICS LTD.,Ridge Regression,RidgeFIFValue100,0.5465116279069767
500027-ATUL LTD.,Linear Regression,LinearFIPValue0.1,0.5464725643896976
533155-Jubilant FoodWorks Ltd,Linear Regression,LinearFIPValue0.2,0.5463483146067416
500186-HINDUSTAN OIL EXPLORATION CO.LTD.,Ridge Regression,RidgeFIPValue0.1,0.5455680399500624
500041-BANNARI AMMAN SUGARS LTD.,Linear Regression,LinearFIFValue1,0.5454545454545454
500220-JASCH INDUSTRIES LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5449358059914408
500020-BOMBAY DYEING & MFG.CO.LTD.,Linear Regression,LinearFIFValue10,0.5446327683615819
500110-CHENNAI PETROLEUM CORPORATION LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5445205479452054
500201-INDIA GLYCOLS LTD.,Linear Regression,LinearFIFValue1,0.5443322109988776
500184-Himadri Speciality Chemical Ltd,Elastic Net Regression,ElasticFIBackwardElimination,0.5439814814814815
500247-KOTAK MAHINDRA BANK LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5439377085650723
532538-ULTRATECH CEMENT LTD.,Ridge Regression,RidgeFIPValue0.1,0.5439377085650723
500052-BHANSALI ENGINEERING POLYMERS LTD.-$,Linear Regression,LinearFIFValue1,0.5425531914893617
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,Lasso Regression,LassoFIFValue1000,0.5425257731958762
500002-ABB India Limited,Linear Regression,LinearFIFValue1,0.5417130144605117
500032-Bajaj Hindusthan Sugar Limited,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5416149068322982
500680-PFIZER LTD.,Linear Regression,LinearFIForwardSelection,0.5397727272727273
500060-Birla Cable Ltd,Ridge Regression,RidgeFIFValue1,0.5393258426966292
500003-AEGIS LOGISTICS LTD.,Lasso Regression,LassoFIFValue1000,0.5392986698911729
500108-MAHANAGAR TELEPHONE NIGAM LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5392731535756154
500067-BLUE STAR LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5391498881431768
500078-Oriental Aromatics Ltd-$,Ridge Regression,RidgeFICoefficients0.1,0.539080459770115
500128-ELECTROSTEEL CASTINGS LTD.,Elastic Net Regression,ElasticFIBackwardElimination,0.5389294403892944
500266-MAHARASHTRA SCOOTERS LTD.,Linear Regression,LinearFIFValue10,0.5388888888888889
500246-ENVAIR ELECTRODYNE LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5388349514563107
500182-HERO MOTOCORP LTD.,Linear Regression,LinearFIBackwardElimination,0.5377777777777778
500043-BATA INDIA LTD.,Linear Regression,LinearFIPValue0.05,0.5373467112597548
500245-KIRLOSKAR FERROUS INDUSTRIES LTD.,Linear Regression,LinearFIBackwardElimination,0.5372233400402414
500166-GOODRICKE GROUP LTD.,Lasso Regression,LassoFIBackwardElimination,0.5369649805447471
532163-SAREGAMA INDIA LTD.,Lasso Regression,LassoFIFValue1,0.535632183908046
500212-INTEGRATED FINANCIAL SERVICES LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5352564102564102
500119-DHAMPUR SUGAR MILLS LTD.,Ridge Regression,RidgeFIPValue0.02,0.535064935064935
500147-John Cockerill India Ltd-$,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5349693251533743
500096-DABUR INDIA LTD.,Linear Regression,LinearFIBackwardElimination,0.5347533632286996
506395-COROMANDEL INTERNATIONAL LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5345982142857143
500253-LIC HOUSING FINANCE LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5328282828282829
500325-RELIANCE INDUSTRIES LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5328142380422692
500770-TATA CHEMICALS LTD.,Linear Regression,LinearFIPValue0.02,0.5325301204819277
500271-Max Financial Services Ltd,Linear Regression,LinearFIPValue0.2,0.5322164948453608
500124-DR.REDDY&#39;S LABORATORIES LTD.,Linear Regression,LinearFICoefficients0.1,0.5317460317460317
532488-DIVI&#39;S LABORATORIES LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5317460317460317
500265-MAHARASHTRA SEAMLESS LTD.,Ridge Regression,RidgeFIFValue10,0.5311827956989247
524715-SUN PHARMACEUTICAL INDUSTRIES LTD.,Linear Regression,LinearFIFValue1,0.5311778290993071
500116-IDBI BANK LTD.,Linear Regression,LinearFIPValue0.1,0.5311438278595696
500219-JAIN IRRIGATION SYSTEMS LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5307781649245064
500008-AMARA RAJA BATTERIES LTD.,Linear Regression,LinearFIBackwardElimination,0.5307262569832403
500257-LUPIN LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5305895439377085
500112-STATE BANK OF INDIA,Linear Regression,LinearFIPValue0.02,0.5300668151447662
500040-CENTURY TEXTILES & INDUSTRIES LTD.,Linear Regression,LinearFIPValue0.2,0.529482551143201
500102-BALLARPUR INDUSTRIES LTD.,Linear Regression,LinearFIFValue1,0.5291666666666667
500193-HLV Ltd,Lasso Regression,LassoFIFValue1,0.5281602002503129
