Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500002-ABB India Limited,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.084858354830628,0.0647225268340439,0.0072009403845607,46,distance,euclidean,0.7586419826342768
500002-ABB India Limited,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0262098505536041,0.0177156951073524,0.0006869562660422,8,distance,euclidean,0.7708625906012757
500002-ABB India Limited,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1149347638606266,0.0685780833210401,0.013209999943698,6,distance,manhattan,0.3888014740065525
500002-ABB India Limited,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0365752722509129,0.0224336131979745,0.0013377505402284,7,distance,manhattan,0.8464205303399471
500002-ABB India Limited,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0385855047286278,0.0247707258536839,0.0014888411751629,6,distance,manhattan,0.9136663833927532
500002-ABB India Limited,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0286881143197359,0.0198654994597018,0.0008230079032222,15,distance,euclidean,0.9661587580722284
500002-ABB India Limited,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0929123965714839,0.0585104316284891,0.0086327134366567,3,distance,manhattan,0.6858552604340185
500002-ABB India Limited,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0316025366380171,0.0223656483689181,0.0009987203219572,8,distance,euclidean,0.7692905934449311
500002-ABB India Limited,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0548951189435259,0.0422116469936736,0.0030134740838238,3,distance,euclidean,0.8404198466652866
500002-ABB India Limited,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.057907585517498,0.0409241911780214,0.0033532884604663,7,distance,euclidean,0.7904041315810552
500002-ABB India Limited,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0672682885511889,0.0423748656148987,0.004525022644606,6,distance,euclidean,0.8603219326052421
500002-ABB India Limited,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0404952578101263,0.0272810346961516,0.0016398659051085,9,distance,euclidean,0.959985211061454
500003-AEGIS LOGISTICS LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0732482249665351,0.0456649335976658,0.0053653024607481,11,distance,manhattan,0.7324511502346468
