Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext12Months,Lasso Regression,LassoFICoefficients0.1,0.07984166472286587,0.05920228230499483,0.006374691425718524,0.8742657538728894
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext12Months,Elastic Net Regression,ElasticFIFValue1000,0.07984970007121221,0.05066947250747037,0.006375974601462549,0.8742404445482416
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext12Months,Ridge Regression,RidgeFIFValue1000,0.07986220859487232,0.05089285504736782,0.006377972361650898,0.8742010407787961
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext12Months,Linear Regression,LinearFIFValue1000,0.08009027588522262,0.05096747987944039,0.0064144522913710715,0.8734815116038417
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext1Months,Ridge Regression,RidgeFIFValue1000,0.08521246435878689,0.0656014396893207,0.007261164082097526,0.3807261259497233
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext1Months,Linear Regression,LinearFIFValue1000,0.08524988807917347,0.06568532932607238,0.007267543417511603,0.38018205950100037
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext1Months,Lasso Regression,LassoFIFValue1000,0.08524988807917347,0.06568532932607239,0.007267543417511604,0.38018205950100026
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext1Months,Elastic Net Regression,ElasticFIFValue1000,0.08524988807917347,0.06568532932607239,0.007267543417511604,0.38018205950100026
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext24Months,Lasso Regression,LassoFIFValue1000,0.18960034588370692,0.15230037829560958,0.035948291159221296,0.03526290035741153
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext24Months,Elastic Net Regression,ElasticFIFValue1000,0.19745633135668098,0.162128085229491,0.03898900279283939,-0.04634006956606185
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext24Months,Linear Regression,LinearFIFValue1000,0.19816379964869352,0.16404933480163186,0.03926889149120754,-0.053851386582229877
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext24Months,Ridge Regression,RidgeFICoefficients0.1,0.20761197487285174,0.16885753103940795,0.04310273211060562,-0.15673940045938717
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext3Months,Lasso Regression,LassoFIFValue1000,0.08520901437687803,0.06133152255887671,0.007260576131079007,0.6763674696749593
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext3Months,Ridge Regression,RidgeFIFValue1000,0.08526226140637963,0.06164075336416818,0.007269653220129814,0.6759628679953593
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext3Months,Linear Regression,LinearFIFValue1000,0.08527694466507624,0.06166969219497698,0.007272157291410474,0.6758512516566496
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext3Months,Elastic Net Regression,ElasticFIFValue1000,0.08530710515445972,0.06165488899295394,0.007277302189834048,0.6756219232307745
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext6Months,Elastic Net Regression,ElasticFIFValue1000,0.08474750774555889,0.05810638372945289,0.007182140069083564,0.7804072226557186
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext6Months,Ridge Regression,RidgeFIFValue1000,0.08485684762579102,0.05867465708993897,0.007200684588986713,0.7798402269426193
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext6Months,Linear Regression,LinearFIFValue1000,0.08497431061206312,0.05869659675661912,0.007220633463995382,0.7792302932980634
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext6Months,Lasso Regression,LassoFIFValue1000,0.08562353905348373,0.05733930789693468,0.007331390440043452,0.7758439165709727
