security code,security name,revenue,income,expenditure,profit,eps,year,quartile
500390,RELIANCE INFRASTRUCTURE LTD.,15417.30,17999.20,-1518.80,2500.80,10.94,2007,3
500390,RELIANCE INFRASTRUCTURE LTD.,15054.90,18534.10,-14879.60,3016.00,12.97,2007,4
500390,RELIANCE INFRASTRUCTURE LTD.,21981.10,26184.30,-22835.50,2525.40,10.81,2008,2
500390,RELIANCE INFRASTRUCTURE LTD.,24732.30,26748.60,-22580.40,2889.70,12.49,2008,3
500390,RELIANCE INFRASTRUCTURE LTD.,27176.30,6817.20,-24645.70,2511.90,10.84,2008,4
500390,RELIANCE INFRASTRUCTURE LTD.,24463.30,5519.30,-22190.10,3165.70,14.05,2009,2
500390,RELIANCE INFRASTRUCTURE LTD.,26495.60,9280.80,-24106.00,3069.00,13.62,2009,3
500390,RELIANCE INFRASTRUCTURE LTD.,22874.90,6348.40,-21351.40,2771.30,12.30,2009,4
500390,RELIANCE INFRASTRUCTURE LTD.,26438.70,12847.50,-383.60,2510.90,11.14,2010,1
500390,RELIANCE INFRASTRUCTURE LTD.,22280.40,5571.40,-20514.60,2462.50,10.06,2010,2
500390,RELIANCE INFRASTRUCTURE LTD.,24391.00,8071.70,-523.80,1704.90,6.96,2010,3
500390,RELIANCE INFRASTRUCTURE LTD.,26176.40,10620.90,-24522.90,1657.20,6.77,2010,4
500390,RELIANCE INFRASTRUCTURE LTD.,36607.10,14860.00,-30335.10,4304.90,16.17,2011,2
500390,RELIANCE INFRASTRUCTURE LTD.,39505.40,13403.70,-33047.30,4957.40,18.84,2011,3
500390,RELIANCE INFRASTRUCTURE LTD.,44777.30,14959.60,-38874.00,4158.20,15.80,2011,4
500390,RELIANCE INFRASTRUCTURE LTD.,57315.60,43822.70,-1394.10,6581.80,25.03,2012,1
500390,RELIANCE INFRASTRUCTURE LTD.,34472.80,16383.30,-1693.40,3270.20,12.43,2012,2
500390,RELIANCE INFRASTRUCTURE LTD.,35002.20,15695.80,-1995.50,4141.30,15.75,2012,3
500390,RELIANCE INFRASTRUCTURE LTD.,34552.10,15163.00,-1685.00,6593.70,25.07,2012,4
500390,RELIANCE INFRASTRUCTURE LTD.,39193.20,15478.60,-2866.20,5990.00,22.78,2013,1
500390,RELIANCE INFRASTRUCTURE LTD.,32789.40,16108.40,-1526.40,3742.30,14.23,2013,2
500390,RELIANCE INFRASTRUCTURE LTD.,28318.00,15607.90,-1508.70,3458.20,13.15,2013,3
500390,RELIANCE INFRASTRUCTURE LTD.,25362.90,16358.40,-2054.90,3682.30,14.00,2013,4
500390,RELIANCE INFRASTRUCTURE LTD.,27099.00,8804.30,-2029.00,4996.60,19.00,2014,1
500390,RELIANCE INFRASTRUCTURE LTD.,25359.00,19589.20,-1570.60,3214.70,12.22,2014,2
500390,RELIANCE INFRASTRUCTURE LTD.,24670.60,18978.40,-2442.50,3560.50,13.54,2014,3
500390,RELIANCE INFRASTRUCTURE LTD.,27307.70,20148.20,-2250.10,4059.00,15.43,2014,4
500390,RELIANCE INFRASTRUCTURE LTD.,28018.30,18548.50,-2083.10,4499.70,17.11,2015,1
500390,RELIANCE INFRASTRUCTURE LTD.,25943.80,19827.00,-1960.40,3298.60,12.54,2015,2
500390,RELIANCE INFRASTRUCTURE LTD.,25712.60,183.00,-2535.10,3855.30,14.66,2015,3
500390,RELIANCE INFRASTRUCTURE LTD.,24006.70,160.80,-1790.90,5414.80,20.59,2015,4
500390,RELIANCE INFRASTRUCTURE LTD.,27814.70,1259.60,-2540.00,7289.50,27.72,2016,1
500390,RELIANCE INFRASTRUCTURE LTD.,25171.50,284.50,-2761.40,3972.30,15.10,2016,2
500390,RELIANCE INFRASTRUCTURE LTD.,19692.30,363.50,-2246.80,2454.50,9.33,2016,3
500390,RELIANCE INFRASTRUCTURE LTD.,21266.30,178.80,-2449.70,4408.50,16.76,2016,4
500390,RELIANCE INFRASTRUCTURE LTD.,21731.60,22942.60,-1978.80,2048.90,7.79,2017,1
500390,RELIANCE INFRASTRUCTURE LTD.,26805.80,32062.90,-2670.80,4172.60,15.87,2017,2
500390,RELIANCE INFRASTRUCTURE LTD.,21811.00,27157.60,-2488.30,5950.30,22.63,2017,3
500390,RELIANCE INFRASTRUCTURE LTD.,20738.00,25867.30,-3585.50,3198.50,11.89,2017,4
500390,RELIANCE INFRASTRUCTURE LTD.,20467.60,26650.00,-2169.80,3322.30,12.63,2018,1
500390,RELIANCE INFRASTRUCTURE LTD.,24422.20,30121.00,-2915.20,3627.50,13.79,2018,2
500390,RELIANCE INFRASTRUCTURE LTD.,2220.60,13555.60,-994.50,2043.10,7.77,2018,3
500390,RELIANCE INFRASTRUCTURE LTD.,2106.60,6327.70,-1022.50,3743.10,14.23,2018,4
500390,RELIANCE INFRASTRUCTURE LTD.,3279.60,8017.50,-755.20,-16642.50,-63.28,2019,1
500390,RELIANCE INFRASTRUCTURE LTD.,2842.60,8829.40,-669.80,3249.00,12.35,2019,2
500390,RELIANCE INFRASTRUCTURE LTD.,2912.30,8010.70,-458.70,2958.20,11.25,2019,3
500390,RELIANCE INFRASTRUCTURE LTD.,3850.80,9564.40,-357.40,3802.40,14.46,2019,4
500390,RELIANCE INFRASTRUCTURE LTD.,3585.00,6982.60,-846.50,303.10,1.15,2020,1
500390,RELIANCE INFRASTRUCTURE LTD.,1762.50,4576.20,-1117.10,-321.30,-1.22,2020,2
500390,RELIANCE INFRASTRUCTURE LTD.,2675.30,3174.90,-340.90,-1749.30,-6.65,2020,3
