security code,security name,revenue,income,expenditure,profit,eps,year,quartile
500083,CENTURY EXTRUSIONS LTD.,247.22,248.22,-235.65,5.68,0.12,2007,3
500083,CENTURY EXTRUSIONS LTD.,234.29,236.16,-223.01,5.52,0.12,2007,4
500083,CENTURY EXTRUSIONS LTD.,267.90,268.55,-239.25,13.39,0.28,2008,1
500083,CENTURY EXTRUSIONS LTD.,280.50,281.61,-259.11,10.56,0.22,2008,2
500083,CENTURY EXTRUSIONS LTD.,266.55,269.42,-0.83,5.19,0.07,2008,3
500083,CENTURY EXTRUSIONS LTD.,228.90,20.55,-0.83,12.59,0.18,2009,1
500083,CENTURY EXTRUSIONS LTD.,219.09,17.21,-201.88,12.78,0.16,2009,2
500083,CENTURY EXTRUSIONS LTD.,272.61,23.10,-249.51,9.20,0.12,2009,3
500083,CENTURY EXTRUSIONS LTD.,338.83,338.83,-316.20,9.00,0.11,2009,4
500083,CENTURY EXTRUSIONS LTD.,396.57,38.20,-358.38,22.57,0.28,2010,1
500083,CENTURY EXTRUSIONS LTD.,340.72,4.87,-335.84,-3.50,-0.04,2010,2
500083,CENTURY EXTRUSIONS LTD.,287.15,-11.49,-298.64,-12.09,-0.15,2010,3
500083,CENTURY EXTRUSIONS LTD.,492.80,15.47,-477.33,1.63,0.02,2010,4
500083,CENTURY EXTRUSIONS LTD.,510.58,38.20,-472.38,19.81,0.25,2011,1
500083,CENTURY EXTRUSIONS LTD.,453.25,14.19,-439.07,2.32,0.03,2011,2
500083,CENTURY EXTRUSIONS LTD.,465.25,3.92,-461.33,-2.60,-0.03,2011,3
500083,CENTURY EXTRUSIONS LTD.,531.99,531.99,-514.33,3.27,0.04,2011,4
500083,CENTURY EXTRUSIONS LTD.,474.00,474.00,-62.90,29.00,0.36,2012,1
500083,CENTURY EXTRUSIONS LTD.,434.70,434.70,-60.50,-1.20,-0.01,2012,2
500083,CENTURY EXTRUSIONS LTD.,421.50,10.90,-52.60,1.10,0.01,2012,3
500083,CENTURY EXTRUSIONS LTD.,477.40,477.40,-62.20,3.90,0.05,2012,4
500083,CENTURY EXTRUSIONS LTD.,447.40,447.40,-59.40,-4.00,-0.05,2013,1
500083,CENTURY EXTRUSIONS LTD.,436.70,436.70,-63.90,-13.40,-0.17,2013,2
500083,CENTURY EXTRUSIONS LTD.,523.20,523.20,-67.50,1.70,0.02,2013,3
500083,CENTURY EXTRUSIONS LTD.,489.10,489.10,-60.40,5.70,0.07,2013,4
500083,CENTURY EXTRUSIONS LTD.,455.20,2.80,-59.20,-4.40,-0.06,2014,1
500083,CENTURY EXTRUSIONS LTD.,395.80,12.50,-47.10,3.70,0.05,2014,2
500083,CENTURY EXTRUSIONS LTD.,481.50,481.50,-49.60,5.30,0.07,2014,3
500083,CENTURY EXTRUSIONS LTD.,435.40,11.60,-47.80,7.90,0.10,2014,4
500083,CENTURY EXTRUSIONS LTD.,425.70,425.70,-51.90,-2.20,-0.03,2015,1
500083,CENTURY EXTRUSIONS LTD.,409.60,409.60,-43.70,2.90,0.03,2015,2
500083,CENTURY EXTRUSIONS LTD.,409.90,409.90,-52.00,2.20,0.03,2015,4
500083,CENTURY EXTRUSIONS LTD.,470.70,470.70,-56.70,4.30,0.05,2016,1
500083,CENTURY EXTRUSIONS LTD.,551.10,554.90,-69.10,3.80,0.05,2017,1
500083,CENTURY EXTRUSIONS LTD.,524.00,531.00,-68.30,8.20,0.10,2017,3
500083,CENTURY EXTRUSIONS LTD.,602.65,613.16,-81.20,9.70,0.12,2017,4
500083,CENTURY EXTRUSIONS LTD.,669.30,673.60,-65.90,18.20,0.22,2018,1
500083,CENTURY EXTRUSIONS LTD.,599.00,603.40,-76.10,14.95,0.19,2018,2
500083,CENTURY EXTRUSIONS LTD.,672.90,678.00,-79.30,18.60,0.23,2018,3
500083,CENTURY EXTRUSIONS LTD.,609.90,612.20,-70.30,11.40,0.14,2018,4
500083,CENTURY EXTRUSIONS LTD.,669.50,668.70,-80.60,-4.60,-0.04,2019,1
500083,CENTURY EXTRUSIONS LTD.,588.30,591.50,-64.40,4.80,0.06,2019,2
500083,CENTURY EXTRUSIONS LTD.,517.10,520.50,-73.50,6.80,0.09,2019,3
500083,CENTURY EXTRUSIONS LTD.,618.20,622.50,-78.30,7.60,0.10,2019,4
500083,CENTURY EXTRUSIONS LTD.,582.00,586.50,-84.70,17.80,0.20,2020,1
500083,CENTURY EXTRUSIONS LTD.,126.80,129.80,-25.90,-30.50,-38.00,2020,2
500083,CENTURY EXTRUSIONS LTD.,510.70,513.50,-64.50,11.40,0.14,2020,3
500083,CENTURY EXTRUSIONS LTD.,589.80,594.50,-78.70,16.80,0.21,2020,4
