,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
0,500339,RAIN,Rain Industries Ltd,16 Jun 2008,Dividend - Rs. - 2.8000,-,18 Jun 2008,25 Jun 2008,11 Jun 2008,17 Jun 2008,-
1,500339,RAIN,Rain Industries Ltd,08 Jun 2009,Dividend - Rs. - 3.7000,-,10 Jun 2009,17 Jun 2009,03 Jun 2009,09 Jun 2009,-
2,500339,RAIN,Rain Industries Ltd,31 May 2010,Dividend - Rs. - 3.7000,-,02 Jun 2010,07 Jun 2010,25 May 2010,01 Jun 2010,-
3,500339,RAIN,Rain Industries Ltd,03 May 2011,Dividend - Rs. - 4.6000,-,05 May 2011,12 May 2011,28 Apr 2011,04 May 2011,-
4,500339,RAIN,Rain Industries Ltd,15 Jun 2011,Stock  Split From Rs.10/- to Rs.2/-,16 Jun 2011,-,-,09 Jun 2011,15 Jun 2011,-
5,500339,RAIN,Rain Industries Ltd,16 Apr 2012,Dividend - Rs. - 1.1000,-,18 Apr 2012,25 Apr 2012,11 Apr 2012,17 Apr 2012,-
6,500339,RAIN,Rain Industries Ltd,16 Apr 2013,Final Dividend - Rs. - 1.1000,-,18 Apr 2013,27 Apr 2013,10 Apr 2013,17 Apr 2013,-
7,500339,RAIN,Rain Industries Ltd,27 Nov 2013,Interim Dividend - Rs. - 1.0000,28 Nov 2013,-,-,21 Nov 2013,27 Nov 2013,06 Dec 2013
8,500339,RAIN,Rain Industries Ltd,19 Nov 2014,Interim Dividend - Rs. - 1.0000,20 Nov 2014,-,-,13 Nov 2014,19 Nov 2014,28 Nov 2014
9,500339,RAIN,Rain Industries Ltd,27 Aug 2015,Interim Dividend - Rs. - 1.0000,28 Aug 2015,-,-,21 Aug 2015,27 Aug 2015,-
10,500339,RAIN,Rain Industries Ltd,25 Aug 2016,Interim Dividend - Rs. - 1.0000,26 Aug 2016,-,-,24 Aug 2016,25 Aug 2016,-
11,500339,RAIN,Rain Industries Ltd,23 Aug 2017,Interim Dividend - Rs. - 1.0000,24 Aug 2017,-,-,16 Aug 2017,23 Aug 2017,-
12,500339,RAIN,Rain Industries Ltd,03 May 2018,Final Dividend - Rs. - 1.0000,-,05 May 2018,11 May 2018,26 Apr 2018,03 May 2018,-
13,500339,RAIN,Rain Industries Ltd,26 Nov 2018,Interim Dividend - Rs. - 1.0000,27 Nov 2018,-,-,16 Nov 2018,26 Nov 2018,-
14,500339,RAIN,Rain Industries Ltd,25 Nov 2019,Interim Dividend - Rs. - 1.0000,26 Nov 2019,-,-,19 Nov 2019,25 Nov 2019,-
15,500339,RAIN,Rain Industries Ltd,10 Nov 2020,Interim Dividend - Rs. - 1.0000,11 Nov 2020,-,-,04 Nov 2020,10 Nov 2020,-
