,security code,security name,revenue,income,expenditure,profit,eps,year,quartile
0,532539,MINDAIND,1091.39,1116.13,-1022.09,42.87,4.08,2007,3
1,532539,MINDAIND,971.75,1016.28,-927.94,42.5,4.05,2007,4
2,532539,MINDAIND,954.75,1030.03,-962.77,44.9,4.27,2008,1
3,532539,MINDAIND,1047.45,1072.57,-1001.33,27.33,2.6,2008,2
4,532539,MINDAIND,1297.85,1299.35,-1207.88,33.21,3.16,2008,3
5,532539,MINDAIND,1089.66,1065.15,-1011.87,19.99,1.9,2008,4
6,532539,MINDAIND,1110.02,1088.75,-982.15,71.14,6.77,2009,1
7,532539,MINDAIND,1203.45,1176.1,-1113.94,41.41,3.94,2009,2
8,532539,MINDAIND,1361.2,1331.18,-1250.55,52.7,5.02,2009,3
9,532539,MINDAIND,1638.13,1610.49,-1514.41,56.98,5.42,2009,4
10,532539,MINDAIND,1954.89,1909.43,-1851.0,107.11,5.09,2010,2
11,532539,MINDAIND,2150.51,2103.73,-2038.4,61.49,5.85,2010,3
12,532539,MINDAIND,2183.07,2156.67,-2043.79,72.15,6.87,2010,4
13,532539,MINDAIND,2345.35,2288.63,-2218.54,60.19,4.08,2011,2
14,532539,MINDAIND,2805.74,2720.84,-2705.85,87.43,5.51,2011,3
15,532539,MINDAIND,2748.73,2665.59,-2647.34,144.88,9.13,2011,4
16,532539,MINDAIND,2890.39,2852.1,-358.44,4.25,0.19,2012,1
17,532539,MINDAIND,2574.99,2509.28,-296.12,105.75,6.67,2012,2
18,532539,MINDAIND,2606.37,2548.42,-301.77,59.49,3.67,2012,3
19,532539,MINDAIND,2630.28,68.5,-279.07,54.41,3.41,2012,4
20,532539,MINDAIND,2751.29,2716.6,-344.92,83.41,5.23,2013,1
21,532539,MINDAIND,2490.46,2458.88,-341.41,37.58,2.35,2013,2
22,532539,MINDAIND,2727.5,2696.34,-349.24,51.22,3.21,2013,3
23,532539,MINDAIND,2832.24,30.78,-352.79,40.53,2.54,2013,4
24,532539,MINDAIND,3030.42,2991.14,-322.1,141.87,8.92,2014,1
25,532539,MINDAIND,3045.72,3004.56,-357.98,126.26,7.94,2014,2
26,532539,MINDAIND,3470.32,3422.71,-428.94,255.79,16.1,2014,3
27,532539,MINDAIND,3623.18,3570.86,-456.45,126.31,7.96,2014,4
28,532539,MINDAIND,3564.58,3472.32,-424.25,23.64,1.47,2015,1
29,532539,MINDAIND,3412.15,3376.36,-417.55,136.0,8.55,2015,2
30,532539,MINDAIND,3767.33,3694.25,-453.61,231.61,14.58,2015,3
31,532539,MINDAIND,3702.35,3659.91,-426.84,203.5,12.81,2015,4
32,532539,MINDAIND,3805.55,3743.06,-481.7,222.73,14.02,2016,1
33,532539,MINDAIND,4008.3,287.1,-493.1,226.0,,2016,2
34,532539,MINDAIND,4388.0,293.1,-581.0,330.6,4.17,2016,3
35,532539,MINDAIND,4001.8,3961.3,-507.0,189.6,2.39,2016,4
36,532539,MINDAIND,3996.4,4006.6,-520.5,201.9,2.54,2017,1
37,532539,MINDAIND,4745.1,4745.1,-606.5,238.0,2.76,2017,2
38,532539,MINDAIND,4776.7,4959.1,-623.8,425.6,4.93,2017,3
39,532539,MINDAIND,4518.0,4615.4,-546.7,332.5,3.85,2017,4
40,532539,MINDAIND,5174.2,5214.1,-677.9,288.8,1.05,2018,2
41,532539,MINDAIND,5391.8,5559.9,-642.4,459.4,1.74,2018,3
42,532539,MINDAIND,5093.8,5176.1,-635.0,283.5,1.08,2018,4
43,532539,MINDAIND,5337.2,5517.1,-639.3,435.7,1.66,2019,1
44,532539,MINDAIND,5155.0,5225.8,-645.1,226.1,0.86,2019,2
45,532539,MINDAIND,4885.8,5134.5,-645.6,342.2,1.31,2019,3
46,532539,MINDAIND,4585.3,4676.1,-550.5,181.4,0.69,2019,4
47,532539,MINDAIND,7538.5,7736.6,-1171.7,51.7,0.2,2020,1
48,532539,MINDAIND,2281.6,2319.5,-474.6,-531.1,-2.03,2020,2
49,532539,MINDAIND,8709.6,9046.7,-1032.0,643.0,2.44,2020,3
50,532539,MINDAIND,10819.5,10867.3,-1282.0,614.0,2.31,2020,4
