Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-05-14,202.45,202.45,198.5,200.05,200.46511627906975,18146.0,482.0,3637640.0,8444.0,46.53,3.9499999999999886,-2.3999999999999773,1620930600.0
2021-05-12,200.0,203.6,200.0,200.9,201.4317291477494,38545.0,795.0,7764186.0,21354.0,55.4,3.5999999999999943,0.9000000000000057,1620757800.0
2021-05-10,204.0,207.0,200.1,200.55,202.1918355568381,45049.0,1655.0,9108540.0,25579.0,56.78,6.900000000000006,-3.4499999999999886,1620585000.0
2021-05-07,207.0,208.0,203.6,203.9,204.55101119537738,33228.0,856.0,6796821.0,16389.0,49.32,4.400000000000006,-3.0999999999999943,1620345600.0
2021-05-06,209.8,209.8,203.35,204.6,205.7515796295296,18517.0,633.0,3809902.0,9106.0,49.18,6.450000000000018,-5.200000000000017,1620259200.0
2021-05-05,208.15,210.1,205.0,205.65,207.6553382494389,28071.0,711.0,5829093.0,8188.0,29.17,5.099999999999994,-2.5,1620153000.0
2021-05-04,208.7,216.2,208.1,208.8,212.2725180114197,200706.0,3777.0,42604368.0,49575.0,24.7,8.099999999999994,0.1000000000000227,1620086400.0
2021-05-03,202.3,209.3,202.3,204.9,205.9864862799052,65415.0,1056.0,13474606.0,23566.0,36.03,7.0,2.6,1620000000.0
2021-04-30,204.85,208.0,202.7,204.6,205.42175039468887,49406.0,1263.0,10149067.0,22332.0,45.2,5.3,-0.25,1619740800.0
2021-04-29,209.8,209.8,199.0,202.65,204.74716208308948,34180.0,802.0,6998258.0,13527.0,39.58,10.8,-7.15,1619654400.0
2021-04-28,206.05,210.2,205.1,206.05,207.26546834321164,36106.0,999.0,7483527.0,12121.0,33.57,5.1,0.0,1619568000.0
2021-04-27,207.0,211.15,203.2,206.35,207.6790991366424,110383.0,2869.0,22924242.0,25818.0,23.39,7.95,-0.65,1619481600.0
2021-04-26,198.3,207.0,198.3,203.85,204.21850151192746,17858.0,337.0,3646934.0,6479.0,36.28,8.7,5.55,1619395200.0
2021-04-23,202.4,205.45,201.5,202.3,203.30786283339103,14435.0,381.0,2934749.0,6279.0,43.5,3.95,-0.1,1619136000.0
2021-04-22,202.95,205.2,200.0,203.1,202.1503667919127,27945.0,619.0,5649092.0,6347.0,22.71,5.2,0.15,1619049600.0
2021-04-20,206.95,210.9,201.5,203.35,207.1548675834158,67703.0,971.0,14025006.0,17172.0,25.36,9.4,-3.6,1618876800.0
2021-04-19,206.0,206.0,190.25,202.55,201.36534319811489,39467.0,624.0,7947286.0,8724.0,22.1,15.75,-3.45,1618790400.0
2021-04-16,202.95,212.35,200.9,209.55,207.9958751431073,59396.0,1289.0,12354123.0,14070.0,23.69,11.45,6.6,1618531200.0
2021-04-15,201.8,205.45,199.05,201.05,201.3084072584525,51967.0,1185.0,10461394.0,12461.0,23.98,6.4,-0.75,1618444800.0
2021-04-13,207.0,209.5,201.4,206.15,205.729251466682,104658.0,2199.0,21531212.0,16104.0,15.39,8.1,-0.85,1618272000.0
2021-04-12,193.0,206.4,193.0,195.85,200.43864321067355,111528.0,1961.0,22354521.0,52837.0,47.38,13.4,2.85,1618185600.0
2021-04-09,214.0,216.3,207.4,211.95,212.1677705075008,25064.0,622.0,5317773.0,5687.0,22.69,8.9,-2.05,1617926400.0
2021-04-08,207.3,223.0,206.5,213.0,213.8272212458504,76815.0,1800.0,16425138.0,15134.0,19.7,16.5,5.7,1617840000.0
2021-04-07,200.65,208.9,200.65,204.5,204.97727272727272,21252.0,495.0,4356177.0,4195.0,19.74,8.25,3.85,1617753600.0
2021-04-06,203.5,206.45,198.2,202.7,202.8230194666976,51678.0,1169.0,10481488.0,16988.0,32.87,8.25,-0.8,1617667200.0
2021-04-05,204.0,205.9,192.2,203.2,202.13234802516288,98717.0,2193.0,19953899.0,37923.0,38.42,13.7,-0.8,1617580800.0
2021-04-01,200.5,210.75,196.0,208.25,206.63349790089768,259873.0,5201.0,53698467.0,61225.0,23.56,14.75,7.75,1617235200.0
2021-03-31,186.0,201.5,185.15,199.55,195.9814370483184,208803.0,5670.0,40921512.0,71837.0,34.4,16.35,13.55,1617148800.0
2021-03-30,204.3,205.9,182.25,184.1,190.3308001271419,69214.0,1570.0,13173556.0,33215.0,47.99,23.65,-20.2,1617062400.0
2021-03-26,206.3,211.2,201.9,202.45,205.74400359579946,24473.0,620.0,5035173.0,10415.0,42.56,9.3,-3.85,1616716800.0
2021-03-25,213.9,214.5,202.8,204.4,206.07953390691688,73805.0,1635.0,15209700.0,42588.0,57.7,11.7,-9.5,1616630400.0
2021-03-24,215.0,221.35,208.0,211.85,215.4798835475396,70415.0,1288.0,15173016.0,15517.0,22.04,13.35,-3.15,1616544000.0
2021-03-23,221.0,221.0,214.25,215.45,218.0340597117365,69936.0,1333.0,15248430.0,22682.0,32.43,6.75,-5.55,1616457600.0
2021-03-22,219.0,222.95,213.65,220.35,218.362437798184,97465.0,1957.0,21282695.0,34217.0,35.11,9.3,1.35,1616371200.0
2021-03-19,224.0,235.0,214.2,219.25,223.18259117250702,239683.0,4693.0,53493073.0,73974.0,30.86,20.8,-4.75,1616112000.0
2021-03-18,229.0,237.9,219.5,225.9,230.58484817607498,196280.0,3726.0,45259194.0,62979.0,32.09,18.4,-3.1,1616025600.0
2021-03-17,222.7,243.7,211.0,227.4,230.4904662946272,428270.0,7371.0,98712152.0,115251.0,26.91,32.7,4.7,1615939200.0
2021-03-16,213.95,230.2,210.0,226.05,226.6527080141777,486962.0,7297.0,110371256.0,181949.0,37.36,20.2,12.1,1615852800.0
2021-03-15,211.0,214.75,202.05,209.3,209.18011017115882,50830.0,1099.0,10632625.0,19863.0,39.08,12.7,-1.7,1615766400.0
2021-03-12,205.0,211.75,204.4,207.55,208.32952167993184,180674.0,4171.0,37639728.0,89919.0,49.77,7.35,2.55,1615507200.0
2021-03-10,201.9,203.45,199.65,200.85,201.8091914893617,23500.0,401.0,4742516.0,13449.0,57.23,3.8,-1.05,1615334400.0
2021-03-09,204.0,206.05,200.0,200.6,202.15345529897667,70457.0,1471.0,14243126.0,45052.0,63.94,6.05,-3.4,1615248000.0
2021-03-08,199.95,208.0,197.0,202.15,202.90174549549545,71040.0,1165.0,14414140.0,26160.0,36.82,11.0,2.2,1615161600.0
2021-03-05,201.75,201.75,193.35,196.6,196.86407891600498,54539.0,1128.0,10736770.0,31365.0,57.51,8.4,-5.15,1614902400.0
2021-03-04,198.0,204.0,197.0,199.5,200.7225083660701,34365.0,823.0,6897829.0,11991.0,34.89,7.0,1.5,1614816000.0
2021-03-03,203.0,205.85,196.95,197.95,202.2529002882124,82578.0,2011.0,16701640.0,41663.0,50.45,8.9,-5.05,1614729600.0
2021-03-02,197.85,204.65,195.0,202.0,200.50814139017302,146658.0,2711.0,29406123.0,105294.0,71.8,9.65,4.15,1614643200.0
2021-03-01,190.3,200.0,188.35,197.85,195.86446833930702,125550.0,2503.0,24590784.0,65904.0,52.49,11.65,7.55,1614556800.0
2021-02-26,194.8,197.55,188.0,189.15,191.29162719576325,134065.0,2931.0,25645512.0,47775.0,35.64,9.55,-5.65,1614297600.0
2021-02-25,197.0,209.4,195.6,198.5,202.27135596494202,165668.0,2881.0,33509891.0,43358.0,26.17,13.8,1.5,1614211200.0
2021-02-24,195.4,204.0,180.55,195.85,193.8585605382383,368610.0,5562.0,71458204.0,119037.0,32.29,23.45,0.45,1614124800.0
2021-02-23,184.4,203.7,171.0,195.25,187.1341640569989,472921.0,7872.0,88499676.0,151205.0,31.97,32.7,10.85,1614038400.0
2021-02-22,208.8,224.0,184.55,186.4,198.76434218859157,459501.0,9470.0,91332414.0,132800.0,28.9,39.45,-22.4,1613952000.0
2021-02-19,194.0,205.05,190.35,205.05,201.36020130629657,565109.0,8126.0,113790462.0,207276.0,36.68,14.7,11.05,1613692800.0
2021-02-18,146.5,170.9,146.5,170.9,164.86691924731463,537914.0,5761.0,88684224.0,225825.0,41.98,24.4,24.4,1613606400.0
2021-02-17,140.2,144.0,140.2,142.45,142.92869306341169,83975.0,1074.0,12002437.0,45859.0,54.61,3.8,2.25,1613520000.0
