DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-12,500002,6988,9807658,29672,41783612,23.55
2021-05-12,500003,6276,2102147,12294,4135509,51.05
2021-05-12,500008,56486,45361083,234491,187655870,24.09
2021-05-12,500009,840010,28056334,920262,30483526,91.28
2021-05-12,500010,69280,168953136,148083,359037638,46.78
2021-05-12,500012,679907,51774919,918700,71403573,74.01
2021-05-12,500013,15418,90196,19918,115644,77.41
2021-05-12,500014,5421,13174,5747,13909,94.33
2021-05-12,500016,1474,10676,1474,10676,100.0
2021-05-12,500020,191598,14503969,637448,48986503,30.06
2021-05-12,500023,997,66849,1188,79339,83.92
2021-05-12,500027,307,2537156,925,7673398,33.19
2021-05-12,500028,29282,152312,29282,152312,100.0
2021-05-12,500031,2147,2480966,4542,5250650,47.27
2021-05-12,500032,12725768,173070445,22463622,302922567,56.65
2021-05-12,500033,2531,2983796,4827,5741761,52.43
2021-05-12,500034,16966,90889407,75549,406943856,22.46
2021-05-12,500038,91483,28876609,208402,66855380,43.9
2021-05-12,500039,7349,1106392,16270,2473183,45.17
2021-05-12,500040,23138,11128222,109771,52451771,21.08
2021-05-12,500041,117,230526,143,286945,81.82
2021-05-12,500042,5854,14211171,16893,40438823,34.65
2021-05-12,500043,5916,7984826,33453,45430737,17.68
2021-05-12,500048,25675,33899987,92651,124122342,27.71
2021-05-12,500049,792962,116327526,2646396,400741322,29.96
2021-05-12,500052,90118,14180068,178762,28450259,50.41
2021-05-12,500055,1878745,190316869,4048915,423523947,46.4
2021-05-12,500058,16485,84238,16485,84238,100.0
2021-05-12,500060,28104,1783199,34260,2185948,82.03
2021-05-12,500067,1999,1641279,5792,4749596,34.51
2021-05-12,500068,528,2486141,652,3078899,80.98
2021-05-12,500069,4906,932141,4906,932141,100.0
2021-05-12,500074,23566,880191,23566,880190,100.0
2021-05-12,500078,2787,2251339,3794,3068102,73.46
2021-05-12,500083,349336,2487273,688763,4867379,50.72
2021-05-12,500084,49702,33273004,104761,69987666,47.44
2021-05-12,500085,361056,92376178,1062876,267918118,33.97
2021-05-12,500086,93424,17409563,344881,64556365,27.09
2021-05-12,500087,104975,94341033,339229,304134279,30.95
2021-05-12,500089,1137,445989,1700,672290,66.88
2021-05-12,500092,1948,3743862,2643,5068427,73.7
2021-05-12,500093,212307,17759481,433321,37375583,49.0
2021-05-12,500096,85148,45064579,204599,108173140,41.62
2021-05-12,500097,15579,4873112,48934,15635947,31.84
2021-05-12,500101,70017,5132247,124624,9280179,56.18
2021-05-12,500102,499071,628829,499071,628829,100.0
2021-05-12,500103,3097177,220983579,18438702,1351818102,16.8
2021-05-12,500104,102278,26832634,278881,73722114,36.67
2021-05-12,500106,738275,8527077,1378869,15934617,53.54
2021-05-12,500108,436431,8095796,1059288,19935085,41.2
2021-05-12,500109,645846,30936024,2157423,108067973,29.94
2021-05-12,500110,80158,9394518,208247,24751855,38.49
2021-05-12,500111,811650,9569354,1794350,21762658,45.23
2021-05-12,500112,958033,352412440,3505968,1290081324,27.33
2021-05-12,500113,2049886,270994930,7707947,1052751612,26.59
2021-05-12,500114,24009,34928294,60983,88010689,39.37
2021-05-12,500116,1184307,46010327,2825531,110621164,41.91
2021-05-12,500117,149503,5113003,293998,10142523,50.85
2021-05-12,500119,50558,16456629,128236,42996936,39.43
2021-05-12,500120,12034,4019958,16704,5615658,72.04
2021-05-12,500123,399,1391114,641,2249632,62.25
2021-05-12,500124,6413,34001726,38288,203047658,16.75
2021-05-12,500125,8891,3726663,19701,8456111,45.13
2021-05-12,500126,1026,5932845,1588,9198351,64.61
2021-05-12,500128,59146,1871971,133678,4243161,44.25
2021-05-12,500133,566,1006773,655,1172720,86.41
2021-05-12,500135,15290,3655839,51980,12508200,29.42
2021-05-12,500136,13522,1962719,38529,5523114,35.1
2021-05-12,500142,1552,2111,1552,2112,100.0
2021-05-12,500143,897,24219,897,24233,100.0
2021-05-12,500144,5042,1882179,10418,3880596,48.4
2021-05-12,500147,4210,3979503,6115,5806242,68.85
2021-05-12,500148,4406,1876516,12892,5548994,34.18
2021-05-12,500150,318,436599,427,592822,74.47
2021-05-12,500151,3323,146212,4642,207124,71.59
2021-05-12,500153,74540,4997907,82549,5602095,90.3
2021-05-12,500159,1410,83754,2595,152301,54.34
2021-05-12,500160,87263,615205,130891,938176,66.67
2021-05-12,500163,761,653053,1534,1322679,49.61
2021-05-12,500164,51904,28871600,371137,214863651,13.99
2021-05-12,500165,6314,3529211,13002,7229910,48.56
2021-05-12,500166,14984,3972259,21148,5638590,70.85
2021-05-12,500168,1076,971736,1583,1430061,67.97
2021-05-12,500170,1781,20037,1995,22317,89.27
2021-05-12,500171,29450,7724735,60255,16048694,48.88
2021-05-12,500173,7713,548009,11464,813330,67.28
2021-05-12,500174,500,1025,500,1025,100.0
2021-05-12,500179,173948,1633372,289575,2688062,60.07
2021-05-12,500180,74987,104944307,255383,357019991,29.36
2021-05-12,500182,3813,10835975,15125,42869086,25.21
2021-05-12,500183,1369224,49155142,3535413,130841628,38.73
2021-05-12,500184,352801,17516570,1303595,66438531,27.06
2021-05-12,500185,919428,7658836,2102601,17743880,43.73
2021-05-12,500186,44275,5257657,132093,15740449,33.52
2021-05-12,500187,185602,37946329,575994,123074529,32.22
2021-05-12,500188,253827,80450468,645554,208954595,39.32
2021-05-12,500189,1355,700942,2098,1094728,64.59
2021-05-12,500191,18122,528317,18122,528317,100.0
2021-05-12,500192,7478,12062,7478,12062,100.0
2021-05-12,500193,68807,420411,85795,532597,80.2
2021-05-12,500199,1695,783345,4115,1928728,41.19
2021-05-12,500201,6598,3277557,52055,26372924,12.68
2021-05-12,500202,21,223,21,222,100.0
2021-05-12,500206,2114,20401,2116,21158,99.91
2021-05-12,500207,62063,2941787,118727,5688366,52.27
2021-05-12,500209,931184,1228805814,1134464,1496453046,82.08
2021-05-12,500210,1797,1393484,4673,3677924,38.45
2021-05-12,500211,64654,449992,67097,469883,96.36
2021-05-12,500212,347,10531,347,10531,100.0
2021-05-12,500213,16896,991796,19948,1198158,84.7
2021-05-12,500214,8385,11894961,11932,17066218,70.27
2021-05-12,500215,2038,1981548,4714,4630058,43.23
2021-05-12,500219,683009,13762632,1321766,26768301,51.67
2021-05-12,500220,35417,2436690,38249,2582198,92.6
2021-05-12,500223,8165379,10451686,9942836,13213165,82.12
2021-05-12,500227,2842,2275306,26936,21819560,10.55
2021-05-12,500228,118982,84209511,770752,555678442,15.44
2021-05-12,500231,3082,191084,3978,244886,77.48
2021-05-12,500233,3953,3478048,9675,8530109,40.86
2021-05-12,500234,3441,877800,8291,2171513,41.5
2021-05-12,500235,5776,2095822,11845,4369504,48.76
2021-05-12,500236,15280,33758,15280,33758,100.0
2021-05-12,500238,7209,15109344,13128,27704371,54.91
2021-05-12,500239,183592,8179024,250792,10972693,73.2
2021-05-12,500240,9305,367090,9305,367090,100.0
2021-05-12,500241,6562,1693981,9532,2466846,68.84
2021-05-12,500243,575,838839,712,1032004,80.76
2021-05-12,500245,30675,7903414,60814,15800411,50.44
2021-05-12,500246,251,7405,251,7404,100.0
2021-05-12,500247,110543,189973673,192353,331657416,57.47
2021-05-12,500249,1234,1148793,1980,1847602,62.32
2021-05-12,500250,4874,1423208,6450,1883161,75.57
2021-05-12,500251,8354,6426315,19410,14934156,43.04
2021-05-12,500252,128,778868,309,1886870,41.42
2021-05-12,500253,95572,41000388,215660,93391783,44.32
2021-05-12,500257,63040,76325680,263516,319173255,23.92
2021-05-12,500259,8922,401937,8922,401936,100.0
2021-05-12,500260,5346,5012143,41719,39095670,12.81
2021-05-12,500264,1284,131354,2045,209733,62.79
2021-05-12,500265,7758,2312272,13919,4195270,55.74
2021-05-12,500266,154,532887,234,812058,65.81
2021-05-12,500267,2210,229398,3051,318336,72.44
2021-05-12,500268,73818,6149040,181004,15234807,40.78
2021-05-12,500271,2802,2496723,16933,15149270,16.55
2021-05-12,500274,2500,13534,2500,13534,100.0
2021-05-12,500277,300,1113,300,1113,100.0
2021-05-12,500279,799717,14178983,1527587,27991757,52.35
2021-05-12,500280,2838,784140,6276,1747406,45.22
2021-05-12,500284,321,11733,466,17048,68.88
2021-05-12,500285,278099,19981414,818110,58766245,33.99
2021-05-12,500288,577933,33317838,1187404,69005833,48.67
2021-05-12,500290,674,52122982,1505,116877276,44.78
2021-05-12,500292,8014,1961026,18702,4561379,42.85
2021-05-12,500294,257767,20389370,527992,42335913,48.82
2021-05-12,500295,127918,36098460,865936,247866345,14.77
2021-05-12,500296,5565,687000,8280,1030372,67.21
2021-05-12,500298,2808,6865701,5296,13028086,53.02
2021-05-12,500300,11547,16304364,39962,56921545,28.89
2021-05-12,500302,3166,5365104,21694,36758480,14.59
2021-05-12,500304,10086,1702517,23729,4013887,42.5
2021-05-12,500306,109215,3740614,118112,4071457,92.47
2021-05-12,500307,4149,1140975,4871,1338230,85.18
2021-05-12,500312,466888,53715465,2562796,301899602,18.22
2021-05-12,500314,6016,151303,7472,189624,80.51
2021-05-12,500317,40267,386161,49505,482476,81.34
2021-05-12,500319,62118,2472297,86563,3404102,71.76
2021-05-12,500325,189722,363042534,373114,714763785,50.85
2021-05-12,500327,72935,981706,118614,1721482,61.49
2021-05-12,500330,13520,4681976,39330,13750060,34.38
2021-05-12,500331,3051,5732524,17432,32747229,17.5
2021-05-12,500333,6440,3020360,9025,4255623,71.36
2021-05-12,500335,8070,8421045,24880,25532170,32.44
2021-05-12,500336,8567,3844013,23729,10623330,36.1
2021-05-12,500337,586,23909,605,24959,96.86
2021-05-12,500338,56714,7832204,121202,16800255,46.79
2021-05-12,500339,184767,32463562,497778,88537668,37.12
2021-05-12,500343,2597,63108,12821,326212,20.26
2021-05-12,500346,2434,56104,2881,66117,84.48
2021-05-12,500350,3653,828866,3857,896720,94.71
2021-05-12,500354,18295,449143,21928,532173,83.43
2021-05-12,500355,134863,42805517,412449,133840722,32.7
2021-05-12,500356,4060,65854,4792,78044,84.72
2021-05-12,500357,305,3349,305,3349,100.0
2021-05-12,500358,100,257,100,257,100.0
2021-05-12,500360,6129,169161,7512,205177,81.59
2021-05-12,500365,158307,2398352,182189,2822520,86.89
2021-05-12,500366,303055,1500123,509868,2593087,59.44
2021-05-12,500367,93205,7134843,140394,10581333,66.39
2021-05-12,500368,5899,4357887,16482,12510323,35.79
2021-05-12,500370,762,28531,762,28531,100.0
2021-05-12,500378,105465,9381112,292250,26654624,36.09
2021-05-12,500380,9357,3881284,16214,6782936,57.71
2021-05-12,500387,340,9126552,1153,31091354,29.49
2021-05-12,500388,1,15,1,15,100.0
2021-05-12,500390,1119488,60620276,3479778,188717630,32.17
2021-05-12,500400,616082,65643538,4129934,443197958,14.92
2021-05-12,500402,28965,375387,34216,442501,84.65
2021-05-12,500403,1619,1131115,2890,2039684,56.02
2021-05-12,500404,105516,8699795,208018,17564715,50.72
2021-05-12,500405,16304,11553830,22345,15889506,72.96
2021-05-12,500407,1314,2012917,1628,2502381,80.71
2021-05-12,500408,6728,23692989,18856,66718099,35.68
2021-05-12,500410,1198,2256194,11624,22019833,10.31
2021-05-12,500411,2940,4142166,5536,7964338,53.11
2021-05-12,500412,51391,5244452,173384,17962932,29.64
2021-05-12,500413,43541,2046427,94916,4563931,45.87
2021-05-12,500414,22027,722486,27638,897033,79.7
2021-05-12,500418,1094,79644,2791,206508,39.2
2021-05-12,500420,3780,10302957,16001,43674526,23.62
2021-05-12,500422,2805,68723,3165,76617,88.63
2021-05-12,500425,35381,10932729,131029,40761583,27.0
2021-05-12,500426,11273,127611,11273,120731,100.0
2021-05-12,500429,12673,1240054,55931,5471274,22.66
2021-05-12,500439,342,689849,401,799770,85.29
2021-05-12,500440,247089,98514385,978251,398106506,25.26
2021-05-12,500444,13939,2872828,30158,6327263,46.22
2021-05-12,500449,389179,16656862,508223,21680752,76.58
2021-05-12,500456,196057,3999563,257631,5492240,76.1
2021-05-12,500458,4838,10619,4838,10619,100.0
2021-05-12,500459,182,2480360,371,5086838,49.06
2021-05-12,500460,26718,3062223,26718,3062223,100.0
2021-05-12,500463,211,299167,320,450095,65.94
2021-05-12,500464,9384,1456397,10752,1682737,87.28
2021-05-12,500467,3517,611255,13282,2355621,26.48
2021-05-12,500469,276218,22553200,1660421,137355874,16.64
2021-05-12,500470,480680,566553482,1923553,2327683553,24.99
2021-05-12,500472,1899,4382133,3786,8756244,50.16
2021-05-12,500477,212818,24144203,777679,88971786,27.37
2021-05-12,500480,11405,9508919,65243,55253852,17.48
2021-05-12,500483,13845,15019749,23171,25276391,59.75
2021-05-12,500488,481,7751219,868,14009580,55.41
2021-05-12,500490,448,1576714,704,2470120,63.64
2021-05-12,500493,11718,7781338,64749,42675097,18.1
2021-05-12,500495,35136,41082768,98579,115956472,35.64
2021-05-12,500500,15334,106112,21321,148226,71.92
2021-05-12,500510,116283,161046141,452335,636729289,25.71
2021-05-12,500520,37395,28431419,98192,74691607,38.08
2021-05-12,500530,465,6650151,1298,18449386,35.82
2021-05-12,500540,5374,15048,5374,15047,100.0
2021-05-12,500547,120110,53953412,357637,163228803,33.58
2021-05-12,500550,22486,45056323,238577,492885231,9.42
2021-05-12,500570,2977440,970198824,8847706,2888424447,33.65
2021-05-12,500575,74800,72597140,287208,283542082,26.04
2021-05-12,500620,16820,6359642,23974,9151239,70.16
2021-05-12,500645,70026,20090460,174595,50473674,40.11
2021-05-12,500650,1471,1570367,4250,4602581,34.61
2021-05-12,500655,12341,9173066,14447,10821836,85.42
