% Deli. Qty to Traded Qty,Close Price,Code,Date,Deliverable Quantity,High Price,Low Price,No. of Trades,No.of Shares,Open Price,Spread Close-Open,Spread High-Low,Total Turnover (Rs.),Unix Date,WAP,Company
23.55,1403.5,500002.0,2021-05-12,6988.0,1433.25,1373.3,2862.0,29672.0,1385.8,17.700000000000045,59.950000000000045,41783612.0,1620757800.0,1408.1832030196817,ABB INDIA LIMITED
51.05,334.95,500003.0,2021-05-12,6276.0,339.9,333.0,466.0,12294.0,339.0,-4.050000000000011,6.899999999999977,4135509.0,1620757800.0,336.3843338213763,AEGIS LOGISTICS LTD
24.09,803.05,500008.0,2021-05-12,56486.0,816.15,780.0,8299.0,234491.0,785.5,17.549999999999955,36.14999999999998,187655870.0,1620757800.0,800.2689655466521,AMARA RAJA BATTERIES LTD
91.28,33.4,500009.0,2021-05-12,840010.0,33.4,32.45,928.0,920262.0,33.0,0.3999999999999986,0.9499999999999957,30483526.0,1620757800.0,33.12483401466104,AMBALAL SARABHAI ENTERPRISES LTD
46.78,2438.7,500010.0,2021-05-12,69280.0,2463.05,2408.0,6551.0,148083.0,2463.05,-24.350000000000364,55.05000000000018,359037638.0,1620757800.0,2424.5702612723944,HOUSING DEVELOPMENT FINANCE CORPLTD
74.01,76.15,500012.0,2021-05-12,679907.0,79.15,73.0,2356.0,918700.0,77.3,-1.1499999999999915,6.150000000000006,71403573.0,1620757800.0,77.7224044845978,ANDHRA PETROCHEMICALS LTD
77.41,5.85,500013.0,2021-05-12,15418.0,6.0,5.7,29.0,19918.0,5.84,0.009999999999999787,0.2999999999999998,115644.0,1620757800.0,5.806004618937644,ANSAL PROPERTIES  INFRASTRUCTURE LTD
94.33,2.43,500014.0,2021-05-12,5421.0,2.43,2.21,28.0,5747.0,2.32,0.11000000000000032,0.2200000000000002,13909.0,1620757800.0,2.420219244823386,UTIQUE ENTERPRISES LTD
100.0,7.38,500016.0,2021-05-12,1474.0,7.38,6.71,10.0,1474.0,7.37,0.009999999999999787,0.6699999999999999,10676.0,1620757800.0,7.242876526458616,ARUNA HOTELS LTD
30.06,75.7,500020.0,2021-05-12,191598.0,79.2,74.5,3024.0,637448.0,76.3,-0.5999999999999943,4.700000000000003,48986503.0,1620757800.0,76.84784170630388,BOMBAY DYEING  MFGCOLTD
83.92,67.05,500023.0,2021-05-12,997.0,69.4,65.5,34.0,1188.0,65.9,1.1499999999999915,3.9000000000000057,79339.0,1620757800.0,66.78367003367003,ASIAN HOTELS NORTH LIMITED
33.19,8264.35,500027.0,2021-05-12,307.0,8370.3,8215.0,344.0,925.0,8298.0,-33.649999999999636,155.29999999999927,7673398.0,1620757800.0,8295.565405405405,ATUL LTD
100.0,5.07,500028.0,2021-05-12,29282.0,5.35,4.9,75.0,29282.0,5.35,-0.27999999999999936,0.4499999999999993,152312.0,1620757800.0,5.201557270678232,ATV PROJECTS INDIA LTD
47.27,1155.55,500031.0,2021-05-12,2147.0,1190.5,1145.8,553.0,4542.0,1176.25,-20.700000000000045,44.700000000000045,5250650.0,1620757800.0,1156.0215763980625,BAJAJ ELECTRICALS LTD
56.65,13.6,500032.0,2021-05-12,12725768.0,13.62,12.5,14404.0,22463622.0,13.62,-0.019999999999999574,1.1199999999999992,302922567.0,1620757800.0,13.485027792935618,BAJAJ HINDUSTHAN SUGAR LIMITED
52.43,1178.9,500033.0,2021-05-12,2531.0,1215.95,1174.25,699.0,4827.0,1214.0,-35.09999999999991,41.700000000000045,5741761.0,1620757800.0,1189.50921897659,FORCE MOTORS LTD
22.46,5357.15,500034.0,2021-05-12,16966.0,5440.0,5330.0,8648.0,75549.0,5427.7,-70.55000000000018,110.0,406943856.0,1620757800.0,5386.488980661557,BAJAJ FINANCE LIMITED
43.9,315.65,500038.0,2021-05-12,91483.0,333.55,302.3,5762.0,208402.0,332.5,-16.850000000000023,31.25,66855380.0,1620757800.0,320.80008829089934,BALRAMPUR CHINI MILLS LTD
45.17,150.55,500039.0,2021-05-12,7349.0,154.0,150.2,643.0,16270.0,154.0,-3.4499999999999886,3.8000000000000114,2473183.0,1620757800.0,152.00878918254455,BANCO PRODUCTS INDIA LTD
21.08,480.95,500040.0,2021-05-12,23138.0,489.8,470.1,2323.0,109771.0,473.1,7.849999999999966,19.69999999999999,52451771.0,1620757800.0,477.8290349910268,CENTURY TEXTILES  INDUSTRIES LTD
81.82,1970.3,500041.0,2021-05-12,117.0,2074.85,1937.95,68.0,143.0,2071.95,-101.64999999999986,136.89999999999986,286945.0,1620757800.0,2006.6083916083917,BANNARI AMMAN SUGARS LTD
34.65,2427.6,500042.0,2021-05-12,5854.0,2469.0,2353.15,1862.0,16893.0,2469.0,-41.40000000000009,115.84999999999991,40438823.0,1620757800.0,2393.8212869235776,BASF INDIA LTD
17.68,1349.7,500043.0,2021-05-12,5916.0,1379.0,1345.1,2596.0,33453.0,1376.9,-27.200000000000045,33.90000000000009,45430737.0,1620757800.0,1358.0467222670613,BATA INDIA LTD
27.71,1320.35,500048.0,2021-05-12,25675.0,1374.4,1289.8,5242.0,92651.0,1326.5,-6.150000000000091,84.60000000000014,124122342.0,1620757800.0,1339.676225836742,BEML LTD
29.96,146.7,500049.0,2021-05-12,792962.0,155.55,145.45,19007.0,2646396.0,152.3,-5.600000000000023,10.100000000000023,400741322.0,1620757800.0,151.42908393150535,BHARAT ELECTRONICS LTD
50.41,157.35,500052.0,2021-05-12,90118.0,162.75,156.95,2298.0,178762.0,161.95,-4.599999999999994,5.800000000000011,28450259.0,1620757800.0,159.15160380841567,BHANSALI ENGINEERING POLYMERS LTD
46.4,101.3,500055.0,2021-05-12,1878745.0,109.0,98.6,35753.0,4048915.0,104.5,-3.200000000000003,10.400000000000006,423523947.0,1620757800.0,104.60183703535391,TATA STEEL BSL LTD
82.03,63.45,500060.0,2021-05-12,28104.0,65.5,58.2,861.0,34260.0,62.0,1.4500000000000028,7.299999999999997,2185948.0,1620757800.0,63.80467016929364,BIRLA CABLE LTD
34.51,821.05,500067.0,2021-05-12,1999.0,825.6,812.25,548.0,5792.0,815.7,5.349999999999909,13.350000000000023,4749596.0,1620757800.0,820.0269337016574,BLUE STAR LTD
80.98,4708.6,500068.0,2021-05-12,528.0,4774.05,4639.0,84.0,652.0,4640.0,68.60000000000036,135.05000000000018,3078899.0,1620757800.0,4722.23773006135,DISA INDIA LTD
100.0,191.3,500069.0,2021-05-12,4906.0,191.9,189.1,16.0,4906.0,190.0,1.3000000000000114,2.8000000000000114,932141.0,1620757800.0,190.0002038320424,BNK CAPITAL MARKETS LTD
100.0,37.35,500074.0,2021-05-12,23566.0,37.35,37.35,123.0,23566.0,37.35,0.0,0.0,880190.0,1620757800.0,37.34999575659849,BPL LTD
73.46,807.8,500078.0,2021-05-12,2787.0,823.25,800.0,308.0,3794.0,800.0,7.7999999999999545,23.25,3068102.0,1620757800.0,808.6721138639958,ORIENTAL AROMATICS LTD
50.72,7.12,500083.0,2021-05-12,349336.0,7.75,6.05,1006.0,688763.0,6.68,0.4400000000000004,1.7000000000000002,4867379.0,1620757800.0,7.066841569596509,CENTURY EXTRUSIONS LTD
47.44,669.45,500084.0,2021-05-12,49702.0,682.6,635.4,5469.0,104761.0,635.4,34.05000000000007,47.200000000000045,69987666.0,1620757800.0,668.0698542396502,CESC LTD
33.97,255.85,500085.0,2021-05-12,361056.0,268.0,228.8,22422.0,1062876.0,232.0,23.849999999999994,39.19999999999999,267918118.0,1620757800.0,252.06902592588412,CHAMBAL FERTILISERS  CHEMICALS LTD
27.09,186.35,500086.0,2021-05-12,93424.0,190.45,182.55,4058.0,344881.0,187.65,-1.3000000000000114,7.899999999999977,64556365.0,1620757800.0,187.18446362658423,EXIDE INDUSTRIES LTD
30.95,898.7,500087.0,2021-05-12,104975.0,906.75,884.85,13153.0,339229.0,890.75,7.9500000000000455,21.899999999999977,304134279.0,1620757800.0,896.5456343649865,CIPLA LTD
