Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-12-18,151.4,INVEST,0,660.0,0.0
2020-02-27,187.25,EXIT,123585.0,0.0,0.23585
2020-03-03,160.6,INVEST,0,769.0,0.0
2020-03-11,174.6,EXIT,134267.4,0.0,0.08643767447505761
2020-03-19,146.6,INVEST,0,915.0,0.0
2020-03-20,154.65,EXIT,141504.75,0.0,0.05390251095947345
2020-03-24,140.55,INVEST,0,1006.0,0.0
2020-08-06,270.8,EXIT,272424.8,0.0,0.9251989774194859
2020-09-09,262.8,INVEST,0,1036.0,0.0
2020-09-17,273.0,EXIT,282828.0,0.0,0.038187419060232444
2020-11-02,251.5,INVEST,0,1124.0,0.0
2021-02-02,238.1,EXIT,267624.39999999997,0.0,-0.05375563946992531
