Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-10-26,304.3,INVEST,0,328.0,0.0
2019-01-25,374.7,EXIT,122901.59999999999,0.0,0.22901599999999991
2019-01-28,327.05,INVEST,0,375.0,0.0
2019-02-22,354.1,EXIT,132787.5,0.0,0.08043752074830604
2019-05-17,366.9,INVEST,0,361.0,0.0
2020-03-06,341.35,EXIT,123227.35,0.0,-0.07199585804386703
2020-03-23,207.45,INVEST,0,594.0,0.0
2020-10-01,353.25,EXIT,209830.5,0.0,0.702791628644128
2021-04-05,742.15,INVEST,0,282.0,0.0
2021-04-07,814.3,-,229632.59999999998,0.0,0.09437188587931676
