Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-08-05,696.0,INVEST,0,143.0,0.0
2019-08-06,813.35,EXIT,116309.05,0.0,0.16309050000000003
2019-10-03,854.0,INVEST,0,136.0,0.0
2020-02-10,1534.3,EXIT,208664.8,0.0,0.7940547188718331
2020-03-19,1078.25,INVEST,0,193.0,0.0
2020-03-20,1250.75,EXIT,241394.75,0.0,0.15685419869570724
2020-04-03,1155.8,INVEST,0,208.0,0.0
2020-04-09,1405.75,EXIT,292396.0,0.0,0.2112773786505299
2020-04-16,1401.95,INVEST,0,208.0,0.0
2020-04-20,1543.65,EXIT,321079.2,0.0,0.09809710119153481
2020-04-21,1462.9,INVEST,0,219.0,0.0
2020-04-22,1749.9,EXIT,383228.10000000003,0.0,0.19356252289154832
2020-04-24,1655.15,INVEST,0,231.0,0.0
2020-04-27,1928.95,EXIT,445587.45,0.0,0.1627212357340184
