Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-04-23,16.25,INVEST,0,6153.0,0.0
2019-07-29,14.2,EXIT,87372.59999999999,0.0,-0.12627400000000008
2019-10-18,9.75,INVEST,0,8961.0,0.0
2020-03-11,10.17,EXIT,91133.37,0.0,0.043042899032419826
2020-06-02,9.59,INVEST,0,9502.0,0.0
2020-07-21,11.95,EXIT,113548.9,0.0,0.2459640195462979
2020-07-28,11.53,INVEST,0,9848.0,0.0
2020-12-09,15.53,EXIT,152939.44,0.0,0.34690375688359826
2021-02-16,19.1,INVEST,0,8007.0,0.0
2021-02-18,25.21,EXIT,201856.47,0.0,0.31984575071021576
