Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-02-20,1198.5,INVEST,0,83.0,0.0
2019-07-12,1177.95,EXIT,97769.85,0.0,-0.022301499999999943
2019-07-25,1072.95,INVEST,0,91.0,0.0
2020-02-10,992.15,EXIT,90285.65,0.0,-0.07654916111664292
2020-02-25,824.35,INVEST,0,109.0,0.0
2020-03-05,1205.95,EXIT,131448.55000000002,0.0,0.455918520828061
2020-05-07,989.25,INVEST,0,132.0,0.0
2020-08-05,1415.0,EXIT,186780.0,0.0,0.4209361761693071
2020-08-17,1281.6,INVEST,0,145.0,0.0
2021-04-07,2089.85,-,303028.25,0.0,0.622380608202163
