Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-11-20,15059.5,INVEST,0,6.0,0.0
2020-03-11,12400.45,EXIT,74402.70000000001,0.0,-0.2559729999999999
2020-03-19,9558.3,INVEST,0,7.0,0.0
2020-03-20,9661.65,EXIT,67631.55,0.0,-0.09100677797983148
2020-03-23,8442.15,INVEST,0,8.0,0.0
2020-07-13,13849.25,EXIT,110794.0,0.0,0.6381999229649475
2020-08-11,13260.95,INVEST,0,8.0,0.0
2020-08-28,14006.85,EXIT,112054.8,0.0,0.011379677599870056
2020-10-22,11824.05,INVEST,0,9.0,0.0
2021-04-07,14563.6,-,131072.4,0.0,0.169716959916041
