Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-09-28,237.85,INVEST,0,420.0,0.0
2018-10-10,252.1,EXIT,105882.0,0.0,0.05882
2018-10-23,221.6,INVEST,0,477.0,0.0
2018-11-19,266.6,EXIT,127168.20000000001,0.0,0.2010370034566783
2019-04-30,317.55,INVEST,0,400.0,0.0
2020-03-06,464.75,EXIT,185900.0,0.0,0.46184344828345436
2020-04-16,283.4,INVEST,0,655.0,0.0
2020-06-12,311.65,EXIT,204130.74999999997,0.0,0.0980675094136631
2020-09-11,391.15,INVEST,0,521.0,0.0
2021-04-07,567.0,-,295407.0,0.0,0.44714600813449246
