Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-04-09,987.3,INVEST,0,101.0,0.0
2019-05-03,982.5,EXIT,99232.5,0.0,-0.007675
2019-08-02,486.85,INVEST,0,203.0,0.0
2020-01-03,665.95,EXIT,135187.85,0.0,0.3623344166477717
2020-01-14,590.1,INVEST,0,229.0,0.0
2020-02-07,671.0,EXIT,153659.0,0.0,0.13663321075081816
2020-02-19,518.1,INVEST,0,296.0,0.0
2020-03-05,484.55,EXIT,143426.80000000002,0.0,-0.0665903071085975
2020-03-16,350.4,INVEST,0,409.0,0.0
2020-03-20,332.45,EXIT,135972.05,0.0,-0.051975990540122405
2020-03-23,266.9,INVEST,0,509.0,0.0
2020-04-16,454.55,EXIT,231365.95,0.0,0.7015699182295188
2020-05-28,375.1,INVEST,0,616.0,0.0
2020-11-06,408.8,EXIT,251820.80000000002,0.0,0.088409076616503
2021-04-06,414.25,INVEST,0,607.0,0.0
2021-04-07,457.5,-,277702.5,0.0,0.10277824548250176
