Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-03-27,32.05,INVEST,0,3120.0,0.0
2020-03-11,13.85,EXIT,43212.0,0.0,-0.56788
2020-03-13,12.05,INVEST,0,3586.0,0.0
2020-06-29,20.27,EXIT,72688.22,0.0,0.6821304267333148
2020-07-20,16.85,INVEST,0,4313.0,0.0
2020-07-31,17.95,EXIT,77418.34999999999,0.0,0.06507423073504881
2020-09-21,15.05,INVEST,0,5144.0,0.0
2020-09-29,15.8,EXIT,81275.2,0.0,0.049818292433253954
2020-10-16,10.21,INVEST,0,7960.0,0.0
2021-02-19,21.64,EXIT,172254.4,0.0,1.119396814772526
2021-02-24,18.83,INVEST,0,9147.0,0.0
2021-04-07,16.65,-,152297.55,0.0,-0.11585683732897392
