Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-06-28,214.65,INVEST,0,465.0,0.0
2018-06-29,239.25,EXIT,111251.25,0.0,0.1125125
2020-03-19,114.35,INVEST,0,972.0,0.0
2020-03-20,127.1,EXIT,123541.2,0.0,0.11047021943573665
2020-03-24,107.3,INVEST,0,1151.0,0.0
2020-06-02,212.95,EXIT,245105.44999999998,0.0,0.9839976461293883
2020-06-18,237.2,INVEST,0,1033.0,0.0
2020-06-22,276.3,EXIT,285417.9,0.0,0.1644698230904292
2020-07-15,275.15,INVEST,0,1037.0,0.0
2020-07-21,293.25,EXIT,304100.25,0.0,0.06545612591221495
