Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-06-20,60.8,INVEST,0,1644.0,0.0
2018-06-22,118.25,EXIT,194403.0,0.0,0.94403
2018-08-27,118.8,INVEST,0,1636.0,0.0
2019-01-24,116.9,EXIT,191248.40000000002,0.0,-0.016227115836689645
2019-03-13,109.3,INVEST,0,1749.0,0.0
2019-04-09,118.5,EXIT,207256.5,0.0,0.08370318392206144
2019-12-18,151.4,INVEST,0,1368.0,0.0
2020-02-27,187.25,EXIT,256158.0,0.0,0.23594676162146905
2020-03-03,160.6,INVEST,0,1595.0,0.0
2020-03-11,174.6,EXIT,278487.0,0.0,0.08716885672124236
2020-03-19,146.6,INVEST,0,1899.0,0.0
2020-03-20,154.65,EXIT,293680.35000000003,0.0,0.054556765665901945
2020-03-24,140.55,INVEST,0,2089.0,0.0
2020-08-06,270.8,EXIT,565701.2000000001,0.0,0.9262480448555718
2020-09-09,262.8,INVEST,0,2152.0,0.0
2020-09-17,273.0,EXIT,587496.0,0.0,0.03852705279748377
2020-11-02,251.5,INVEST,0,2335.0,0.0
2021-02-02,238.1,EXIT,555963.5,0.0,-0.05367270585672072
