Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-04-24,1190.5,INVEST,0,83.0,0.0
2018-09-10,1793.9,EXIT,148893.7,0.0,0.4889370000000001
2018-09-11,872.025,INVEST,0,170.0,0.0
2018-09-17,1703.8,EXIT,289646.0,0.0,0.9453207220990544
2018-10-09,1341.2,INVEST,0,215.0,0.0
2018-10-23,1348.5,EXIT,289927.5,0.0,0.0009718760141690201
2019-04-04,1289.35,INVEST,0,224.0,0.0
2019-09-24,1461.1,EXIT,327286.39999999997,0.0,0.12885600710522446
2020-03-12,1201.9,INVEST,0,272.0,0.0
2020-03-20,1235.3,EXIT,336001.6,0.0,0.026628665291316758
2020-03-24,1142.45,INVEST,0,294.0,0.0
2020-04-15,1478.2,EXIT,434590.8,0.0,0.2934188408626626
2020-06-19,1368.7,INVEST,0,317.0,0.0
2020-06-23,1509.35,EXIT,478463.94999999995,0.0,0.10095278132901103
2020-11-18,1428.9,INVEST,0,334.0,0.0
2020-12-18,1611.25,EXIT,538157.5,0.0,0.12476081008820007
2020-12-24,1533.8,INVEST,0,350.0,0.0
2020-12-28,1616.6,EXIT,565810.0,0.0,0.051383656271630516
