Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-12-12,1094.8,INVEST,0,91.0,0.0
2019-01-25,1090.1,EXIT,99199.09999999999,0.0,-0.008009000000000087
2019-04-08,1184.6,INVEST,0,83.0,0.0
2019-05-30,1363.5,EXIT,113170.5,0.0,0.14084200360688767
2020-01-23,2158.1,INVEST,0,52.0,0.0
2020-03-17,2533.1,EXIT,131721.19999999998,0.0,0.16391815888416136
2020-04-16,2812.3,INVEST,0,46.0,0.0
2021-02-19,4306.35,EXIT,198092.1,0.0,0.5038740916420442
2021-03-30,4193.4,INVEST,0,47.0,0.0
2021-04-07,4263.05,-,200363.35,0.0,0.011465626342494224
