Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-05-17,25.4,INVEST,0,3937.0,0.0
2020-02-19,25.1,EXIT,98818.70000000001,0.0,-0.011812999999999884
2020-03-19,12.1,INVEST,0,8166.0,0.0
2020-05-13,26.6,EXIT,217215.6,0.0,1.1981224201492227
2020-05-15,23.6,INVEST,0,9204.0,0.0
2020-07-15,43.75,EXIT,402675.0,0.0,0.8538033179937352
2020-07-17,43.6,INVEST,0,9235.0,0.0
2020-07-22,54.15,EXIT,500075.25,0.0,0.24188303222201527
2020-08-03,36.1,INVEST,0,13852.0,0.0
2021-03-25,28.6,EXIT,396167.2,0.0,-0.2077848283833283
