Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-12-11,3035.45,INVEST,0,32.0,0.0
2018-12-21,3319.95,EXIT,106238.4,0.0,0.06238399999999994
2019-01-28,2602.0,INVEST,0,40.0,0.0
2019-04-26,2604.15,EXIT,104166.0,0.0,-0.019507070889621777
2019-05-16,2516.3,INVEST,0,41.0,0.0
2019-06-03,2842.5,EXIT,116542.5,0.0,0.11881516041702667
2019-06-19,2607.4,INVEST,0,44.0,0.0
2019-07-05,2513.6,EXIT,110598.4,0.0,-0.05100371109251994
2019-07-08,2380.2,INVEST,0,46.0,0.0
2019-07-29,2403.75,EXIT,110572.5,0.0,-0.00023418060297431228
2019-07-30,2259.35,INVEST,0,48.0,0.0
2019-09-16,2739.55,EXIT,131498.40000000002,0.0,0.189250491758801
2019-09-19,2532.45,INVEST,0,51.0,0.0
2020-04-01,1639.15,EXIT,83596.65000000001,0.0,-0.36427629537697803
2020-07-01,2547.0,INVEST,0,32.0,0.0
2020-10-23,3109.1,EXIT,99491.2,0.0,0.19013381517082306
2020-11-02,2834.6,INVEST,0,35.0,0.0
2021-01-25,3472.85,EXIT,121549.75,0.0,0.22171357868836644
