Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-02-20,12.39,INVEST,0,8071.0,0.0
2019-03-14,14.5,EXIT,117029.5,0.0,0.170295
2019-11-01,10.91,INVEST,0,10726.0,0.0
2020-03-11,8.39,EXIT,89991.14,0.0,-0.23103884063419908
2020-06-02,7.95,INVEST,0,11319.0,0.0
2020-06-29,12.81,EXIT,144996.39,0.0,0.6112296166044793
2021-02-16,13.2,INVEST,0,10984.0,0.0
2021-02-18,19.0,EXIT,208696.0,0.0,0.43931859269047996
2021-02-24,17.3,INVEST,0,12063.0,0.0
2021-02-25,19.03,EXIT,229558.89,0.0,0.09996784797025345
