Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-06-08,123.9,INVEST,0,807.0,0.0
2018-09-19,144.9,EXIT,116934.3,0.0,0.16934300000000002
2018-09-25,118.05,INVEST,0,990.0,0.0
2018-09-28,113.5,EXIT,112365.0,0.0,-0.039075788712122986
2018-10-11,95.4,INVEST,0,1177.0,0.0
2019-04-26,121.9,EXIT,143476.30000000002,0.0,0.2768771414586394
2019-10-07,73.45,INVEST,0,1953.0,0.0
2020-02-27,92.75,EXIT,181140.75,0.0,0.2625133907133093
2020-03-24,44.6,INVEST,0,4061.0,0.0
2020-07-14,95.2,EXIT,386607.2,0.0,1.134291704103025
2021-02-16,88.45,INVEST,0,4370.0,0.0
2021-04-07,88.4,-,386308.0,0.0,-0.0007739121257959283
