Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-03-05,41.8,INVEST,0,2392.0,0.0
2019-03-06,49.55,EXIT,118523.59999999999,0.0,0.1852359999999999
2019-08-06,37.5,INVEST,0,3160.0,0.0
2019-08-09,44.1,EXIT,139356.0,0.0,0.17576583903965126
2019-08-23,33.95,INVEST,0,4104.0,0.0
2019-08-28,39.1,EXIT,160466.4,0.0,0.15148540428829754
2019-08-29,36.85,INVEST,0,4354.0,0.0
2020-02-03,26.0,EXIT,113204.0,0.0,-0.29453144084992244
2020-04-16,11.98,INVEST,0,9449.0,0.0
2020-08-28,19.6,EXIT,185200.40000000002,0.0,0.6359881276279992
2020-11-18,15.89,INVEST,0,11655.0,0.0
2020-11-24,25.55,EXIT,297785.25,0.0,0.6079082442586515
2020-12-07,23.65,INVEST,0,12591.0,0.0
2021-04-07,25.95,-,326736.45,0.0,0.09722173949179824
