Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-07-16,133.975,INVEST,0,746.0,0.0
2019-08-28,109.925,EXIT,82004.05,0.0,-0.17995949999999997
2019-11-01,116.35,INVEST,0,704.0,0.0
2019-11-04,131.175,EXIT,92347.20000000001,0.0,0.12612974603083638
2020-05-12,92.175,INVEST,0,1001.0,0.0
2020-06-08,99.05,EXIT,99149.05,0.0,0.07365518391461777
2020-08-07,101.75,INVEST,0,974.0,0.0
2020-08-28,135.55,EXIT,132025.7,0.0,0.3315881493569531
2020-10-20,123.05,INVEST,0,1072.0,0.0
2021-02-04,227.2,EXIT,243558.4,0.0,0.8447802208206431
2021-04-05,208.25,INVEST,0,1169.0,0.0
2021-04-07,215.4,-,251802.6,0.0,0.03384896599747745
