Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-10-23,373.2,INVEST,0,267.0,0.0
2019-02-01,416.7,EXIT,111258.9,0.0,0.11258899999999994
2019-05-17,379.65,INVEST,0,293.0,0.0
2019-07-23,340.15,EXIT,99663.95,0.0,-0.10421593238833027
2019-07-30,297.5,INVEST,0,335.0,0.0
2019-10-15,316.35,EXIT,105977.25000000001,0.0,0.0633458738089351
2019-10-18,319.4,INVEST,0,331.0,0.0
2020-03-11,323.85,EXIT,107194.35,0.0,0.011484540314076757
2020-07-06,182.75,INVEST,0,586.0,0.0
2020-07-13,203.95,EXIT,119514.7,0.0,0.1149346957185709
2020-11-17,145.35,INVEST,0,822.0,0.0
2020-11-18,156.5,EXIT,128643.0,0.0,0.07637805223959901
2021-03-18,202.05,INVEST,0,636.0,0.0
2021-04-07,197.7,-,125737.2,0.0,-0.02258809262843686
