Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-07-08,61.65,INVEST,0,1622.0,0.0
2019-07-12,69.4,EXIT,112566.8,0.0,0.12566800000000003
2019-10-17,53.1,INVEST,0,2119.0,0.0
2020-01-21,61.0,EXIT,129259.0,0.0,0.14828706154923119
2020-01-23,55.55,INVEST,0,2326.0,0.0
2020-03-04,60.3,EXIT,140257.8,0.0,0.085091173535305
2020-03-19,41.7,INVEST,0,3363.0,0.0
2020-03-20,45.65,EXIT,153520.94999999998,0.0,0.09456265533895437
2020-03-26,39.5,INVEST,0,3886.0,0.0
2020-06-24,49.35,EXIT,191774.1,0.0,0.2491721813863191
2020-08-14,50.25,INVEST,0,3816.0,0.0
2020-10-05,52.8,EXIT,201484.8,0.0,0.05063613908238903
2020-12-10,53.9,INVEST,0,3738.0,0.0
2020-12-18,55.45,EXIT,207272.1,0.0,0.028723258528683144
2020-12-21,51.8,INVEST,0,4001.0,0.0
2021-02-10,57.8,EXIT,231257.8,0.0,0.11572083266392333
2021-03-26,49.1,INVEST,0,4709.0,0.0
2021-04-01,50.75,EXIT,238981.75,0.0,0.03339973830071899
