Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2020-02-18,80.15,INVEST,0,1247.0,0.0
2020-03-13,57.25,EXIT,71390.75,0.0,-0.2860925
2020-03-25,39.3,INVEST,0,1816.0,0.0
2020-03-27,43.0,EXIT,78088.0,0.0,0.09381117301611203
2020-03-30,40.95,INVEST,0,1906.0,0.0
2020-04-13,51.15,EXIT,97491.9,0.0,0.24848760372912604
2020-05-05,36.85,INVEST,0,2645.0,0.0
2020-06-10,60.4,EXIT,159758.0,0.0,0.6386797262131522
2020-06-16,60.9,INVEST,0,2623.0,0.0
2020-10-07,61.0,EXIT,160003.0,0.0,0.0015335695239049063
2020-11-04,61.45,INVEST,0,2603.0,0.0
2021-04-07,100.5,-,261601.5,0.0,0.6349787191490159
