Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-07-01,1964.95,INVEST,0,50.0,0.0
2019-10-04,1596.6,EXIT,79830.0,0.0,-0.2017
2020-03-25,682.1,INVEST,0,117.0,0.0
2020-04-30,988.85,EXIT,115695.45,0.0,0.44927282976324684
2020-07-20,1406.2,INVEST,0,82.0,0.0
2020-08-28,1510.8,EXIT,123885.59999999999,0.0,0.07079059721017546
2020-11-12,1403.35,INVEST,0,88.0,0.0
2020-12-18,1444.65,EXIT,127129.20000000001,0.0,0.026182219725295115
2020-12-22,1334.7,INVEST,0,95.0,0.0
2021-04-07,1783.6,-,169442.0,0.0,0.33283305487645626
