Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2020-01-16,193.1,INVEST,0,517.0,0.0
2020-02-20,245.0,EXIT,126665.0,0.0,0.26665
2020-03-02,211.7,INVEST,0,598.0,0.0
2020-03-13,209.9,EXIT,125520.2,0.0,-0.009038013658074471
2020-04-03,167.9,INVEST,0,747.0,0.0
2020-04-09,217.0,EXIT,162099.0,0.0,0.2914176363645055
2020-06-12,234.05,INVEST,0,692.0,0.0
2020-06-16,266.45,EXIT,184383.4,0.0,0.13747401279465016
2020-07-01,268.9,INVEST,0,685.0,0.0
2020-10-01,286.25,EXIT,196081.25,0.0,0.0634430756781793
2021-03-02,258.15,INVEST,0,759.0,0.0
2021-04-07,271.65,-,206182.34999999998,0.0,0.051514869473751196
