Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-05-17,90.75,INVEST,0,1101.0,0.0
2020-02-10,111.25,EXIT,122486.25,0.0,0.2248625
2020-04-01,63.85,INVEST,0,1918.0,0.0
2020-04-20,89.75,EXIT,172140.5,0.0,0.4053863188725265
2020-04-22,83.5,INVEST,0,2061.0,0.0
2020-05-15,86.0,EXIT,177246.0,0.0,0.02965891234195323
2020-05-26,77.85,INVEST,0,2276.0,0.0
2020-06-16,89.35,EXIT,203360.59999999998,0.0,0.1473353418412826
2020-06-24,82.25,INVEST,0,2472.0,0.0
2020-08-28,87.2,EXIT,215558.4,0.0,0.059981136955732914
2020-08-31,80.3,INVEST,0,2684.0,0.0
2020-11-17,85.6,EXIT,229750.4,0.0,0.06583830646358481
2020-11-24,88.3,INVEST,0,2601.0,0.0
2020-12-18,86.55,EXIT,225116.55,0.0,-0.020169061729598755
2020-12-21,80.7,INVEST,0,2789.0,0.0
2021-01-20,103.75,EXIT,289358.75,0.0,0.285373065640887
