Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-07-24,926.3,INVEST,0,107.0,0.0
2019-09-24,1165.4,EXIT,124697.8,0.0,0.24697800000000003
2019-10-04,1018.05,INVEST,0,122.0,0.0
2020-02-27,1259.35,EXIT,153640.69999999998,0.0,0.23210433544136286
2020-03-24,485.95,INVEST,0,316.0,0.0
2020-03-27,724.45,EXIT,228926.2,0.0,0.4900101340334953
2020-04-07,536.85,INVEST,0,426.0,0.0
2020-04-17,802.75,EXIT,341971.5,0.0,0.49380673771722056
2020-04-23,641.45,INVEST,0,533.0,0.0
2020-05-11,736.8,EXIT,392714.39999999997,0.0,0.14838341791640522
2020-05-26,538.2,INVEST,0,729.0,0.0
2020-08-28,772.1,EXIT,562860.9,0.0,0.4332576039992424
2020-09-30,619.45,INVEST,0,908.0,0.0
2020-12-18,1027.55,EXIT,933015.3999999999,0.0,0.6576305087100558
2021-01-05,1114.9,INVEST,0,836.0,0.0
2021-02-03,1464.85,EXIT,1224614.5999999999,0.0,0.31253417682066126
