Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-10-22,5.87,INVEST,0,17035.0,0.0
2019-05-08,5.98,EXIT,101869.3,0.0,0.01869300000000003
2019-06-19,3.35,INVEST,0,30408.0,0.0
2019-07-19,4.37,EXIT,132882.96,0.0,0.30444559842857455
2019-07-25,3.99,INVEST,0,33303.0,0.0
2019-08-28,4.17,EXIT,138873.51,0.0,0.04508140095614982
2019-09-20,3.05,INVEST,0,45532.0,0.0
2019-12-03,2.29,EXIT,104268.28,0.0,-0.2491852477841167
2020-01-03,2.74,INVEST,0,38054.0,0.0
2020-08-10,4.48,EXIT,170481.92,0.0,0.6350314784131859
2020-09-02,3.58,INVEST,0,47620.0,0.0
2021-03-26,5.5,EXIT,261910.0,0.0,0.5362919422775153
