Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-10-30,577.85,INVEST,0,173.0,0.0
2019-11-13,579.85,EXIT,100314.05,0.0,0.003140500000000029
2019-11-15,573.75,INVEST,0,174.0,0.0
2019-11-29,609.15,EXIT,105992.09999999999,0.0,0.05660273909786304
2019-12-20,598.95,INVEST,0,176.0,0.0
2020-02-24,641.6,EXIT,112921.6,0.0,0.06537751398453295
2020-03-19,394.0,INVEST,0,286.0,0.0
2020-03-20,394.1,EXIT,112712.6,0.0,-0.0018508416458852866
2020-03-23,327.25,INVEST,0,344.0,0.0
2020-04-23,428.55,EXIT,147421.2,0.0,0.3079389526991659
2020-11-27,537.7,INVEST,0,274.0,0.0
2021-04-07,868.8,-,238051.19999999998,0.0,0.6147691105485504
