Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2019-05-15,6087.0,INVEST,0,16.0,0.0
2019-06-20,6503.75,EXIT,104060.0,0.0,0.0406
2020-03-30,4325.4,INVEST,0,24.0,0.0
2020-03-31,4898.2,EXIT,117556.79999999999,0.0,0.1297020949452238
2020-04-08,4778.05,INVEST,0,24.0,0.0
2020-04-09,5210.2,EXIT,125044.79999999999,0.0,0.06369686823731167
2020-05-29,4635.9,INVEST,0,26.0,0.0
2020-06-24,5310.1,EXIT,138062.6,0.0,0.1041050887361971
2020-06-25,5145.95,INVEST,0,26.0,0.0
2020-06-26,5652.05,EXIT,146953.30000000002,0.0,0.06439615073162472
2020-07-30,5343.8,INVEST,0,27.0,0.0
2020-07-31,5804.7,EXIT,156726.9,0.0,0.06650820362659414
2021-02-09,5919.55,INVEST,0,26.0,0.0
2021-02-24,7024.45,EXIT,182635.69999999998,0.0,0.16531176205233428
