Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Laurus Labs Ltd.,540222,270,2.5284160042372874,-2.3112917427767536,2.5284160042372874,-3.3154910286609485 to 2.5284160042372874
Advanced Enzyme Technologies Ltd.,540025,270,0.943724074468085,-1.3730882270142342,0.943724074468085,-0.35209234173394693 to 0.943724074468085
Alok Industries Ltd.,521070,270,0.9226844816539275,-1.3987972324097822,0.11089442803641247,-0.3679640176710407 to 1.0250050495050136
L&T Technology Services Ltd.,540115,270,0.7533883496240602,-0.5903196141698143,0.7533883496240602,0.30864842975395185 to 0.7533883496240602
HEG Ltd.,509631,270,0.6833675421686747,-6.569289442789119,0.6833675421686747,-3.805871638144748 to 0.6833675421686747
Endurance Technologies Ltd.,540153,270,0.5265511976744187,-0.5025562458968296,0.1132912435573784,0.2619296044986834 to 0.5862048376555805
TeamLease Services Ltd.,539658,270,0.4976991467391304,-0.48916996621151015,0.4976991467391304,0.2542396719452526 to 0.4976991467391304
Tube Investments Of India Ltd.,540762,270,0.4704613866317432,-0.4147494362886639,0.03445026558451176,0.27533779173064454 to 0.48666890634846444
TCI Express Ltd.,540212,270,0.4385566610169491,-0.740664129402976,0.4385566610169491,0.11373347349095445 to 0.4385566610169491
PNC Infratech Ltd.,539150,270,0.427358854978355,-0.35013255097769197,0.12976816094296637,0.27772660890187806 to 0.48281642765158805
Alkyl Amines Chemicals Ltd.,506767,270,0.3721645539568345,-0.527290051143189,0.09860134257811289,0.1759258872672531 to 0.40886047863696295
Larsen & Toubro Infotech Ltd.,540005,270,0.3627237123287671,-0.6342801159489134,0.3627237123287671,0.13265527401545638 to 0.3627237123287671
Adani Enterprises Ltd.,512599,270,0.3343903357712766,-1.099966514070823,0.15126951616236467,-0.03342783620602655 to 0.38497340007276826
IRB Infrastructure Developers Ltd.,532947,270,0.2873925648535565,-0.7784780467527542,0.21277018173032664,0.0636637623150956 to 0.3485411331053924
Varroc Engineering Pvt Ltd.,541578,270,0.274676,-0.09524334960785083,0.274676,0.24851493770311395 to 0.274676
Welspun India Ltd.,514162,270,0.2745848941256831,-1.1618559047268868,0.13512372505491735,-0.044443186463048866 to 0.3116878278637555
Phillips Carbon Black Ltd.,506590,270,0.2724869361073825,-0.5986988280413644,0.20700721561374888,0.10934932680331046 to 0.32889369804209323
Narayana Hrudayalaya Ltd.,539551,270,0.2655089052631579,-0.24486973889273378,0.04222475434194288,0.20049380895767283 to 0.27671995356349294
Dish TV India Ltd.,532839,270,0.26383883731343283,-0.8703841555676193,0.4264811645059459,0.034197693692438115 to 0.37636113189276044
RBL Bank Ltd.,540065,270,0.2619933763311432,-0.2600080312934939,0.3123713062755391,0.1938729943393472 to 0.34383258953124135
Lemon Tree Hotels Ltd.,541233,270,0.25636500000000007,-0.1230712807882001,0.25636500000000007,0.22481383110073314 to 0.25636500000000007
Syngene International Ltd.,539268,270,0.2551401283783783,-0.3941038698162472,0.052926070005027366,0.1545884164390453 to 0.268643692674024
Equitas Holdings Ltd.,539844,270,0.24355001810840546,-0.0504168357920055,0.25274811381365986,0.23127099683829402 to 0.30510682580458764
Edelweiss Financial Services Ltd.,532922,270,0.23606090805305205,-0.49897717127815094,0.14541497124125394,0.11827190390338845 to 0.2703876982087709
Adani Green Energy Ltd.,541450,270,0.23542999999999997,0.23542999999999997,1.052647613215058,0.23542999999999997 to 0.483254827579221
