Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Responsive Industries Ltd.,505509,360,0.496411397260274,-0.34375645626869183,0.22295982884790994,0.3257667744866924 to 0.6070911974315766
Alkem Laboratories Ltd.,539523,360,0.43692182142857133,0.43692182142857133,0.6351128444820052,0.43692182142857133 to 0.71441648225233
India Tourism Devp. Corpn. Ltd.,532189,360,0.4180021069651742,-0.23469504298808633,0.6244812224316739,0.319899084501872 to 0.6790365737018015
Dr. Lal Pathlabs Ltd.,539524,360,0.3796492857142857,0.3796492857142857,0.1810242994205294,0.3796492857142857 to 0.4483750316862186
Syngene International Ltd.,539268,360,0.3611089615384614,0.3611089615384614,0.10469128713310336,0.3611089615384614 to 0.3989139235172212
Multi Commodity Exchange India,534091,360,0.3056142396226415,-0.25734446859560944,0.16181820598055,0.22696610553170157 to 0.35506818760048725
Westlife Development Ltd.,505533,360,0.23698115624999996,-0.14419434622281604,0.3633006641096188,0.20280981335740422 to 0.3230765676970903
MindTree Ltd.,532819,360,0.22320628076256493,-0.20719452599149585,0.37586920061608,0.17695916122164057 to 0.3071026470852785
GMM Pfaudler Ltd.,505255,360,0.22172994778761063,0.22172994778761063,5.316337540594987,0.22172994778761063 to 1.4005211930850514
Aarti Industries Ltd.,524208,360,0.2197942200122299,0.2197942200122299,0.8669215244070807,0.2197942200122299 to 0.4103385602810975
Heidelberg Cement India Ltd.,500292,360,0.2149880699115044,0.2149880699115044,0.4946470679272986,0.2149880699115044 to 0.3213312883325791
Tata Consultancy Services Ltd.,532540,360,0.2115013468005392,0.2115013468005392,0.6474155578385787,0.2115013468005392 to 0.348430609223021
Kei Industries Ltd.,517569,360,0.20885691720804508,0.20885691720804508,4.945881881023113,0.20885691720804508 to 1.2418385597536596
Tata Elxsi Ltd.,500408,360,0.20767698006932406,0.20767698006932406,2.971531381048982,0.20767698006932406 to 0.8247956434668045
Honeywell Automation India Ltd.,517174,360,0.20114748356401382,-0.0103949701784679,1.4444503325964289,0.19905656147089204 to 0.4916950330989883
Bajaj Finserv Ltd.,532978,360,0.19814428886756238,0.19814428886756238,1.4415332464392026,0.19814428886756238 to 0.48377586886220675
Info Edge (India) Ltd.,532777,360,0.1936738464223386,-0.3155788872270326,0.21021569399033097,0.13255446948339777 to 0.2343871284557873
Tasty Bite Eatables Ltd.,519091,360,0.19354326727642274,0.19354326727642274,1.5478518890253223,0.19354326727642274 to 0.4931195791383665
Alok Industries Ltd.,521070,360,0.17857652495164417,0.17857652495164417,0.059206527667466466,0.17857652495164417 to 0.1891494209169537
Kotak Mahindra Bank Ltd.,500247,360,0.143349973183391,-0.0215343529709188,0.2034643740992841,0.1402630242624881 to 0.1725165857542988
IDFC First Bank Ltd.,539437,360,0.1426384565217391,0.1426384565217391,1.1819925961124227,0.1426384565217391 to 0.3112360560513384
Adani Power Ltd.,533096,360,0.13524759490740743,-0.24924266053978233,0.13524759490740743,0.10153812452107848 to 0.13524759490740743
Jamna Auto Inds. Ltd.,520051,360,0.13121982347140038,0.13121982347140038,0.8648217493616204,0.13121982347140038 to 0.24470158075685985
Indraprastha Gas Ltd.,532514,360,0.12574818586387435,-0.030384664730242983,0.5982596773877246,0.12192736939596424 to 0.20097825497088745
Dabur India Ltd.,500096,360,0.12405261411149825,-0.12928842697379733,0.13510797970431399,0.10801404677103515 to 0.14081311218114165
Bajaj Holdings & Investment Ltd.,500490,360,0.12355400259965334,-0.021824902859617936,0.19797327974585155,0.12085744849499892 to 0.14801439372003417
JB Chemicals & Pharmaceuticals Ltd.,506943,360,0.12327243257443082,0.12327243257443082,0.9312844432773884,0.12327243257443082 to 0.23807413131595903
Bombay Burmah Trdg. Corpn. Ltd.,501425,360,0.11708323245614037,-0.22773311696776607,1.3489058190766914,0.090419502984242 to 0.275017486032537
Johnson Controls - Hitachi Air Conditioning India Ltd.,523398,360,0.11668049214659686,0.11668049214659686,1.4533776041385333,0.11668049214659686 to 0.28626130627232277
Power Finance Corpn. Ltd.,532810,360,0.11592803310104531,0.11592803310104531,0.5699804070673232,0.11592803310104531 to 0.18200474059849323
Kajaria Ceramics Ltd.,500233,360,0.11078911423550088,0.11078911423550088,0.7802428374813327,0.11078911423550088 to 0.19723152708865158
Whirlpool Of India Ltd.,500238,360,0.10486225942542436,0.10486225942542436,0.8554124584305774,0.10486225942542436 to 0.1945627425571116
Havells India Ltd.,517354,360,0.10242988301559791,-0.023949767987781655,0.2102740676167116,0.09997671108235871 to 0.12396823116279161
Atul Ltd.,500027,360,0.09832793377009633,-0.1426148583933467,0.1851131628111143,0.08430490941936367 to 0.11652972858296062
Timken India Ltd.,522113,360,0.09519228745644602,0.09519228745644602,1.1865621884738162,0.09519228745644602 to 0.20814385638659524
Nilkamal Ltd.,523385,360,0.0915915026315789,-0.21229069000594974,0.5983444124388035,0.07214747933923925 to 0.1463947664580581
Bharat Petroleum Corpn. Ltd.,500547,360,0.09085179289428078,-0.2939843518032488,0.49365800995886594,0.06414278745009264 to 0.13570150817566645
JSW Steel Ltd.,500228,360,0.08993814457831324,0.08993814457831324,1.2983507546326365,0.08993814457831324 to 0.2067094024618254
ITI Ltd.,523610,360,0.08953766299530153,0.08953766299530153,0.9658488591869269,0.08953766299530153 to 0.176017512653577
India Cements Ltd.,530005,360,0.0886938103146853,-0.040763642589688856,0.5887060096250781,0.08507832753109981 to 0.1409083894634873
Bank of India,532149,360,0.08833138169257342,0.08833138169257342,0.39693037863138986,0.08833138169257342 to 0.1233927904728404
Indoco Remedies Ltd.,532612,360,0.0880352382198953,0.0880352382198953,2.011699844409478,0.0880352382198953 to 0.26513571324941
Berger Paints India Ltd.,509480,360,0.08789425394045533,0.08789425394045533,0.8556903919394656,0.08789425394045533 to 0.16310452254399047
Grindwell Norton Ltd.,506076,360,0.08655370246478873,-0.02447746722722925,0.6818306910867042,0.08443508704931152 to 0.1455686732324686
Bharti Airtel Ltd.,532454,360,0.08188513298791018,-0.03694683519118806,0.21804521637819763,0.07885973647479735 to 0.09973979452841655
Astrazeneca Pharma India Ltd.,506820,360,0.0791017905112678,-0.1242538517459672,0.12105099148881465,0.06927308836024017 to 0.08867714068119728
Procter & Gamble Hygiene & Health Care Ltd.,500459,360,0.07867307043478261,-0.10014549135028712,0.5211266424822013,0.07079431714005556 to 0.11967170348422662
Solar Industries India Ltd.,532725,360,0.07802973426573427,0.07802973426573427,0.4031872410839383,0.07802973426573427 to 0.10949032754684852
Indusind Bank Ltd.,532187,360,0.07626504506065857,-0.012213178620662802,0.2149468212639696,0.07533360644281985 to 0.09265797407000052
Bajaj Finance Ltd.,500034,360,0.075482606271777,0.075482606271777,0.7765088223382206,0.075482606271777 to 0.13409551597489414
Motilal Oswal Financial Services Ltd,532892,360,0.07375849999999998,0.07375849999999998,2.7487289900307625,0.07375849999999998 to 0.2765006272111839
Wockhardt Ltd.,532300,360,0.07294446247818498,-0.27959113289424853,0.13086959195923042,0.05254983757554724 to 0.08249067451839044
FDC Ltd.,531599,360,0.07109924999999999,0.07109924999999999,0.8532535900582932,0.07109924999999999 to 0.13176494031295208
Dr. Reddy's Laboratories Ltd.,500124,360,0.06612071626297575,0.06612071626297575,0.6337985670121906,0.06612071626297575 to 0.10802793148026943
