Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Adani Green Energy Ltd.,541450,30,0.0864732857142857,-0.11920255786717501,0.9081133451576523,0.07616544886996379 to 0.16500083047105912
Lemon Tree Hotels Ltd.,541233,30,0.06258153243243243,-0.11292360953219403,0.326332542019169,0.05551459990010609 to 0.08300392299456318
Dishman Carbogen Amcis Ltd.,540701,30,0.05577251111111112,-0.6510557732993377,0.1266269038809005,0.019461495760820763 to 0.06283481151477424
AU Small Finance Bank Ltd.,540611,30,0.044118258547008536,-0.19461117916308326,0.11023092773682688,0.03553235222855343 to 0.04898145511677848
RBL Bank Ltd.,540065,30,0.0399499501718213,-0.1473370934252657,0.09649494581446001,0.034063840631020956 to 0.04380491844894157
Equitas Holdings Ltd.,539844,30,0.039238003125,-0.07970903322713013,0.3111473861461203,0.03611037983014313 to 0.05144680523493705
Tube Investments Of India Ltd.,540762,30,0.037265380952380946,-0.0762770466523559,0.05319030163859098,0.03442288775095837 to 0.0392475378059151
Endurance Technologies Ltd.,540153,30,0.03289794385964913,-0.16796983804314458,0.09488145712993998,0.027372081557591403 to 0.036019348709631596
Vakrangee Ltd.,511431,30,0.031574998243559714,-0.2341248639206538,0.23644064712895121,0.024182506076491413 to 0.039040611261362476
Affle (India) Ltd.,542752,30,0.029767767045454543,0.029767767045454543,0.1546321960793231,0.029767767045454543 to 0.03437082223607088
TCI Express Ltd.,540212,30,0.02922833272058823,-0.22073516681213168,0.0067357647552026,0.0227766118218687 to 0.029425207893980905
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,30,0.027686744456762745,-0.13934070870568602,0.1590669086553414,0.0238288538624042 to 0.0320907893082304
Laurus Labs Ltd.,540222,30,0.021073861678832122,-0.1606505870774899,0.226475693438257,0.017688333428137925 to 0.02584657911596754
Varroc Engineering Pvt Ltd.,541578,30,0.020543650306748464,-0.0593304157340299,0.0800561842659701,0.019324786993354548 to 0.022188296561201172
V-Mart Retail Ltd.,534976,30,0.018975624271844654,0.018975624271844654,0.5468744348123497,0.018975624271844654 to 0.0293529080707212
Minda Industries Ltd.,532539,30,0.018319874338624326,-0.03906908905853438,0.09690515171520364,0.017604133536547453 to 0.020095164540812182
L&T Finance Holdings Ltd.,533519,30,0.01818954742765273,-0.05151372685284725,0.16714046572618535,0.017252536049887714 to 0.021229756856059146
Advanced Enzyme Technologies Ltd.,540025,30,0.016967426174496644,-0.16463939198374944,0.13897406754348476,0.01417391944559836 to 0.01932545840571023
Procter & Gamble Health Ltd.,500126,30,0.015740704646017695,-0.19628957244876072,0.12489820502766519,0.01265096846100866 to 0.017706690402175936
TeamLease Services Ltd.,539658,30,0.015274491044776115,-0.09728340533279466,0.09458192271145686,0.013788536541215018 to 0.01671918177622997
Alok Industries Ltd.,521070,30,0.014721449756097559,-0.29100659756823577,0.2222619581707461,0.010437410751303874 to 0.017993468006000057
Sumitomo Chemical India Pvt. Ltd.,542920,30,0.014272936507936504,0.014272936507936504,0.04020166152483692,0.014272936507936504 to 0.014846732270394054
TVS Srichakra Ltd.,509243,30,0.012507019252548131,-0.09274786050998314,0.2184687198766011,0.011347019975517124 to 0.015239411738124325
PNC Infratech Ltd.,539150,30,0.012290389333333332,-0.17558516863059428,0.11926283136940559,0.010132379249704343 to 0.013756175963859005
