Date,Close Price,Invest/Exit,Investment,Shares,Returns %
2018-11-05,22.75,INVEST,0,4395.0,0.0
2019-05-14,55.65,EXIT,244581.75,0.0,1.4458175
2019-06-19,31.15,INVEST,0,7851.0,0.0
2019-08-20,33.95,EXIT,266541.45,0.0,0.08978470388735059
2019-08-22,24.25,INVEST,0,10991.0,0.0
2019-11-26,39.2,EXIT,430847.2,0.0,0.6164360177375788
2020-01-24,50.4,INVEST,0,8548.0,0.0
2020-12-02,51.3,EXIT,438512.39999999997,0.0,0.01779099411577922
2020-12-10,43.55,INVEST,0,10069.0,0.0
2021-04-07,63.05,-,634850.45,0.0,0.44773659764239276
