Company,Average Returns %
509631-HEG Ltd.,0.39971
512599-Adani Enterprises Ltd.,0.30312
532865-Meghmani Organics Ltd.,0.28475100000000003
532504-Navin Fluorine International Ltd.,0.2288725
511431-Vakrangee Ltd.,0.19921099999999992
500228-JSW Steel Ltd.,0.19769899999999993
542650-Metropolis Healthcare Ltd.,0.18037399999999995
524742-Caplin Point Laboratories Ltd.,0.16423450000000012
532872-Sun Pharma Advanced Research Company Ltd.,0.15937249999999986
532784-Sobha Ltd.,0.1584920000000001
506820-Astrazeneca Pharma India Ltd.,0.13424300000000003
533286-Moil Ltd.,0.13016399999999995
534076-Orient Refractories Limited,0.12922699999999998
532805-Redington India Ltd.,0.12175576904733736
533400-Future Consumer Ltd.,0.11835679999999993
532531-Strides Pharma Science Ltd.,0.11012300000000003
534804-CARE Ratings Ltd.,0.102575
532899-Kaveri Seed Company Ltd.,0.09589550000000002
500645-Deepak Fertilisers & Petrochemicals Corpn. Ltd.,0.094515
500411-Thermax Ltd.,0.09406700000000012
506076-Grindwell Norton Ltd.,0.093365
511243-Cholamandalam Investment & Finance Co. Ltd.,0.09232550000000003
532921-Adani Ports and Special Economic Zone Ltd.,0.09116199999999997
542920-Sumitomo Chemical India Pvt. Ltd.,0.08669
500252-Lakshmi Machine Works Ltd.,0.08541300000000003
524200-Vinati Organics Ltd.,0.0824375
532889-KPR Mills Ltd.,0.08236650000000009
533098-NHPC Ltd.,0.08170149999999994
500770-Tata Chemicals Ltd.,0.07982699999999997
533274-Prestige Estates Projects Ltd.,0.07917
500850-Indian Hotels Co. Ltd.,0.07864
530007-JK Tyre & Industries Ltd.,0.07819100000000005
514162-Welspun India Ltd.,0.07801750000000014
505509-Responsive Industries Ltd.,0.07526103449045796
512529-Sequent Scientific Ltd.,0.07117400000000008
526612-Blue Dart Express Ltd.,0.06823
540762-Tube Investments Of India Ltd.,0.06815800000000002
539542-Lux Industries Ltd.,0.06418300000000003
541195-Mishra Dhatu Nigam Ltd.,0.05768
532702-Gujarat State Petronet Ltd.,0.057402499999999856
533151-DB Corporation Ltd.,0.05735
532822-Vodafone Idea Ltd.,0.05613699999999997
524208-Aarti Industries Ltd.,0.0558125
500067-Blue Star Ltd.,0.05577399999999994
533023-Wabco India Ltd.,0.0554875
531344-Container Corpn. Of India Ltd.,0.054958500000000056
531162-Emami Ltd.,0.05476800000000003
532843-Fortis Healthcare Ltd.,0.05469
503806-SRF Ltd.,0.052104500000000116
532144-Welspun Corp Ltd.,0.049535417200675336
520111-Ratnamani Metals & Tubes Ltd.,0.04821599999999991
532953-V-Guard Industries Ltd.,0.04612800000000003
509243-TVS Srichakra Ltd.,0.03990800000000003
517334-Motherson Sumi Systems Ltd.,0.03887
500400-Tata Power Co. Ltd.,0.03813979355377402
532548-Century Plyboards (India) Ltd.,0.03719
533229-Bajaj Consumer Care Ltd.,0.036992000000000115
532514-Indraprastha Gas Ltd.,0.03525
532309-GE Power India Ltd.,0.0351875
522113-Timken India Ltd.,0.03484150000000009
532942-KNR Constructions Ltd.,0.03392
513683-NLC India Ltd.,0.03327
532466-Oracle Financial Services Software Ltd.,0.03126928801751172
500480-Cummins India Ltd.,0.03106600000000006
532162-JK Paper Ltd.,0.027970999999999913
533150-Godrej Properties Ltd.,0.026975
532155-GAIL (India) Ltd.,0.024992999999999883
532756-Mahindra CIE Automotive Ltd.,0.02483699999999997
512179-Sunteck Realty Ltd.,0.02446
500042-BASF India Ltd.,0.02402649999999994
532443-Cera Sanitaryware Ltd.,0.0237725
500106-IFCI Ltd.,0.022144400000000022
500144-Finolex Cables Ltd.,0.020585999999999913
532725-Solar Industries India Ltd.,0.01992
532209-Jammu & Kashmir Bank Ltd.,0.009714499999999971
540935-Galaxy Surfactants Ltd.,0.00676
543064-Suven Pharmaceutical Ltd.,0.0062
504973-Cholamandalam Financial Holdings Ltd.,0.00385
535754-Orient Cement Ltd.,0.00098
532388-Indian Overseas Bank,0.0
532830-Astral Ltd.,0.0
532827-Page Industries Ltd.,0.0
532321-Cadila Healthcare Ltd.,0.0
532343-TVS Motor Co. Ltd.,0.0
532819-MindTree Ltd.,0.0
532374-Sterlite Technologies Ltd.,0.0
532400-Birlasoft Ltd.,0.0
532814-Indian Bank,0.0
532810-Power Finance Corpn. Ltd.,0.0
532424-Godrej Consumer Products Ltd.,0.0
532454-Bharti Airtel Ltd.,0.0
532461-Punjab National Bank,0.0
532809-Firstsource Solutions Ltd.,0.0
532313-Mahindra Lifespace Developers Ltd.,0.0
532832-Indiabulls Real Estate Ltd.,0.0
532800-TV18 Broadcast Ltd.,0.0
532839-Dish TV India Ltd.,0.0
532301-Tata Coffee Ltd.,0.0
532300-Wockhardt Ltd.,0.0
532296-Glenmark Pharmaceuticals Ltd.,0.0
532286-Jindal Steel & Power Ltd.,0.0
532281-HCL Technologies Ltd.,0.0
532848-Delta Corp Ltd.,0.0
532856-Time Technoplast Ltd,0.0
532234-National Aluminium Co. Ltd.,0.0
532221-Sonata Software Ltd.,0.0
532218-South Indian Bank Ltd.,0.0
532215-Axis Bank Ltd.,0.0
532868-DLF Ltd.,0.0
532210-City Union Bank Ltd.,0.0
532477-Union Bank of India,0.0
532683-AIA Engineering Ltd.,0.0
532689-PVR Ltd.,0.0
532612-Indoco Remedies Ltd.,0.0
532754-GMR Infrastructure Ltd,0.0
532749-Allcargo Logistics Ltd.,0.0
532733-Sun TV Network Ltd.,0.0
532541-Coforge Ltd.,0.0
532714-KEC International Ltd.,0.0
532555-National Thermal Power Corp. Ltd.,0.0
532622-Gateway Distriparks Ltd.,0.0
532539-Minda Industries Ltd.,0.0
532706-INOX Leisure Ltd.,0.0
532636-IIFL Finance Ltd.,0.0
532705-Jagran Prakashan Ltd.,0.0
532638-Shoppers Stop Ltd.,0.0
532880-Omaxe Ltd.,0.0
532667-Suzlon Energy Ltd.,0.0
532540-Tata Consultancy Services Ltd.,0.0
532755-Tech Mahindra Ltd.,0.0
532478-United Breweries Ltd.,0.0
532777-Info Edge (India) Ltd.,0.0
532482-Granules India Ltd.,0.0
532790-Tanla Platforms Ltd.,0.0
532483-Canara Bank,0.0
532488-Divi's Laboratories Ltd.,0.0
532497-Radico Khaitan Ltd.,0.0
532779-Torrent Power Ltd.,0.0
532498-Shriram City Union Finance Ltd.,0.0
532538-Ultratech Cement Ltd.,0.0
532515-TV Today Network Ltd.,0.0
532522-Petronet LNG Ltd.,0.0
532772-DCB Bank Ltd.,0.0
532523-Biocon Ltd.,0.0
532524-PTC India Ltd.,0.0
532525-Bank of Maharashtra,0.0
532644-JK Cement Ltd,0.0
500002-ABB India Ltd.,0.0
532885-Central Bank of India,0.0
541179-ICICI Securities Ltd.,0.0
541153-Bandhan Bank Ltd.,0.0
541143-Bharat Dynamics Ltd.,0.0
540975-Aster DM Healthcare Ltd.,0.0
540902-Amber Enterprises India Ltd.,0.0
540768-Mahindra Logistics Ltd.,0.0
540767-Nippon Life India Asset Management Ltd.,0.0
540750-Indian Energy Exchange Ltd.,0.0
540749-Mas Financial Services Ltd.,0.0
540743-Godrej Agrovet Ltd.,0.0
540701-Dishman Carbogen Amcis Ltd.,0.0
540699-Dixon Technologies (India) Ltd.,0.0
540691-Aditya Birla Capital Ltd.,0.0
540678-Cochin Shipyard Ltd.,0.0
540673-SIS Ltd.,0.0
540611-AU Small Finance Bank Ltd.,0.0
540596-Eris Lifesciences Ltd,0.0
540575-Star Cement Ltd,0.0
540530-Housing & Urban Development Corpn. Ltd.,0.0
540376-Avenue Supermarts Ltd.,0.0
540222-Laurus Labs Ltd.,0.0
540212-TCI Express Ltd.,0.0
540203-Sheela Foam Ltd.,0.0
540180-Varun Beverages Ltd.,0.0
541154-Hindustan Aeronautics Ltd.,0.0
541233-Lemon Tree Hotels Ltd.,0.0
540153-Endurance Technologies Ltd.,0.0
541301-Orient Electric Ltd.,0.0
543187-ABB Power Products and Systems India Ltd.,0.0
542904-Ujjivan Small Finance Bank Ltd.,0.0
542867-CSB Bank Ltd.,0.0
542812-Gujarat Fluorochemicals Ltd.,0.0
542760-Sterling and Wilson Solar Ltd.,0.0
542752-Affle (India) Ltd.,0.0
542726-Indiamart Intermesh Ltd.,0.0
542652-Polycab India Ltd.,0.0
542651-KPIT Technologies Ltd.,0.0
542649-Rail Vikas Nigam Ltd.,0.0
542216-Dalmia Bharat Ltd.,0.0
542066-Adani Total Gas Ltd.,0.0
542011-Garden Reach Shipbuilders & Engineers Ltd.,0.0
541988-Aavas Financiers Ltd.,0.0
541956-Ircon International Ltd.,0.0
541729-HDFC Asset Management Company Ltd.,0.0
541700-TCNS Clothing Co Ltd.,0.0
541578-Varroc Engineering Pvt Ltd.,0.0
541557-Fine Organic Industries Ltd.,0.0
541556-Rites Ltd.,0.0
541540-Solara Active Pharma Sciences Ltd.,0.0
541450-Adani Green Energy Ltd.,0.0
541336-Indostar Capital Finance Pvt Ltd.,0.0
540173-PNB Housing Finance Ltd.,0.0
540115-L&T Technology Services Ltd.,0.0
532892-Motilal Oswal Financial Services Ltd,0.0
534139-Schneider Electric Infrastructure Ltd.,0.0
533758-APL Apollo Tubes Ltd.,0.0
