Company,Security Id,Average Returns %
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,0.5533579999999999
Kaveri Seed Company Ltd.,532899,0.14730799999999988
NBCC India Ltd.,534309,0.1343475
Ircon International Ltd.,541956,0.09926
Fine Organic Industries Ltd.,541557,0.04907600000000006
Tata Power Co. Ltd.,500400,0.032704500000000115
Dilip Buildcon Ltd.,540047,0.029863999999999943
Indraprastha Gas Ltd.,532514,0.020491999999999972
Indiabulls Housing Finance Ltd.,535789,0.004748000000000029
Vedanta Ltd.,500295,0.0009439999999999417
Info Edge (India) Ltd.,532777,0.0
DCB Bank Ltd.,532772,0.0
Solar Industries India Ltd.,532725,0.0
Tech Mahindra Ltd.,532755,0.0
Sobha Ltd.,532784,0.0
GMR Infrastructure Ltd,532754,0.0
Allcargo Logistics Ltd.,532749,0.0
Sun TV Network Ltd.,532733,0.0
Tanla Platforms Ltd.,532790,0.0
Mahindra CIE Automotive Ltd.,532756,0.0
Indoco Remedies Ltd.,532612,0.0
Gateway Distriparks Ltd.,532622,0.0
Network 18 Media & Investments Ltd.,532798,0.0
KEC International Ltd.,532714,0.0
INOX Leisure Ltd.,532706,0.0
Gujarat State Petronet Ltd.,532702,0.0
PVR Ltd.,532689,0.0
AIA Engineering Ltd.,532683,0.0
Suzlon Energy Ltd.,532667,0.0
Karnataka Bank Ltd.,532652,0.0
JK Cement Ltd,532644,0.0
Shoppers Stop Ltd.,532638,0.0
IIFL Finance Ltd.,532636,0.0
Mahindra & Mahindra Financial Services Ltd.,532720,0.0
Redington India Ltd.,532805,0.0
TV18 Broadcast Ltd.,532800,0.0
Century Plyboards (India) Ltd.,532548,0.0
Brigade Enterprises Ltd.,532929,0.0
eClerx Services Ltd,532927,0.0
Jyothy Labs Ltd.,532926,0.0
Edelweiss Financial Services Ltd.,532922,0.0
Adani Ports and Special Economic Zone Ltd.,532921,0.0
Power Grid Corporation of India Ltd.,532898,0.0
Motilal Oswal Financial Services Ltd,532892,0.0
KPR Mills Ltd.,532889,0.0
Central Bank of India,532885,0.0
Omaxe Ltd.,532880,0.0
Sun Pharma Advanced Research Company Ltd.,532872,0.0
DLF Ltd.,532868,0.0
Meghmani Organics Ltd.,532865,0.0
Time Technoplast Ltd,532856,0.0
Delta Corp Ltd.,532848,0.0
Fortis Healthcare Ltd.,532843,0.0
Dish TV India Ltd.,532839,0.0
Indiabulls Real Estate Ltd.,532832,0.0
Astral Ltd.,532830,0.0
Page Industries Ltd.,532827,0.0
Vodafone Idea Ltd.,532822,0.0
MindTree Ltd.,532819,0.0
Indian Bank,532814,0.0
Power Finance Corpn. Ltd.,532810,0.0
Firstsource Solutions Ltd.,532809,0.0
National Thermal Power Corp. Ltd.,532555,0.0
ABB India Ltd.,500002,0.0
Coforge Ltd.,532541,0.0
Indusind Bank Ltd.,532187,0.0
GE Power India Ltd.,532309,0.0
Tata Coffee Ltd.,532301,0.0
Wockhardt Ltd.,532300,0.0
Glenmark Pharmaceuticals Ltd.,532296,0.0
Jindal Steel & Power Ltd.,532286,0.0
HCL Technologies Ltd.,532281,0.0
National Aluminium Co. Ltd.,532234,0.0
Sonata Software Ltd.,532221,0.0
Axis Bank Ltd.,532215,0.0
City Union Bank Ltd.,532210,0.0
Jammu & Kashmir Bank Ltd.,532209,0.0
India Tourism Devp. Corpn. Ltd.,532189,0.0
Gujarat Mineral Devp. Corpn. Ltd.,532181,0.0
Cadila Healthcare Ltd.,532321,0.0
Engineers India Ltd.,532178,0.0
Cyient Limited,532175,0.0
ICICI Bank Ltd.,532174,0.0
JK Paper Ltd.,532162,0.0
Vaibhav Global Ltd.,532156,0.0
GAIL (India) Ltd.,532155,0.0
Aegis Logistics Ltd.,500003,0.0
Welspun Corp Ltd.,532144,0.0
Bank Of Baroda,532134,0.0
Poly Medicure Ltd.,531768,0.0
Marico Ltd.,531642,0.0
FDC Ltd.,531599,0.0
Mahindra Lifespace Developers Ltd.,532313,0.0
