Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime
2021-04-06,306.4,309.45,303.4,305.45,306.5807714571384,95015,1852,29129772.0,29537,31.09,6.05,-0.95,1617647400.0
2021-04-05,312.0,314.8,301.8,305.95,307.0951582317683,209882,2769,64453746.0,34592,16.48,13.0,-6.05,1617561000.0
2021-04-01,312.25,313.85,303.55,309.8,310.5230988765794,192715,2186,59842459.0,38831,20.15,10.3,-2.45,1617215400.0
2021-03-31,300.0,310.8,299.2,308.75,305.64100353348334,330552,5733,101030245.0,163544,49.48,11.6,8.75,1617129000.0
2021-03-30,295.5,303.5,295.5,300.3,301.28787415611157,271511,3864,81802972.0,101703,37.46,8.0,4.8,1617042600.0
2021-03-26,299.0,301.35,293.65,295.0,296.5674154764057,353984,4151,104980120.0,120412,34.02,7.7,-4.0,1616697000.0
2021-03-25,308.0,308.0,293.1,294.15,296.6717829585995,337484,2645,100121980.0,172121,51.0,14.9,-13.85,1616610600.0
2021-03-24,303.6,307.35,300.75,303.75,304.6059591665322,328603,3670,100094432.0,50588,15.39,6.6,0.15,1616524200.0
2021-03-23,297.0,306.25,293.5,304.35,300.9536310380593,755872,9849,227482423.0,296764,39.26,12.75,7.35,1616437800.0
2021-03-22,284.4,298.15,280.2,296.2,292.08508994356646,468516,4423,136846538.0,135042,28.82,17.95,11.8,1616351400.0
2021-03-19,278.4,284.7,273.95,283.4,282.1286371510574,1089864,5741,307481845.0,746344,68.48,10.75,5.0,1616092200.0
2021-03-18,281.75,285.7,277.7,281.05,283.2264524586506,107559,1441,30463554.0,22116,20.56,8.0,-0.7,1616005800.0
2021-03-17,285.9,287.5,280.05,280.8,282.3740673481036,96365,999,27210977.0,14012,14.54,7.45,-5.1,1615919400.0
2021-03-16,284.1,289.95,284.1,285.4,286.8951137177345,175962,1660,50482638.0,31668,18.0,5.85,1.3,1615833000.0
2021-03-15,289.65,290.5,279.0,283.45,282.82190818403825,236277,3687,66824312.0,59944,25.37,11.5,-6.2,1615746600.0
