Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2007-08-01,136.0,138.0,129.0,130.05,134.9201049180328,38125,121,5143829.0,35904.0,94.17,9.0,-5.95,1185906600.0,0.0,,,,nan,4.89,16.03229527104959,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,23.81868131868132,,,,
2007-08-02,131.0,144.9,131.0,141.65,138.670503822254,44738,468,6203841.0,18459.0,41.26,13.9,10.65,1185993000.0,0.0,8.919646289888504,,,nan,4.89,6.530180021178955,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.943223443223445,136.0,138.0,129.0,130.05
2007-08-03,144.0,147.8,140.0,143.5,143.49982846164403,29148,333,4182733.0,14812.0,50.82,7.8,-0.5,1186079400.0,0.0,1.3060360042357777,,,nan,4.85,5.156794425087119,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,26.28205128205128,131.0,144.9,131.0,141.65
2007-08-06,135.15,141.95,135.15,140.0,140.13346978347516,9283,112,1300859.0,6571.0,70.79,6.8,4.85,1186338600.0,0.0,-2.4390243902439046,,,nan,4.88,7.785714285714285,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.641025641025642,144.0,147.8,140.0,143.5
2007-08-07,141.0,141.5,139.0,139.55,139.8884329906413,21691,96,3034320.0,20175.0,93.01,2.5,-1.45,1186425000.0,0.0,-0.3214285714285614,,,nan,4.94,8.133285560730918,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.558608058608062,135.15,141.95,135.15,140.0
2007-08-08,133.95,148.0,133.95,146.75,144.3299369809765,33958,293,4901156.0,20520.0,60.43,14.05,12.8,1186511400.0,0.0,5.159441060551773,,,nan,4.95,2.82793867120954,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,26.877289377289376,141.0,141.5,139.0,139.55
2007-08-09,146.25,158.0,145.1,147.0,152.8760708357315,119883,717,18327242.0,79558.0,66.36,12.9,0.75,1186597800.0,0.0,0.17035775127767216,,,nan,4.81,2.6530612244898055,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,26.923076923076923,133.95,148.0,133.95,146.75
2007-08-10,140.95,147.95,139.05,145.25,143.82384929112447,20596,204,2962196.0,12543.0,60.9,8.9,4.3,1186684200.0,0.0,-1.1904761904761862,,,nan,4.57,3.889845094664368,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,26.602564102564102,146.25,158.0,145.1,147.0
2007-08-13,147.9,148.95,144.0,145.1,146.83270424157124,15631,133,2295142.0,9938.0,63.58,4.95,-2.8,1186943400.0,0.0,-0.10327022375214989,,,nan,4.74,3.997243280496221,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,26.575091575091573,140.95,147.95,139.05,145.25
2007-08-14,144.0,152.85,144.0,148.85,148.77488890362804,15077,160,2243079.0,9508.0,63.06,8.85,4.85,1187029800.0,0.0,2.5844245348035866,,,nan,4.64,1.3772253946926494,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,27.261904761904763,147.9,148.95,144.0,145.1
2007-08-16,143.0,145.0,141.0,141.5,142.82846451782314,15233,134,2175706.0,12766.0,83.8,4.0,-1.5,1187202600.0,0.0,-4.9378569029224,,,nan,3.79,6.64310954063605,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.915750915750916,144.0,152.85,144.0,148.85
2007-08-17,141.0,142.9,131.55,137.05,135.45622611543996,40298,187,5458615.0,33157.0,82.28,11.35,-3.95,1187289000.0,0.0,-3.1448763250883305,,,nan,3.76,10.105800802626774,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.100732600732602,143.0,145.0,141.0,141.5
2007-08-20,141.0,144.0,138.0,138.75,140.96430074934747,11877,122,1674233.0,8804.0,74.13,6.0,-2.25,1187548200.0,0.0,1.2404232032104945,,,nan,3.12,8.756756756756756,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.412087912087912,141.0,142.9,131.55,137.05
2007-08-21,144.0,144.0,131.1,131.9,136.15235941194612,9727,85,1324354.0,7441.0,76.5,12.9,-12.1,1187634600.0,0.0,-4.936936936936931,,,nan,3.59,14.40485216072782,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.157509157509157,141.0,144.0,138.0,138.75
2007-08-22,131.05,136.1,125.1,131.9,130.22623037572765,34014,179,4429515.0,25201.0,74.09,11.0,0.85,1187721000.0,0.0,0.0,,,nan,3.67,14.40485216072782,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.157509157509157,144.0,144.0,131.1,131.9
2007-08-23,135.95,139.5,127.2,130.25,133.19734108849187,16849,164,2244242.0,13160.0,78.11,12.3,-5.7,1187807400.0,0.0,-1.2509476876421566,,,nan,3.89,15.854126679462578,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,23.855311355311354,131.05,136.1,125.1,131.9
2007-08-24,133.0,134.05,129.25,132.85,131.96224107318997,25345,164,3344583.0,16798.0,66.28,4.8,-0.15,1187893800.0,0.0,1.996161228406912,,,nan,4.24,13.586751975912703,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.331501831501832,135.95,139.5,127.2,130.25
2007-08-27,133.1,135.5,133.1,134.4,134.76280178379207,13006,104,1752725.0,12020.0,92.42,2.4,1.3,1188153000.0,0.0,1.1667293940534451,,,nan,4.63,12.27678571428572,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.615384615384617,133.0,134.05,129.25,132.85
2007-08-28,132.3,136.75,132.3,135.0,135.0824530979032,12686,80,1713656.0,9342.0,73.64,4.45,2.7,1188239400.0,0.0,0.44642857142855874,,,nan,4.4,11.777777777777775,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.725274725274726,133.1,135.5,133.1,134.4
2007-08-29,135.9,136.5,133.0,136.0,134.3331740342493,12555,98,1686553.0,9380.0,74.71,3.5,0.1,1188325800.0,0.0,0.7407407407407307,,,nan,3.98,10.955882352941181,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,24.90842490842491,132.3,136.75,132.3,135.0
2007-08-30,134.6,141.0,134.5,138.0,138.05452747563217,21237,164,2931864.0,14134.0,66.55,6.5,3.4,1188412200.0,0.0,1.4705882352941124,,,nan,3.84,9.347826086956523,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.274725274725274,135.9,136.5,133.0,136.0
2007-08-31,138.95,142.0,138.95,140.05,140.118950462902,22791,163,3193451.0,20155.0,88.43,3.05,1.1,1188498600.0,0.0,1.485507246376816,,,nan,4.01,7.747233131024633,,,25.75,461.35,435.6,1490.6,1501.3,-1059.5,365.8,5.46,2007,4923.4,4940.6,-3984.8,579.1,8.32,10121.0,10143.7,-8245.8,1111.1000000000001,15.79,19638.8,15508.0,-13585.4,2654.0999999999995,37.57,25.650183150183153,134.6,141.0,134.5,138.0
