Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Upper Band,Lower Band,Band Area,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2007-08-01,1188.7,1188.7,1119.0,1161.8,1155.1626653697779,152159,2038,175768396.0,96747.0,63.58,69.7,-26.9,1185906600.0,4.89,-0.800482010673087,5815.85,-4.079528961604428,0.31551333402068443,34.82527113100362,242.4113414204287,-45.00587920162114,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,109.60377358490565,1161.8,1161.8,0.0,1160.0,1165.0,1140.55,1152.5
2007-08-02,1160.0,1165.0,1140.55,1152.5,1150.5704825529551,68407,944,78707075.0,48351.0,70.68,24.45,-7.5,1185993000.0,4.89,-0.800482010673087,5844.15,0.4866012706654877,0.31468239391522146,35.91323210412148,240.753231864343,-43.19877433553093,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,108.72641509433963,1161.8,1152.5,9.299999999999955,1162.0,1168.9,1136.0,1152.3
2007-08-03,1162.0,1168.9,1136.0,1152.3,1153.8739565738906,40851,889,47136905.0,17069.0,41.78,32.9,-9.7,1186079400.0,4.85,-0.017353579175705125,5915.94,1.228407895074568,0.3146841696596633,35.93682200815762,236.6181874731657,-41.8469576203607,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,108.70754716981132,1161.8,1152.3,9.5,1111.4,1141.0,1105.0,1133.9
2007-08-06,1111.4,1141.0,1105.0,1133.9,1124.876791910691,127378,1247,143284556.0,88885.0,69.78,36.0,22.5,1186338600.0,4.88,-1.5968063872255356,5834.34,-1.3793243339181862,0.3146149807149077,38.14269335920275,241.32618256735125,-41.12681780933799,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,106.97169811320757,1161.8,1133.9,27.899999999999864,1155.0,1169.0,1130.5,1142.6
2007-08-07,1155.0,1169.0,1130.5,1142.6,1144.588627401451,71259,1376,81562241.0,37862.0,53.13,38.5,-12.4,1186425000.0,4.94,0.7672634271099543,5858.5,0.4140999667485934,0.31455694828064307,37.09084544022407,239.91857984125636,-41.76329954596096,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,107.79245283018868,1161.8,1133.9,27.899999999999864,1143.0,1190.5,1143.0,1171.95
2007-08-08,1143.0,1190.5,1143.0,1171.95,1169.1597550826293,84110,1645,98338027.0,45404.0,53.98,47.5,28.95,1186511400.0,4.95,2.568702958165603,5987.59,2.2034650507809284,0.3145580933887269,33.65757924826145,232.59007380264848,-42.89844834596875,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,110.56132075471699,1171.95,1133.9,38.049999999999955,1185.0,1193.9,1143.45,1155.4
2007-08-09,1185.0,1193.9,1143.45,1155.4,1167.1449614324215,64562,1304,75353213.0,25745.0,39.88,50.45,-29.6,1186597800.0,4.81,-1.4121762873842703,5897.26,-1.5086203297152934,0.3144258702624286,35.572096243725106,237.68445006664112,-42.459655380362996,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,109.00000000000001,1171.95,1133.9,38.049999999999955,1120.0,1132.9,1090.0,1131.7
2007-08-10,1120.0,1132.9,1090.0,1131.7,1124.141114491206,99274,1690,111597985.0,40051.0,40.34,42.9,11.7,1186684200.0,4.57,-2.0512376666089738,5815.0,-1.3948850822246284,0.31433975200151415,38.41123972784306,242.46139294926917,-40.93748173512497,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,106.76415094339623,1171.95,1131.7,40.25,1157.7,1157.7,1127.0,1135.6
2007-08-13,1157.7,1157.7,1127.0,1135.6,1137.0734426806723,34081,786,38752600.0,13622.0,39.97,30.7,-22.1,1186943400.0,4.74,0.3446142970751742,5873.17,1.0003439380911416,0.3143060333022589,37.93589292004229,239.06953144553964,-40.45529259418221,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,107.1320754716981,1171.95,1131.7,40.25,1140.0,1150.0,1125.0,1146.95
2007-08-14,1140.0,1150.0,1125.0,1146.95,1137.910020533881,24350,676,27708109.0,6610.0,27.15,25.0,6.95,1187029800.0,4.64,0.9994716449454044,5867.47,-0.09705150710774824,0.3142621766006641,36.570905444875535,239.39892321562786,-41.84494474129585,0.0,23627.6,28451.4,-8183.8,3684.8,10.6,2007,56830.8,69113.1,-21528.6,9004.7,25.4,132960.2,157607.8,-48289.49999999999,18928.0,48.8,301003.4,366702.3,-104364.2,44389.9,108.5,108.20283018867926,1171.95,1131.7,40.25,1110.0,1113.0,1082.35,1094.0
