Predicted Values,Actual Values
[449.9],449.9
[1139.5],1139.5
[532.75336224],546.15
[569.34343003],618.6
[967.45],967.45
[449.9],449.9
[1004.61448672],1015.3
[469.65868057],473.4
[983.94197705],994.1
[967.45],967.45
[994.35],994.35
[351.95],351.95
[1024.],1024.0
[760.72398311],827.9
[967.45],967.45
[351.95],351.95
[1021.11014795],1024.0
[908.78767815],967.45
[414.30553726],419.45
[546.15],546.15
[741.17816465],812.15
[351.95],351.95
[351.95],351.95
[461.98690254],449.9
[967.45],967.45
[400.30240595],419.45
[871.16132592],967.45
[769.7],769.7
[956.45058224],896.4
[726.1],726.1
[967.45],967.45
[530.47193337],546.15
[449.9],449.9
[620.7170929],574.05
[546.15],546.15
[449.9],449.9
[726.1],726.1
[967.45],967.45
[890.47313667],812.15
[994.35],994.35
[360.42791876],351.95
[546.15],546.15
[967.45],967.45
[1139.5],1139.5
[1024.],1024.0
[1139.5],1139.5
[1024.],1024.0
[723.01113979],781.25
[569.9949467],618.6
[546.15],546.15
[1139.5],1139.5
[358.51171292],351.95
[911.36006624],967.45
[468.16889738],467.65
[967.45],967.45
[601.8030684],618.6
[449.9],449.9
[419.52918225],419.45
[369.95063244],439.7
[368.6721566],407.65
[351.95],351.95
[925.57020534],814.0
[351.95],351.95
[979.24684071],994.35
[967.45],967.45
[1131.95666089],1139.5
[861.69964079],994.35
[801.79039231],800.35
[373.14670759],351.95
[351.95],351.95
[967.45],967.45
[1024.],1024.0
[449.9],449.9
[491.9481531],473.4
[574.05],574.05
[449.9],449.9
[449.9],449.9
[351.95],351.95
[967.45],967.45
[984.46254452],994.35
[351.95],351.95
[1024.],1024.0
[423.5292314],419.85
[453.69462417],488.8
[1002.67915414],968.25
[449.9],449.9
[967.45],967.45
[531.03530888],546.15
[351.95],351.95
[480.14785468],449.9
[953.23682909],994.35
[1106.09046675],1094.2
[511.06828642],546.15
[449.9],449.9
[1139.5],1139.5
[467.09989704],467.65
[967.45],967.45
[1024.],1024.0
[967.45],967.45
[792.56840729],827.9
[449.9],449.9
[351.95],351.95
[994.35],994.35
[623.411479],574.05
[967.45],967.45
[940.85667608],896.4
[546.15],546.15
[531.05062651],546.15
[994.35],994.35
[351.95],351.95
[453.6140286],449.9
[449.9],449.9
[555.99887753],574.05
[659.70145867],720.05
[351.95],351.95
[967.45],967.45
[965.94865169],994.35
[805.58807859],769.7
[1024.],1024.0
[769.7],769.7
[967.45],967.45
[811.12793533],827.9
[497.65583233],449.9
[746.77921254],781.25
[531.28824485],546.15
[351.95],351.95
[1026.29350922],994.35
[351.95],351.95
[581.21948214],618.6
[974.51038217],967.45
[967.45],967.45
[351.95],351.95
[449.9],449.9
[1000.88406685],1015.3
[1024.],1024.0
[1139.5],1139.5
[351.95],351.95
[351.95],351.95
[359.58392985],351.95
[449.9],449.9
[769.7],769.7
[1024.],1024.0
[351.95],351.95
[351.95],351.95
[449.9],449.9
[1139.5],1139.5
[351.95],351.95
[994.35],994.35
[917.78636402],967.45
[618.6],618.6
[1024.],1024.0
[449.9],449.9
[1006.26916564],1024.0
[1024.],1024.0
[390.25045842],351.95
[909.62338035],967.45
[453.69214256],449.9
[351.95],351.95
[453.67266245],473.4
[769.7],769.7
[546.15],546.15
[555.08902336],574.05
[726.1],726.1
[546.15],546.15
[837.11552369],967.45
[497.17004316],488.8
[546.15],546.15
[590.61920888],618.6
[967.45],967.45
[994.35],994.35
[419.57620383],419.85
[906.37502109],901.15
[604.28955275],574.05
[351.95],351.95
[351.95],351.95
[859.59544821],812.15
[635.26961983],778.85
[546.15],546.15
[546.15],546.15
[1139.5],1139.5
[449.9],449.9
[546.15],546.15
[351.95],351.95
[546.15],546.15
[449.9],449.9
[726.1],726.1
[595.27309358],541.0
[1026.57912131],1024.0
[449.9],449.9
[1139.5],1139.5
[449.9],449.9
[1138.56828058],1139.5
[1137.37954341],1139.5
[473.4],473.4
[351.95],351.95
[449.9],449.9
[959.92680779],994.35
[967.45],967.45
[1024.],1024.0
[795.92604575],769.7
[994.35],994.35
[351.95],351.95
[1139.5],1139.5
[967.45],967.45
[574.05],574.05
[449.9],449.9
[900.34712664],925.6
[1139.5],1139.5
[618.6],618.6
[885.49132944],967.45
[857.72843104],876.45
[769.7],769.7
[967.45],967.45
[546.15],546.15
[546.15],546.15
[509.26033873],488.85
[1139.5],1139.5
[1024.],1024.0
[650.07841109],676.05
[494.42394488],541.0
[1139.5],1139.5
[351.95],351.95
[952.5040869],994.35
[449.9],449.9
[967.45],967.45
[360.8928838],351.95
[466.45042057],449.9
[1026.76599316],1031.45
[384.68781972],351.95
[449.9],449.9
[846.93072399],967.45
[548.77984829],541.4
[449.9],449.9
[546.15],546.15
[967.45],967.45
[590.5974119],618.6
[1044.33244616],1024.0
[967.45],967.45
[574.05],574.05
[903.33868961],812.15
[588.16668223],618.6
[351.95],351.95
[546.15],546.15
[475.83707389],473.4
[726.1],726.1
[449.9],449.9
[351.95],351.95
[1139.5],1139.5
[351.95],351.95
[351.95],351.95
[546.15],546.15
[546.15],546.15
[1021.12140001],1024.0
[1124.09600769],1139.5
[449.9],449.9
[351.95],351.95
[591.01768076],618.6
[573.08924089],618.6
[458.06586142],449.9
[351.95],351.95
[1139.5],1139.5
[726.1],726.1
[449.9],449.9
[726.1],726.1
[449.9],449.9
[1139.5],1139.5
[546.15],546.15
[618.6],618.6
[449.9],449.9
[351.95],351.95
[714.2617733],781.25
[1024.],1024.0
[351.95],351.95
[1024.],1024.0
[1139.5],1139.5
[533.17974974],541.0
[912.69841286],967.45
[967.45],967.45
[546.15],546.15
[1139.5],1139.5
[994.35],994.35
[959.07575174],994.35
[500.95340703],546.15
[618.6],618.6
[1024.],1024.0
[536.96923474],464.4
[480.2260498],449.9
[1139.5],1139.5
[769.7],769.7
[449.9],449.9
[815.22713143],812.15
[567.20062171],618.6
[449.9],449.9
[351.95],351.95
[351.95],351.95
[994.35],994.35
[763.52094453],827.9
[1139.5],1139.5
[453.30658208],449.9
[820.82244833],1024.0
[905.1893945],876.45
[967.45],967.45
[1024.],1024.0
[409.28303878],419.85
[464.45929974],473.4
[1024.],1024.0
[449.9],449.9
[351.95],351.95
[574.05],574.05
[967.45],967.45
[351.95],351.95
[449.9],449.9
[351.95],351.95
[351.95],351.95
[1139.5],1139.5
[384.20506043],419.45
[595.00049345],618.6
[726.1],726.1
[917.06116255],967.45
[967.45],967.45
[351.95],351.95
[546.15],546.15
[546.15],546.15
[449.9],449.9
[741.22447833],726.1
[546.15],546.15
[967.45],967.45
[351.95],351.95
[374.22802964],351.95
[449.9],449.9
[523.38356231],629.7
[967.45],967.45
[472.301934],473.4
[546.15],546.15
[546.15],546.15
[688.48543935],574.05
[967.45],967.45
[1139.5],1139.5
[518.2188159],546.15
[967.45],967.45
[1139.5],1139.5
[353.06842494],351.95
[546.15],546.15
[351.95],351.95
[967.45],967.45
[484.24194686],473.4
[546.15],546.15
[907.92474141],866.35
[618.6],618.6
[1139.5],1139.5
[395.02904619],351.95
[1139.5],1139.5
[909.51528712],967.45
[955.85487016],967.45
[467.37569591],466.15
[453.70545846],449.9
[1139.5],1139.5
[1139.5],1139.5
[601.92699891],618.6
[351.95],351.95
[486.21251626],473.4
[1139.5],1139.5
[397.87208917],419.45
[546.15],546.15
[351.95],351.95
[1131.29510183],1139.5
[1139.5],1139.5
[994.35],994.35
[546.15],546.15
[460.98537403],473.4
[449.9],449.9
[381.64893341],364.5
[351.95],351.95
[994.35],994.35
[785.94288448],769.7
[967.45],967.45
[967.45],967.45
[449.9],449.9
[463.87732674],449.9
[884.92899015],904.35
[365.11297345],351.95
[1024.],1024.0
[985.5499142],994.35
[967.45],967.45
[546.15],546.15
[946.68691306],967.45
[994.35],994.35
[796.84079567],769.7
[449.9],449.9
[1139.5],1139.5
[1139.5],1139.5
[449.9],449.9
[1024.],1024.0
[881.86870208],967.45
[967.45],967.45
[351.95],351.95
[674.04370292],578.45
[1024.],1024.0
[351.95],351.95
[903.07193456],967.45
[546.15],546.15
[351.95],351.95
[449.9],449.9
[449.9],449.9
[546.15],546.15
[470.86319268],473.4
[726.1],726.1
[430.4253606],419.45
[1024.],1024.0
[488.98799023],473.4
[596.84224655],618.6
[351.95],351.95
[351.95],351.95
[546.15],546.15
[1024.],1024.0
[549.10950861],488.8
[1024.],1024.0
[449.9],449.9
[967.45],967.45
[351.95],351.95
[1039.27010561],1060.4
[1139.5],1139.5
[573.28385498],551.55
[351.95],351.95
[351.95],351.95
[504.41583003],449.9
[1139.5],1139.5
[351.95],351.95
[449.9],449.9
[589.19225876],618.6
[449.9],449.9
[351.95],351.95
[449.9],449.9
[373.48428455],351.95
[769.7],769.7
[351.95],351.95
[803.03890307],827.9
[967.45],967.45
[967.45],967.45
[1024.],1024.0
[726.1],726.1
[1139.5],1139.5
[905.61970374],967.45
[1024.],1024.0
[1139.5],1139.5
[546.15],546.15
[935.77463366],994.35
[1024.],1024.0
[1042.35826692],1024.0
[449.9],449.9
[351.95],351.95
[839.3523238],967.45
[967.45],967.45
