Predicted Values,Actual Values
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[1357.31779144],11026.3
[8347.55274672],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[8713.23672492],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[8419.26107478],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[5556.04869781],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[6209.95119703],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[1265.23892203],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[8804.55675734],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[6989.04107783],11026.3
[1346.45744664],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[1315.73165273],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[6753.87911337],11026.3
[14.68],14.68
[14.68],14.68
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[14.68],14.68
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
[11026.3],11026.3
