Actual Values,Predicted Values
7.23,7.8203125
6.9,6.5
6.1,6.3046875
5.95,5.8828125
6.1,6.3515625
4.58,4.8125
7.36,7.1484375
4.58,4.5859375
4.58,5.1796875
5.45,5.8828125
9.86,9.859375
8.46,7.8359375
8.89,8.7734375
6.51,5.7578125
5.45,6.1796875
7.3,7.5625
7.4,7.9296875
6.86,6.9453125
6.1,5.9140625
7.36,7.328125
8.89,8.9453125
7.36,7.3046875
7.3,7.5859375
6.51,6.3984375
6.1,6.09375
4.58,5.359375
6.51,6.34375
9.86,9.9765625
5.55,5.75
9.86,9.7421875
3.49,3.703125
3.49,2.7734375
8.68,8.8984375
6.86,6.9375
3.49,3.3984375
8.46,8.125
7.23,7.1796875
6.1,5.9296875
4.58,5.3125
7.23,7.640625
7.36,7.203125
7.08,7.0078125
6.9,6.6484375
6.51,6.328125
4.58,4.6015625
3.28,3.578125
6.86,7.0390625
4.58,5.25
6.51,6.265625
3.49,2.6953125
9.03,8.703125
6.9,6.65625
9.32,9.46875
3.49,3.7265625
6.36,5.453125
3.49,3.5546875
6.86,7.140625
9.82,10.03125
6.85,6.53125
6.01,5.515625
8.46,7.8671875
5.36,5.46875
7.09,7.0078125
5.45,6.15625
8.46,8.0546875
8.89,8.84375
6.1,5.8125
6.86,6.8203125
9.86,9.3984375
9.86,9.4140625
3.28,3.546875
5.45,5.78125
8.68,8.7890625
4.58,5.0859375
6.1,5.9140625
7.36,7.28125
8.18,9.390625
3.49,3.5703125
3.49,3.453125
6.1,6.1875
4.58,4.7734375
3.49,3.7109375
3.49,3.3828125
6.1,6.296875
8.46,8.6015625
6.1,6.2421875
6.51,5.921875
6.86,6.7265625
6.86,6.71875
6.25,6.578125
9.86,9.8203125
4.58,4.6953125
6.1,6.078125
7.86,7.4296875
9.32,9.4921875
6.1,5.8515625
4.58,4.9296875
9.86,9.65625
7.23,7.1796875
6.51,6.09375
6.51,6.3515625
8.68,8.640625
4.58,5.4453125
6.86,6.7578125
9.86,9.84375
5.39,5.5546875
6.1,5.875
4.58,5.21875
4.58,5.140625
3.28,4.0
6.51,6.359375
4.58,5.09375
6.86,7.0546875
6.86,7.046875
9.86,10.0078125
6.51,6.359375
3.49,3.640625
6.1,5.9609375
6.9,6.578125
6.25,6.4375
9.86,9.4296875
6.1,6.1640625
6.86,6.859375
7.36,7.421875
3.28,4.046875
6.1,6.2578125
7.3,7.53125
6.86,7.015625
8.89,8.828125
3.28,3.265625
7.23,7.6953125
6.51,5.765625
9.86,9.890625
4.58,5.25
5.95,5.8828125
5.8,5.703125
7.36,7.3125
6.1,6.2578125
8.86,8.7578125
6.86,6.9453125
6.9,6.75
7.23,7.109375
6.86,6.7890625
8.46,7.859375
4.95,5.4375
6.86,6.9375
7.34,8.0234375
6.17,5.5859375
6.86,6.7734375
6.51,6.3359375
3.28,3.5
6.1,5.9296875
6.86,6.828125
9.86,9.5546875
4.58,4.6015625
4.58,4.453125
6.9,6.609375
8.46,7.8828125
5.95,5.7578125
3.28,3.453125
3.28,3.0703125
6.86,6.703125
4.58,5.046875
9.86,10.0078125
8.46,8.3359375
3.28,3.5625
4.58,4.9921875
8.46,7.9921875
6.1,6.2890625
7.36,7.2578125
7.23,7.265625
5.45,5.890625
7.36,7.2890625
5.45,4.7421875
6.1,6.3984375
6.12,6.421875
3.49,3.625
6.86,7.0859375
3.49,3.6015625
6.51,6.4140625
3.49,3.484375
9.86,9.7890625
7.09,6.9765625
8.68,8.5859375
9.97,10.09375
6.86,6.859375
7.36,7.1484375
3.49,3.1875
6.13,6.234375
6.25,6.3828125
3.28,3.0234375
3.49,3.8828125
8.89,8.8984375
5.45,4.8828125
6.86,6.8359375
6.12,6.3671875
7.23,7.3046875
3.49,3.0078125
3.28,2.5390625
7.23,7.578125
6.51,5.7734375
3.28,2.9453125
5.95,5.8125
5.8,5.640625
6.15,6.1875
