Actual Values,Predicted Values
7.23,7.814386069774628
6.9,6.577757358551025
6.1,6.369105517864227
5.95,5.785406291484833
6.1,6.290190398693085
4.58,4.880426287651062
7.36,7.059401333332062
4.58,5.158273816108704
4.58,5.080192267894745
5.45,5.8256993889808655
9.86,9.927667438983917
8.46,8.112179517745972
8.89,8.770838260650635
6.51,5.71050626039505
5.45,6.0655224323272705
7.3,7.571382820606232
7.4,7.967958927154541
6.86,7.024272441864014
6.1,5.8861594796180725
7.36,7.42530882358551
8.89,8.872923076152802
7.36,7.184866726398468
7.3,7.556488394737244
6.51,6.529719233512878
6.1,6.064649939537048
4.58,5.448967516422272
6.51,6.363689959049225
9.86,9.906736314296722
5.55,5.81212317943573
9.86,9.725257635116577
3.49,3.8855901956558228
3.49,2.787558436393738
8.68,8.989444255828857
6.86,7.020305633544922
3.49,3.516087830066681
8.46,8.106408476829529
7.23,7.176965355873108
6.1,5.937304615974426
4.58,5.502895832061768
7.23,7.635809123516083
7.36,7.090670526027679
7.08,6.900429129600525
6.9,6.574550628662109
6.51,6.618956804275513
4.58,4.5190383195877075
3.28,3.7609775066375732
6.86,7.43666672706604
4.58,5.308006584644318
6.51,6.291555881500244
3.49,2.53570020198822
9.03,8.734659671783447
6.9,6.533043801784515
9.32,9.567579746246338
3.49,3.6355775594711304
6.36,5.4592849016189575
3.49,3.5591092109680176
6.86,7.4494099617004395
9.82,10.0001922249794
6.85,6.6155975461006165
6.01,5.639362394809723
8.46,7.8564411997795105
5.36,5.39024019241333
7.09,7.020247459411621
5.45,6.218028903007507
8.46,8.016287386417389
8.89,8.871714472770691
6.1,5.708689093589783
6.86,6.857576310634613
9.86,9.35054087638855
9.86,9.447955906391144
3.28,3.438659906387329
5.45,5.634310662746429
8.68,8.724862337112427
4.58,4.968324542045593
6.1,5.879973649978638
7.36,7.219261586666107
8.18,9.380041658878326
3.49,3.503284454345703
3.49,3.400764524936676
6.1,6.117587566375732
4.58,4.722954094409943
3.49,3.8983657360076904
3.49,3.2511943578720093
6.1,6.31423944234848
8.46,8.630585849285126
6.1,6.334601998329163
6.51,5.998789727687836
6.86,6.746672630310059
6.86,6.744084060192108
6.25,6.475689232349396
9.86,9.92744255065918
4.58,4.629936873912811
6.1,6.117987871170044
7.86,7.4497634172439575
9.32,9.58684355020523
6.1,6.0286723375320435
4.58,4.864426016807556
9.86,9.749190390110016
7.23,7.203375279903412
6.51,6.082534909248352
6.51,6.178952932357788
8.68,8.73547512292862
4.58,5.488473653793335
6.86,6.8564260601997375
9.86,9.96299684047699
5.39,5.565644681453705
6.1,5.794944763183594
4.58,5.298379063606262
4.58,5.117371737957001
3.28,4.342012822628021
6.51,6.478513479232788
4.58,5.124826014041901
6.86,6.979306101799011
6.86,7.11995267868042
9.86,9.968184649944305
6.51,6.413894236087799
3.49,3.5865604877471924
6.1,5.859112858772278
6.9,6.55447793006897
6.25,6.534877300262451
9.86,9.431242525577545
6.1,6.142560064792633
6.86,6.867349743843079
7.36,7.400175511837006
3.28,3.743134915828705
6.1,6.35445237159729
7.3,7.529696881771088
6.86,7.034322679042816
8.89,8.723062574863434
3.28,3.225588083267212
7.23,7.695519149303436
6.51,5.666732370853424
9.86,9.928017556667328
4.58,5.280672311782837
5.95,5.868359088897705
5.8,5.6618332862854
7.36,7.255806922912598
6.1,6.250301837921143
8.86,8.787197172641754
6.86,6.940944314002991
6.9,6.728389143943787
7.23,7.155437171459198
6.86,6.8697121143341064
8.46,7.876743376255035
4.95,5.542781472206116
6.86,6.867653012275696
7.34,8.041721999645233
6.17,5.613540470600128
6.86,6.86925745010376
6.51,6.507469952106476
3.28,3.0926785469055176
6.1,5.877627909183502
6.86,6.820750594139099
9.86,9.719441592693329
4.58,4.627158880233765
4.58,4.369058787822723
6.9,6.535522520542145
8.46,7.828912913799286
5.95,5.7747029066085815
3.28,3.4083701372146606
3.28,3.147944688796997
6.86,6.852091729640961
4.58,4.965743660926819
9.86,10.0795219540596
8.46,8.271937489509583
3.28,3.4904749393463135
4.58,5.054696500301361
8.46,8.00846666097641
6.1,6.289897978305817
7.36,7.135372519493103
7.23,7.332457482814789
5.45,5.711710095405579
7.36,7.336645185947418
5.45,4.761052429676056
6.1,6.465036571025848
6.12,6.370655596256256
3.49,3.4061649441719055
6.86,7.067562758922577
3.49,3.6983055472373962
6.51,6.362139880657196
3.49,3.5192121267318726
9.86,9.857238531112671
7.09,6.918281733989716
8.68,8.547376036643982
9.97,10.061033964157104
6.86,6.893815994262695
7.36,7.069879770278931
3.49,3.391298532485962
6.13,6.209778845310211
6.25,6.410435318946838
3.28,3.005049467086792
3.49,4.07244485616684
8.89,8.922442018985748
5.45,5.013935565948486
6.86,6.87660425901413
6.12,6.360346496105194
7.23,7.311136186122894
3.49,3.1580684781074524
3.28,1.801372230052948
7.23,7.541680097579956
6.51,5.893014490604401
3.28,3.0826786160469055
5.95,6.034812331199646
5.8,5.6621750593185425
6.15,7.377787530422211
