DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
11022021,500002,5123,7279783,18288,26004612,28.01
11022021,500003,6694,2024601,14497,4360710,46.18
11022021,500008,8571,8426151,59886,59184695,14.31
11022021,500009,55411,1174714,76928,1650213,72.03
11022021,500010,18373,50684677,57757,159001971,31.81
11022021,500012,60237,3102206,82256,4225076,73.23
11022021,500013,20283,144213,20284,144219,100.0
11022021,500014,2906,5086,2906,5151,100.0
11022021,500016,100,630,100,630,100.0
11022021,500020,42005,3074766,145984,10755801,28.77
11022021,500023,451,32157,455,32454,99.12
11022021,500027,714,4651818,996,6443870,71.69
11022021,500028,7720,38641,7720,38641,100.0
11022021,500029,400,11373,400,11373,100.0
11022021,500031,27500,29031750,132733,144248103,20.72
11022021,500032,244350,1563840,497645,3198339,49.1
11022021,500033,2239,3158110,3131,4428966,71.51
11022021,500034,28710,159809909,113279,628854047,25.34
11022021,500038,13340,2120393,50663,8093142,26.33
11022021,500039,64152,10110356,167785,26572454,38.23
11022021,500040,5284,2406598,23278,10733316,22.7
11022021,500041,535,871328,564,916177,94.86
11022021,500042,8826,16994463,25958,49180340,34.0
11022021,500043,32110,49176465,241292,363198514,13.31
11022021,500048,7752,7501611,16693,16244343,46.44
11022021,500049,326630,44209371,1610877,223716502,20.28
11022021,500052,41265,5737899,261717,36670031,15.77
11022021,500055,90470,3994251,345103,15100874,26.22
11022021,500060,3739,242849,6519,427112,57.36
11022021,500067,7335,6059811,15532,12825310,47.22
11022021,500068,403,1611698,526,2098051,76.62
11022021,500069,2223,245864,11833,1314390,18.79
11022021,500074,18276,396590,29292,649505,62.39
11022021,500078,1273,756544,3925,2348740,32.43
11022021,500083,39803,189463,41214,195369,96.58
11022021,500084,12280,7621582,63676,39902847,19.29
11022021,500085,31142,7562835,85281,20517804,36.52
11022021,500086,57450,12199508,310817,66535984,18.48
11022021,500087,35093,30172962,211815,182605051,16.57
11022021,500089,17,6775,17,6762,100.0
11022021,500092,1453,2760991,3425,6529835,42.42
11022021,500093,267067,12231669,378154,17308911,70.62
11022021,500096,19597,10499093,123799,66064521,15.83
11022021,500097,3015,425417,4797,678456,62.85
11022021,500101,374126,24767142,1224941,80385929,30.54
11022021,500102,2791165,3616381,2791165,3616381,100.0
11022021,500103,513227,19887547,2149177,83150203,23.88
11022021,500104,224796,51084891,439944,99597230,51.1
11022021,500106,241127,2177377,433050,3909459,55.68
11022021,500108,41155,533781,104736,1363200,39.29
11022021,500109,31323,1102570,74306,2619609,42.15
11022021,500110,37967,3663816,111240,10661559,34.13
11022021,500111,107099,1081700,255539,2592393,41.91
11022021,500112,280873,109582601,1639684,642226333,17.13
11022021,500113,361495,24184016,1281273,85779397,28.21
11022021,500114,54007,82314770,297355,454294537,18.16
11022021,500116,205417,6090615,420433,12539416,48.86
